
[00:00:00.000 --> 00:00:04.280]  不如聽完之後拍手掌吧
[00:00:04.280 --> 00:00:06.080]  不知道好不好聽
[00:00:06.080 --> 00:00:07.900]  很感謝你們唱歌唱得好聽
[00:00:07.900 --> 00:00:11.240]  有些朋友可能在街上
[00:00:11.240 --> 00:00:13.840]  叫你們進來 真厲害
[00:00:13.840 --> 00:00:16.080]  香港就是這個好處
[00:00:16.080 --> 00:00:18.920]  你經常都會遇到好朋友
[00:00:18.920 --> 00:00:22.280]  但是我今天講的時間不太長
[00:00:22.280 --> 00:00:24.680]  最多一晚而已 不太長
[00:00:24.680 --> 00:00:28.960]  但是可能你記住一輩子
[00:00:28.960 --> 00:00:30.240]  為什麼呢
[00:00:30.240 --> 00:00:34.280]  你想想 如果你不是信基督教
[00:00:34.280 --> 00:00:39.400]  為什麼有些事情可以2000年前
[00:00:39.400 --> 00:00:45.480]  耶穌出生 公元第一年
[00:00:45.480 --> 00:00:49.000]  講2000年還有人講的
[00:00:49.000 --> 00:00:50.080]  有沒有呢?
[00:00:50.080 --> 00:00:51.680]  不是很多
[00:00:51.680 --> 00:00:56.200]  秦始皇我們也不想講這麼多
[00:00:56.200 --> 00:01:01.440]  講2000年還有人講 全世界到處都還有人講
[00:01:01.440 --> 00:01:03.160]  很奇怪
[00:01:03.160 --> 00:01:07.800]  這件是什麼事情呢?
[00:01:07.800 --> 00:01:10.600]  還有一本聖經
[00:01:10.600 --> 00:01:14.120]  你很難找到一本書
[00:01:14.120 --> 00:01:18.680]  講幾千年的事情 還天天有人在用
[00:01:18.680 --> 00:01:20.080]  沒什麼可能
[00:01:20.080 --> 00:01:23.200]  我以前在理工大學做教授
[00:01:23.200 --> 00:01:25.960]  每年我們取消的書
[00:01:25.960 --> 00:01:28.800]  最近15年內一定是取消掉的
[00:01:28.800 --> 00:01:30.120]  就是不要
[00:01:30.120 --> 00:01:32.680]  因為沒可能再做研究的論文
[00:01:32.680 --> 00:01:34.760]  因為那件事已經不流行
[00:01:34.760 --> 00:01:37.840]  也證實了這個時候不適合
[00:01:37.840 --> 00:01:42.040]  怎麼可以留一本書是講幾千年的事情不扔呢?
[00:01:42.040 --> 00:01:44.240]  但是現在還有人在看聖經
[00:01:44.240 --> 00:01:46.120]  最好賣的書
[00:01:46.120 --> 00:01:50.160]  為什麼呢?怎麼解釋呢?
[00:01:50.160 --> 00:01:55.640]  還有 我是專門比較研究抑鬱症和自殺的人
[00:01:55.640 --> 00:02:01.600]  很多人死是因為覺得沒有希望
[00:02:01.600 --> 00:02:04.120]  那哪裡有希望呢?
[00:02:04.120 --> 00:02:06.760]  既然現在這個世界還有人相信
[00:02:06.760 --> 00:02:09.160]  這個世界還有希望的
[00:02:09.160 --> 00:02:12.240]  你家長覺得我兒子沒得救了
[00:02:12.240 --> 00:02:14.040]  真的沒希望
[00:02:14.040 --> 00:02:15.880]  學校說你兒子沒得救了
[00:02:15.880 --> 00:02:18.480]  找別的 我救不了你
[00:02:18.480 --> 00:02:22.200]  很多人只聽到沒希望的東西多
[00:02:22.200 --> 00:02:24.960]  有希望的在哪裡聽呢?
[00:02:24.960 --> 00:02:27.240]  真的很少
[00:02:27.240 --> 00:02:28.880]  你就想一下
[00:02:28.880 --> 00:02:30.880]  為什麼人們在講希望
[00:02:30.880 --> 00:02:32.560]  講這麼多年還講下去
[00:02:32.560 --> 00:02:33.840]  還講到笑
[00:02:33.840 --> 00:02:35.920]  我的樣子也挺好笑的
[00:02:35.920 --> 00:02:38.480]  我不知道是誰拍的 真是好笑
[00:02:38.480 --> 00:02:40.320]  可能我的病人很喜歡見我
[00:02:40.320 --> 00:02:43.360]  因為我是一個很開心的人
[00:02:43.360 --> 00:02:44.640]  所以我告訴你
[00:02:44.640 --> 00:02:45.760]  我不是作的
[00:02:45.760 --> 00:02:49.160]  我是真的覺得人有希望的
[00:02:49.160 --> 00:02:51.480]  所以你今晚有興趣在這裡聽一下
[00:02:51.480 --> 00:02:52.800]  你聽完之後你會笑的
[00:02:52.800 --> 00:02:55.640]  因為你覺得你有希望
[00:02:55.640 --> 00:02:57.440]  不是說你可以減肥的意思
[00:02:57.440 --> 00:02:59.200]  也不是說你討厭肥
[00:02:59.200 --> 00:03:03.600]  而是說有個希望比你的樣子大
[00:03:03.600 --> 00:03:04.720]  這是什麼呢?
[00:03:04.720 --> 00:03:09.880]  剛才我在藍田教會講一幫癌症的病人
[00:03:09.880 --> 00:03:11.720]  他們來教會聽
[00:03:11.720 --> 00:03:12.960]  我講解給他們聽
[00:03:12.960 --> 00:03:16.320]  怎樣面對一個癌症
[00:03:16.320 --> 00:03:18.400]  他們剛剛成立十週年紀念
[00:03:18.400 --> 00:03:20.840]  十年前我在那裡講
