
[00:00:00.000 --> 00:00:10.280]  上一次和大家開始了講到怎樣能夠被聖靈充滿
[00:00:10.280 --> 00:00:15.880]  被聖靈充滿之後 一個人就會有很不同的表現
[00:00:15.880 --> 00:00:22.400]  他們對神會不斷歌頌神 會不斷感謝神
[00:00:22.400 --> 00:00:25.600]  人和人的關係都會不同了
[00:00:25.600 --> 00:00:29.040]  第一個關係就是夫妻的關係
[00:00:29.040 --> 00:00:35.240]  中國人說夫唱婦隨 但聖經已忽所書告訴我們
[00:00:35.240 --> 00:00:40.000]  夫愛婦寵 家庭會得和睦
[00:00:40.000 --> 00:00:46.640]  在講已忽所書之前 我先講了真言
[00:00:46.640 --> 00:00:50.920]  其實真言和已忽所書有很多相似的地方
[00:00:50.920 --> 00:00:54.000]  就是和神的關係和人的關係
[00:00:54.000 --> 00:00:57.600]  在講真言的時候 我也講過夫妻的關係
[00:00:57.600 --> 00:00:59.840]  叫他做夫妻的智慧
[00:00:59.840 --> 00:01:04.320]  我也講過父母和子女的關係是父母的智慧
[00:01:04.320 --> 00:01:09.880]  所以我現在講已忽所書是會盡量避免相同的內容
[00:01:09.880 --> 00:01:16.440]  我們見到其實婚姻不單止在美國
[00:01:16.440 --> 00:01:20.440]  在全世界都出現了很大的問題
[00:01:20.440 --> 00:01:23.960]  這個問題不單止現在才有
[00:01:23.960 --> 00:01:28.760]  這個問題其實在人類墮落的時候已經開始了
[00:01:28.760 --> 00:01:32.280]  人類墮落 聚就進入了這個世界
[00:01:32.280 --> 00:01:35.640]  就有一個詛咒來到這個世界
[00:01:35.640 --> 00:01:38.920]  在夫妻之間也有一個詛咒
[00:01:38.920 --> 00:01:42.880]  就在創世紀的三章十六節
[00:01:42.880 --> 00:01:48.040]  經文說 女人是必有懷胎生產的苦楚
[00:01:48.040 --> 00:01:54.840]  男人的工作是要做到汗流浹背才能夠賺到錢
[00:01:54.840 --> 00:01:58.480]  我兩個女兒經常都跟我投訴
[00:01:58.480 --> 00:02:02.120]  她說 爸爸 你知不知道你有多幸福
[00:02:02.120 --> 00:02:05.440]  你不是女人 你不用生孩子
[00:02:05.440 --> 00:02:09.480]  你知不知道生孩子有多痛 他們說生孩子很痛的
[00:02:09.480 --> 00:02:12.440]  還十個月來懷胎很辛苦的
[00:02:12.440 --> 00:02:14.760]  她說 你爸爸你真是幸福
[00:02:14.760 --> 00:02:18.600]  我就會回答說 神是公平的
[00:02:18.600 --> 00:02:21.560]  女人懷胎十個月而已
[00:02:21.560 --> 00:02:24.160]  男人一輩子做牛做馬
[00:02:24.160 --> 00:02:27.720]  做到汗流浹背才能賺到錢
[00:02:27.720 --> 00:02:32.640]  所以你看看男人的壽命平均比女人短命
[00:02:32.640 --> 00:02:34.680]  做到連命都短了
[00:02:34.680 --> 00:02:37.800]  我說神是公平的
[00:02:37.800 --> 00:02:41.120]  其實除了這個詛咒
[00:02:41.120 --> 00:02:45.880]  創世紀的三章十六節還有其他的詛咒
[00:02:45.880 --> 00:02:49.880]  神和妻子說 你必戀慕你的丈夫
[00:02:49.880 --> 00:02:53.280]  你的丈夫必管轄你
[00:02:53.280 --> 00:02:58.360]  英文是 Your desire shall be to thy husband
[00:02:58.360 --> 00:03:00.160]  你說多好啊
[00:03:00.160 --> 00:03:02.560]  Desire to thy husband
[00:03:02.560 --> 00:03:06.240]  但是我想問問在座的有多少位太太
[00:03:06.240 --> 00:03:09.840]  還是戀慕自己的丈夫
[00:03:09.840 --> 00:03:14.400]  你說拍拖的時候可能是戀慕你的男朋友
[00:03:14.400 --> 00:03:16.920]  這裡說結了婚 成為丈夫了
[00:03:16.920 --> 00:03:19.920]  會不會還是戀慕呢
[00:03:19.920 --> 00:03:22.760]  其實希伯來文是很有意思的
[00:03:22.760 --> 00:03:27.720]  你如果看到那個字在不同的經文運用
[00:03:27.720 --> 00:03:31.480]  你就知道這個字的意思是什麼
[00:03:31.480 --> 00:03:36.680]  戀慕這個字在創世紀的四章七節有出現過
[00:03:36.680 --> 00:03:40.000]  就是說到該人和阿伯的故事
[00:03:40.000 --> 00:03:43.320]  阿伯和該人都獻祭給神
[00:03:43.320 --> 00:03:46.320]  但是神看中了阿伯的獻祭
[00:03:46.320 --> 00:03:49.200]  沒有看中該人的獻祭
[00:03:49.200 --> 00:03:52.200]  所以該人就大發脾氣 很生氣
[00:03:52.200 --> 00:03:56.840]  神在創世紀的四章七節和該人說
[00:03:56.840 --> 00:04:00.080]  你若行得好 豈不蒙越南
[00:04:00.080 --> 00:04:04.200]  你若行得不好 詛咒伏在你的門前
[00:04:04.200 --> 00:04:08.880]  他必戀慕你 你卻要祭服他
[00:04:08.880 --> 00:04:11.840]  這裡不是說罪伏在門前
[00:04:11.840 --> 00:04:16.360]  含情脈脈地每天看著該人戀慕他
[00:04:16.360 --> 00:04:18.080]  這裡是說什麼呢
[00:04:18.080 --> 00:04:22.760]  是罪一定會想控制你 操縱你
[00:04:22.760 --> 00:04:28.120]  所以你要祭服罪 不要犯罪
[00:04:28.120 --> 00:04:33.400]  如果我們將這個意思套回創世紀的三章十六節
[00:04:33.400 --> 00:04:36.240]  我們就知道經文是為什麼
[00:04:36.240 --> 00:04:42.160]  經文說妻子一定會控制你的丈夫
[00:04:42.160 --> 00:04:44.920]  你的丈夫必管轄你
[00:04:44.920 --> 00:04:50.080]  妻子想控制丈夫 丈夫想管轄妻子
[00:04:50.080 --> 00:04:54.240]  你說還不是令到這個家庭六國大封上
[00:04:54.240 --> 00:04:58.120]  非常大的問題
[00:04:58.120 --> 00:05:01.080]  所以聖經告訴我們
[00:05:01.080 --> 00:05:05.680]  出現了很多很多男女之間的問題
[00:05:05.680 --> 00:05:09.680]  第三章詛咒臨到夫妻之間
[00:05:09.680 --> 00:05:13.960]  第四章開始出現一夫多妻制
[00:05:13.960 --> 00:05:16.840]  第十九章出現色情
[00:05:16.840 --> 00:05:20.040]  創世紀十六章出現姦淫
[00:05:20.040 --> 00:05:23.640]  第十九章出現同性戀戀倫
[00:05:23.640 --> 00:05:27.040]  創世紀三十四章出現強姦
[00:05:27.040 --> 00:05:32.160]  第三十八章首次提到妓女的出現
[00:05:32.160 --> 00:05:35.520]  夫妻之間的問題 男女之間的問題
[00:05:35.520 --> 00:05:39.200]  一直持久到今時今日
[00:05:39.200 --> 00:05:43.560]  難怪在美國超過百分之五十
[00:05:43.560 --> 00:05:47.960]  大部分超過一半的婚姻都是失敗的
[00:05:47.960 --> 00:05:51.560]  原因就是夫妻之間的問題
[00:05:51.560 --> 00:05:53.720]  妻子想控制丈夫
[00:05:53.720 --> 00:05:57.560]  丈夫想管轄妻子
[00:05:57.560 --> 00:06:00.520]  大家都想改變對方
[00:06:00.520 --> 00:06:03.240]  這就是問題
[00:06:03.240 --> 00:06:06.760]  我們知道葛培里的太太叫做Ruth
[00:06:06.760 --> 00:06:09.320]  Ruth曾經說過
[00:06:09.320 --> 00:06:12.480]  有一天我終於明白到
[00:06:12.480 --> 00:06:15.320]  要改變葛培里的不是我
[00:06:15.320 --> 00:06:18.520]  要改變葛培里的是神自己
[00:06:18.520 --> 00:06:20.960]  我不需要去改變祂
[00:06:20.960 --> 00:06:22.400]  神會改變祂
[00:06:22.400 --> 00:06:25.480]  我要做的就是去愛祂
[00:06:25.480 --> 00:06:27.920]  Ruth葛培里的太太說
[00:06:27.920 --> 00:06:30.560]  當她發現了這個真理之後
[00:06:30.560 --> 00:06:32.400]  她如釋重擔
[00:06:32.400 --> 00:06:35.080]  她說這一天是她的生命當中
[00:06:35.080 --> 00:06:38.280]  一個很重要的日子
[00:06:38.280 --> 00:06:40.640]  所以我們看到真正的問題
[00:06:40.640 --> 00:06:43.560]  是在《創世紀》三章十六節
[00:06:43.560 --> 00:06:46.680]  是人的罪進入了這個世界
