
[00:00:00.000 --> 00:00:04.000]  各位頂姐妹吾安
[00:00:04.000 --> 00:00:06.820]  很高興可以來到全福堂
[00:00:06.820 --> 00:00:09.320]  一起去敬拜和讚美
[00:00:09.320 --> 00:00:13.060]  吳牧師是我的師兄
[00:00:13.060 --> 00:00:15.960]  這裡有幾位傳道人
[00:00:15.960 --> 00:00:17.560]  都是剛剛在建道畢業
[00:00:17.560 --> 00:00:20.360]  其實我都曾經做過他們的老師
[00:00:20.360 --> 00:00:23.560]  容牧師邀請我的時候
[00:00:23.560 --> 00:00:26.460]  和我去到講會不會可以分享關於
[00:00:26.460 --> 00:00:28.860]  悲哀和哭泣的課題呢?
[00:00:28.860 --> 00:00:30.360]  我就一口答應
[00:00:30.360 --> 00:00:32.360]  我就選了一篇
[00:00:32.360 --> 00:00:33.700]  其實是一篇來的
[00:00:33.700 --> 00:00:36.200]  42和43篇的詩篇
[00:00:36.200 --> 00:00:37.300]  其實是一篇
[00:00:37.300 --> 00:00:39.200]  本身是一首哀歌
[00:00:39.200 --> 00:00:40.700]  是一首美麗的哀歌
[00:00:40.700 --> 00:00:44.000]  去到分享今天的崇拜訊息
[00:00:44.000 --> 00:00:46.600]  剛才那一堂崇拜我不得自我介紹
[00:00:46.600 --> 00:00:48.900]  我是姓高叫冥謙
[00:00:48.900 --> 00:00:50.600]  長洲的居民
[00:00:50.600 --> 00:00:53.700]  本身是有一個老婆和一個女兒
[00:00:53.700 --> 00:00:56.000]  我的女兒就是10歲
[00:00:56.000 --> 00:00:58.200]  現在在長洲讀小學
[00:00:58.200 --> 00:00:59.600]  快要升中了
[00:00:59.600 --> 00:01:01.600]  過多兩年就升中了
[00:01:01.600 --> 00:01:03.600]  我都很感恩
[00:01:03.600 --> 00:01:05.600]  我身邊那兩個女人
[00:01:05.600 --> 00:01:08.600]  其實都是很疼愛我自己的
[00:01:08.600 --> 00:01:12.200]  變成了我都帶著興奮的心
[00:01:12.200 --> 00:01:14.000]  和大家一起去到敬拜
[00:01:14.000 --> 00:01:15.000]  我都知道
[00:01:15.000 --> 00:01:16.200]  在這裡在座當中
[00:01:16.200 --> 00:01:18.600]  很多都是信了主不久的
[00:01:18.600 --> 00:01:20.600]  我都覺得上帝的恩典
[00:01:20.600 --> 00:01:22.200]  臨到在這個人的教會
[00:01:22.200 --> 00:01:24.600]  讓更多的人得到福音的好處
[00:01:24.600 --> 00:01:26.400]  我們講道之前
[00:01:26.400 --> 00:01:28.000]  一起有個祈禱
[00:01:28.000 --> 00:01:29.800]  讚美天父
[00:01:29.800 --> 00:01:31.800]  我們好想
[00:01:31.800 --> 00:01:34.400]  好想真是聽到你的話語
[00:01:34.400 --> 00:01:35.400]  主我們知道
[00:01:35.400 --> 00:01:38.400]  你不輕看我們每個人的眼淚
[00:01:38.400 --> 00:01:40.000]  和我們的悲傷
[00:01:40.000 --> 00:01:42.200]  還有我們的苦痛
[00:01:42.200 --> 00:01:43.800]  主耶穌基督
[00:01:43.800 --> 00:01:47.000]  你一一都揹起我們的重擔
[00:01:47.000 --> 00:01:49.600]  以致我們能夠走得輕散
[00:01:49.600 --> 00:01:51.000]  雖然不容易
[00:01:51.000 --> 00:01:53.000]  但是沒有盼望
[00:01:53.000 --> 00:01:54.200]  主我們多謝你
[00:01:54.200 --> 00:01:57.400]  我們一步一步跟從你的腳踪行
[00:01:57.400 --> 00:01:59.400]  縱然這是十家苦惱
[00:01:59.400 --> 00:02:02.400]  卻又是榮耀愛的道路
[00:02:02.400 --> 00:02:04.000]  主我們讚美你
[00:02:04.000 --> 00:02:06.200]  懇求主你幫助孩子
[00:02:06.200 --> 00:02:08.000]  講解得清楚明白
[00:02:08.000 --> 00:02:09.400]  讓我們每一個
[00:02:09.400 --> 00:02:12.400]  我們不是聽到人的聲音
[00:02:12.400 --> 00:02:15.400]  主我們真是好想聽到你的聲音
[00:02:15.400 --> 00:02:17.000]  是我們的內心說話
[00:02:17.000 --> 00:02:19.400]  以致我們不是聽了就忘了
[00:02:19.400 --> 00:02:21.400]  而是能夠去到內化
[00:02:21.400 --> 00:02:23.200]  和轉化我們的生命
[00:02:23.200 --> 00:02:26.200]  多謝你與我們坐直同在
[00:02:26.200 --> 00:02:28.000]  奉耶穌基督的名祈禱
[00:02:28.000 --> 00:02:29.000]  阿們
[00:02:29.800 --> 00:02:31.000]  詩篇
[00:02:31.000 --> 00:02:33.800]  整個150篇的詩篇集
[00:02:33.800 --> 00:02:35.200]  我們就發現
[00:02:35.200 --> 00:02:36.800]  悲哀和哭泣
[00:02:36.800 --> 00:02:38.400]  我們可以說是哀歌
[00:02:38.400 --> 00:02:40.800]  就佔有了非常大的篇幅
[00:02:40.800 --> 00:02:42.800]  在150篇的詩篇裏面
[00:02:42.800 --> 00:02:44.600]  你可以說四分一
[00:02:44.600 --> 00:02:46.400]  或者甚至去到三分一
[00:02:46.400 --> 00:02:47.600]  也不誇張
[00:02:47.600 --> 00:02:49.600]  是講到我們很多詩人
[00:02:49.600 --> 00:02:50.800]  裏面的掙扎
[00:02:50.800 --> 00:02:51.600]  他的苦情
[00:02:51.600 --> 00:02:52.400]  他的悲哀
