
[00:00:00.000 --> 00:00:09.000]  今天很高興跟大家開始一部新的書本,就是《藥書雅記》
[00:00:09.000 --> 00:00:15.000]  今年我們粵語堂會講兩部書,一部是舊藥,一部是新藥
[00:00:15.000 --> 00:00:20.000]  舊藥就是《藥書雅記》,新藥就是《史圖行傳》
[00:00:20.000 --> 00:00:28.000]  我今天要講《藥書雅記》的介紹,我叫他做為何要讀《藥書雅記》
[00:00:28.000 --> 00:00:33.000]  大家大兄姊妹可能見到這個題目,會覺得很熟,很熟面
[00:00:33.000 --> 00:00:41.000]  我每講一部書的介紹,我都叫那個題目做為何要讀什麼書
[00:00:41.000 --> 00:00:49.000]  就好像今天為何要讀《藥書雅記》,為何要讀《耶利米埃歌》,為何要讀《鎖浪門之歌》
[00:00:49.000 --> 00:00:57.000]  其實這些介紹是一個中南,如果你只是想知道這部書是講什麼的
[00:00:57.000 --> 00:01:05.000]  或者你想知道這部書的主題是什麼,有什麼重點,你只要聽這個介紹就可以了
[00:01:05.000 --> 00:01:15.000]  但如果你想深入瞭解這部書,你要明白這部書的話,你就需要聽所有系列裡面的信息
[00:01:15.000 --> 00:01:24.000]  我數一數,其實我已經講了聖經裡面的28部書,66部的書我講了28部
[00:01:24.000 --> 00:01:32.000]  我求神讓我有生之年有這樣的福分,能夠講全部66部書
[00:01:32.000 --> 00:01:43.000]  《藥書雅記》就是在舊約裡面的第六部書,是跟著創出李文新的第六部
[00:01:43.000 --> 00:01:50.000]  在《生命記》的結尾我們知道摩西去世,《藥書雅》就順理成章
[00:01:50.000 --> 00:01:55.000]  成為以色列人的領袖,成為摩西的接班人
[00:01:55.000 --> 00:02:05.000]  但我們知道很有趣的是《藥書雅記》是跟著《生命記》,猶太人一年一度會在會堂讀《生命記》
[00:02:05.000 --> 00:02:10.000]  但他們不會在會堂讀《藥書雅記》,為什麼呢?
[00:02:10.000 --> 00:02:16.000]  要明白我們要知道猶太人聖經的結構是怎麼樣
[00:02:16.000 --> 00:02:22.000]  我們手頭上的聖經一開始就是摩西五經
[00:02:22.000 --> 00:02:27.000]  創世記、出外及記、利未記、文素記和生命記
[00:02:27.000 --> 00:02:32.000]  摩西五經之後,我們的聖經就是歷史書
[00:02:32.000 --> 00:02:38.000]  第一部就是《藥書雅記》,所以《生命記》之後就是《藥書雅記》
[00:02:38.000 --> 00:02:40.000]  《藥書雅記》是跟著《生命記》
[00:02:40.000 --> 00:02:46.000]  跟著就是《士司記》、《路德記》、《撒姆爾上下》、《列王記》上下
[00:02:46.000 --> 00:02:50.000]  《歷代志上下》、《以斯帖》、《以斯拉》、《尼希米》
[00:02:50.000 --> 00:02:53.000]  一共是十二部歷史書
[00:02:53.000 --> 00:02:57.000]  跟著歷史書的就是《自慰書》
[00:02:57.000 --> 00:03:02.000]  《詩篇》、《針燕》、《藥百記》、《傳道書》和《牙歌》
