
[00:00:00.000 --> 00:00:02.000]  (音樂停止)
[00:00:02.000 --> 00:00:07.000]  這個月教會的主題是講到信仰和人生
[00:00:07.000 --> 00:00:11.000]  有一個月的時間我們來到思想
[00:00:11.000 --> 00:00:15.000]  究竟這個信仰和我們人生方方面面有什麼關係呢?
[00:00:15.000 --> 00:00:19.000]  今天我們的主題講到精彩人生
[00:00:19.000 --> 00:00:21.000]  由耶穌開始
[00:00:21.000 --> 00:00:26.000]  一個人生可能經歷過很多
[00:00:26.000 --> 00:00:31.000]  有些過往的人生已經很有光彩很有成就
[00:00:31.000 --> 00:00:34.000]  當我們回到耶穌面前的時候
[00:00:34.000 --> 00:00:38.000]  更加會經歷一個精彩的人生
[00:00:38.000 --> 00:00:42.000]  我在紐約有一節講到的時候
[00:00:42.000 --> 00:00:46.000]  還有一個神學培訓
[00:00:46.000 --> 00:00:48.000]  當時有一個弟兄
[00:00:48.000 --> 00:00:51.000]  他的名字一看就很特別
[00:00:51.000 --> 00:00:53.000]  他叫做愛心過郎
[00:00:53.000 --> 00:00:55.000]  這是一個姓氏
[00:00:55.000 --> 00:00:57.000]  如果你們知道中國歷史的話
[00:00:57.000 --> 00:01:01.000]  愛心過郎是一個王族的姓氏
[00:01:01.000 --> 00:01:03.000]  是當時滿清國的時候
[00:01:03.000 --> 00:01:06.000]  這個奇人的名字
[00:01:06.000 --> 00:01:09.000]  所以他是一個王族的後代
[00:01:09.000 --> 00:01:12.000]  他當時在會眾那裡
[00:01:12.000 --> 00:01:17.000]  也有一個願意去接受一個培訓的心
[00:01:17.000 --> 00:01:20.000]  他人生已經是相當有成就
[00:01:20.000 --> 00:01:21.000]  一個畫家
[00:01:21.000 --> 00:01:24.000]  畫畫畫得非常出色的一個畫家
[00:01:24.000 --> 00:01:28.000]  他在人生的光彩裡面
[00:01:28.000 --> 00:01:31.000]  將自己一生交託給主
[00:01:31.000 --> 00:01:35.000]  能夠經歷一個更精彩的人生
[00:01:35.000 --> 00:01:39.000]  將他人生的下半場奉獻給主
[00:01:39.000 --> 00:01:43.000]  能夠活得更加美滿更加精彩
[00:01:43.000 --> 00:01:45.000]  所以如果你今天去紐約的話
[00:01:45.000 --> 00:01:49.000]  你找紐約的牧師中間有一個叫愛心過郎
[00:01:49.000 --> 00:01:51.000]  就是這個王族的牧師
[00:01:51.000 --> 00:01:54.000]  或者我們中間有些人的人生
[00:01:54.000 --> 00:01:57.000]  曾經經歷過很多傷痛
[00:01:57.000 --> 00:02:00.000]  不是很有光彩
[00:02:00.000 --> 00:02:03.000]  甚至很痛苦的一段人生
[00:02:03.000 --> 00:02:05.000]  失去了一個真我
[00:02:05.000 --> 00:02:08.000]  失去了一個人生的真愛
[00:02:08.000 --> 00:02:10.000]  對真理也不認識
[00:02:10.000 --> 00:02:13.000]  今天我們一起來思想
[00:02:13.000 --> 00:02:17.000]  在《讓方案》裡面提到有一個人物
[00:02:17.000 --> 00:02:20.000]  《讓方案》第四章裡面提到有一個婦人
[00:02:20.000 --> 00:02:24.000]  這個婦人叫撒瑪利亞的婦人
[00:02:24.000 --> 00:02:28.000]  她的名字沒有記載在福音書裡面
[00:02:28.000 --> 00:02:30.000]  這個撒瑪利亞的婦人
[00:02:30.000 --> 00:02:33.000]  她和耶穌基督有一段相遇
[00:02:33.000 --> 00:02:38.000]  這一段相遇改變了她整個人生
[00:02:38.000 --> 00:02:42.000]  當時耶穌基督在南邊的耶路撒冷
[00:02:42.000 --> 00:02:46.000]  要上到北邊的加利利
[00:02:46.000 --> 00:02:51.000]  通常猶太人不會直穿過撒瑪利亞這個地方
[00:02:51.000 --> 00:02:53.000]  就會繞道經過
[00:02:53.000 --> 00:02:57.000]  因為他認為撒瑪利亞人是不清潔的
[00:02:57.000 --> 00:02:58.000]  是雜種的
[00:02:58.000 --> 00:03:00.000]  和他們沒有交往
[00:03:00.000 --> 00:03:05.000]  但當時耶穌基督在這一次的行程裡面
[00:03:05.000 --> 00:03:12.000]  特別的從耶路撒冷直穿經過撒瑪利亞
[00:03:12.000 --> 00:03:15.000]  去到一個村莊那裡
