
[00:00:00.000 --> 00:00:08.000]  剛才我們一起讀的詩篇148篇
[00:00:08.000 --> 00:00:19.000]  其實是舊約聖經當中150首詩篇這本書最後的5篇
[00:00:19.000 --> 00:00:23.000]  叫做Hallelujah詩篇
[00:00:23.000 --> 00:00:37.000]  為什麼呢?因為這5首詩篇開頭結束都是同一個字Hallelujah
[00:00:37.000 --> 00:00:42.000]  我們華人教會不是認識很多非白來文
[00:00:42.000 --> 00:00:46.000]  不過起碼認識兩個字
[00:00:46.000 --> 00:00:53.000]  一個是Hallelujah 另一個是阿們
[00:00:53.000 --> 00:00:56.000]  這個是非法來文 不是國道門
[00:00:56.000 --> 00:01:01.000]  這個是翼翼Hallelujah都是翼翼
[00:01:01.000 --> 00:01:03.000]  是什麼意思呢?
[00:01:03.000 --> 00:01:08.000]  CV148T的第一節和十四節
[00:01:08.000 --> 00:01:15.000]  其實翻譯的意思是你們要讚美主
[00:01:15.000 --> 00:01:22.000]  開始從這句話Hallelujah結束最後Hallelujah
[00:01:22.000 --> 00:01:26.000]  所以5首詩篇都是用這個格式
[00:01:26.000 --> 00:01:31.000]  我們一般會叫做Hallelujah詩篇
[00:01:31.000 --> 00:01:39.000]  作為詩篇這本書的壓軸、總結、高潮
[00:01:39.000 --> 00:01:46.000]  148篇就是這5篇詩篇的中間篇
[00:01:46.000 --> 00:01:48.000]  你心水清數一數
[00:01:48.000 --> 00:01:54.000]  它教我們怎樣讚美神
[00:01:54.000 --> 00:01:58.000]  每一首詩篇都很整齊
[00:01:58.000 --> 00:02:00.000]  好像我們唱聖詩一樣
[00:02:00.000 --> 00:02:04.000]  我當然在說剛才主席弟弟好好介紹了
[00:02:04.000 --> 00:02:10.000]  同年代的同的詩歌 最後那首粵詩
[00:02:10.000 --> 00:02:12.000]  是可以小時候唱的
[00:02:12.000 --> 00:02:14.000]  懂得唱的都是小時候才唱的
[00:02:14.000 --> 00:02:17.000]  現在不唱了 除了四部之外
[00:02:17.000 --> 00:02:20.000]  其實它每一節都很整齊
[00:02:20.000 --> 00:02:22.000]  有沒有留意到?
[00:02:22.000 --> 00:02:25.000]  比較新的 不是叫新潮
[00:02:25.000 --> 00:02:28.000]  新的一代的聖詩
[00:02:28.000 --> 00:02:36.000]  可能沒有了每一節齊齊整整的間式
[00:02:36.000 --> 00:02:39.000]  喜歡粗一點 喜歡短一點
[00:02:39.000 --> 00:02:42.000]  沒問題的 這是創作
[00:02:42.000 --> 00:02:48.000]  詩篇148篇其實很整齊
[00:02:48.000 --> 00:02:53.000]  5個段落 或者我們用今天唱詩的說法
[00:02:53.000 --> 00:03:00.000]  每一個段落裏面有三句六行
[00:03:00.000 --> 00:03:02.000]  很整齊的
[00:03:02.000 --> 00:03:05.000]  第一段 由第一節
[00:03:05.000 --> 00:03:09.000]  「你管要讚美主 哈利路亞」之後開始
[00:03:09.000 --> 00:03:11.000]  一直到第三節
[00:03:11.000 --> 00:03:13.000]  這個叫做第一段
[00:03:13.000 --> 00:03:17.000]  然後第四節到第六節
[00:03:17.000 --> 00:03:23.000]  又是三句六行
[00:03:23.000 --> 00:03:29.000]  很工整的格式和結構
[00:03:29.000 --> 00:03:34.000]  第三段七到九節
[00:03:34.000 --> 00:03:39.000]  第四段十到十二節
[00:03:39.000 --> 00:03:41.000]  到這裏為止
[00:03:41.000 --> 00:03:45.000]  《玄學聖經》的節數都沒有配合
[00:03:45.000 --> 00:03:49.000]  每一段三節
[00:03:49.000 --> 00:03:51.000]  所以四段十二節
[00:03:51.000 --> 00:03:55.000]  最後那兩節就要馬上分了
[00:03:55.000 --> 00:03:58.000]  因為它只是分了兩節
[00:03:58.000 --> 00:04:03.000]  其實都是三句六行的一段
[00:04:03.000 --> 00:04:07.000]  試過結束的最後一段
[00:04:07.000 --> 00:04:11.000]  所以如果我們就這樣用和合本去讀
[00:04:11.000 --> 00:04:15.000]  我們未必察覺它原本
[00:04:15.000 --> 00:04:21.000]  《非白萊文》原來是一首很整齊的詩歌
[00:04:21.000 --> 00:04:25.000]  好像有福的確區那樣
[00:04:25.000 --> 00:04:30.000]  有時我們崇拜長期港獨主席
[00:04:30.000 --> 00:04:34.000]  看一看標筆 過了中就已經指揮心急
[00:04:34.000 --> 00:04:36.000]  最後那首詩歌
[00:04:36.000 --> 00:04:39.000]  我們唱第一節和最後那一節
[00:04:39.000 --> 00:04:42.000]  閹了中間三節
[00:04:42.000 --> 00:04:45.000]  是呀 不行的 其實真的不行的
[00:04:45.000 --> 00:04:50.000]  因為作者每一節有他的重點
[00:04:50.000 --> 00:04:52.000]  你拿走中間的
[00:04:52.000 --> 00:04:55.000]  派出那些五節變成三段兩節
[00:04:55.000 --> 00:04:59.000]  要不就不要唱了
[00:04:59.000 --> 00:05:04.000]  你這樣部分的內容出來
[00:05:04.000 --> 00:05:07.000]  其實有時我們不知道他在說甚麼
[00:05:07.000 --> 00:05:14.000]  CP148篇五段說甚麼的
[00:05:14.000 --> 00:05:22.000]  他都有 起門要讚美主
[00:05:22.000 --> 00:05:29.000]  我們一定認為聖經是在叫我們讚美主
[00:05:29.000 --> 00:05:31.000]  我們這一班弟兄姊妹
[00:05:31.000 --> 00:05:34.000]  我們這一班肅神的兒女
[00:05:34.000 --> 00:05:39.000]  我們聚集在星期日聖餐的場前
[00:05:39.000 --> 00:05:43.000]  我們在崇拜 不如說敬拜讚美
[00:05:43.000 --> 00:05:45.000]  還不是國樂地
[00:05:45.000 --> 00:05:49.000]  有沒有留意到CP148篇
[00:05:49.000 --> 00:05:52.000]  你們要讚美主
[00:05:52.000 --> 00:05:57.000]  這個你們是說誰的
[00:05:57.000 --> 00:06:00.000]  我嘗試重新翻譯
[00:06:00.000 --> 00:06:05.000]  想把格式排出來讓你看到
[00:06:05.000 --> 00:06:11.000]  頭一段其實每一句每一行
[00:06:11.000 --> 00:06:15.000]  都是用你們開始的
[00:06:15.000 --> 00:06:17.000]  你們要讚美上主
[00:06:17.000 --> 00:06:19.000]  你們要讚美客
[00:06:19.000 --> 00:06:23.000]  不怕心虛 再讀多四次
[00:06:23.000 --> 00:06:25.000]  每一句都是你們
[00:06:25.000 --> 00:06:35.000]  你們是誰?浩瀚諸天 雲霓高處
[00:06:35.000 --> 00:06:37.000]  是你們家嗎?
[00:06:37.000 --> 00:06:39.000]  我住在十二樓
[00:06:39.000 --> 00:06:47.000]  都沒有去到浩瀚諸天 雲霓高處
[00:06:47.000 --> 00:06:55.000]  所有他的使者 主的僕人
[00:06:55.000 --> 00:07:03.000]  太陽 月亮 明亮的星宿
[00:07:03.000 --> 00:07:08.000]  第一段原來不關我們事
[00:07:08.000 --> 00:07:12.000]  完全不是跟我們說話
[00:07:12.000 --> 00:07:14.000]  不是叫我們來讚美
[00:07:14.000 --> 00:07:17.000]  不要覺得自己很緊張
[00:07:17.000 --> 00:07:22.000]  哎呀 差了四步 失去了三音
[00:07:22.000 --> 00:07:26.000]  還沒有排隊
[00:07:26.000 --> 00:07:31.000]  這是在說天上的讚美
[00:07:31.000 --> 00:07:38.000]  神的僕人 太陽 月亮 星宿
[00:07:38.000 --> 00:07:47.000]  這個窮瘡宇宙超過我們的氛圍
[00:07:47.000 --> 00:07:51.000]  我們有些見到 有些見不到
[00:07:51.000 --> 00:07:54.000]  原來是在跟他們說
[00:07:54.000 --> 00:07:57.000]  你們要讚美神
[00:07:57.000 --> 00:08:00.000]  是你們要讚美主
[00:08:00.000 --> 00:08:04.000]  所以每一段有它的重點
[00:08:04.000 --> 00:08:07.000]  第一段不是在說我們
[00:08:07.000 --> 00:08:17.000]  原來天上的讚美早在我們出現之前
[00:08:17.000 --> 00:08:20.000]  它已經在讚美著
[00:08:20.000 --> 00:08:22.000]  大家明白嗎?
[00:08:22.000 --> 00:08:25.000]  詩篇是這樣開始的第一段 很重要的
[00:08:25.000 --> 00:08:29.000]  重複北京說你們要讚美
[00:08:29.000 --> 00:08:34.000]  沒有一句你們要讚美是跟我們說
[00:08:34.000 --> 00:08:37.000]  我們忍不住了
[00:08:37.000 --> 00:08:40.000]  我們覺得自己很重要
[00:08:40.000 --> 00:08:42.000]  還怎麼不跟我們說話
[00:08:42.000 --> 00:08:47.000]  你小心點 有賴聖明 石經的教導
[00:08:47.000 --> 00:08:51.000]  教我們怎麼讚美 但是他先幫我們看看
[00:08:51.000 --> 00:08:55.000]  天上是怎樣讚美的
[00:08:55.000 --> 00:08:57.000]  我們又是想得不對
[00:08:57.000 --> 00:08:59.000]  他們的詩班很漂亮的
[00:08:59.000 --> 00:09:02.000]  他們七步合唱的
[00:09:02.000 --> 00:09:05.000]  他們是整個交響樂團的
[00:09:05.000 --> 00:09:09.000]  天使天君的讚美的詩歌
[00:09:09.000 --> 00:09:11.000]  很大聲的
[00:09:11.000 --> 00:09:15.000]  我們是將我們的敬意
[00:09:15.000 --> 00:09:18.000]  認為天上的讚美
[00:09:18.000 --> 00:09:21.000]  都一定好像我們這樣的讚美
[00:09:21.000 --> 00:09:23.000]  所以一定要懂得唱歌
[00:09:23.000 --> 00:09:26.000]  「阿彼日」你不要走音啊
[00:09:26.000 --> 00:09:29.000]  如果不是家教詩班讚美神
[00:09:29.000 --> 00:09:34.000]  在天上走音就不好了
[00:09:34.000 --> 00:09:40.000]  天群第二段解釋給我們聽
[00:09:40.000 --> 00:09:44.000]  他們讚美上主的名
[00:09:44.000 --> 00:09:49.000]  是有三個原因
[00:09:49.000 --> 00:09:54.000]  第一是命令 第二是實建立
[00:09:54.000 --> 00:09:58.000]  第三是地化
