
[00:00:00.000 --> 00:00:07.080]  我們又開始又繼續講文綽記
[00:00:07.080 --> 00:00:12.200]  今天要和大家講26章27和36
[00:00:12.200 --> 00:00:16.640]  很奇怪是三章的經文夾在一起
[00:00:16.640 --> 00:00:20.160]  我們曾經也講過
[00:00:20.160 --> 00:00:24.680]  就是文綽記第26章開始
[00:00:24.680 --> 00:00:27.720]  其實我們已經是講新一代的以色列人
[00:00:27.720 --> 00:00:29.320]  是第二代的以色列人
[00:00:29.320 --> 00:00:33.760]  第一代在這裡1至19章跟大家分享了
[00:00:33.760 --> 00:00:39.080]  第二代的以色列人就在這裡26至36章
[00:00:39.080 --> 00:00:44.040]  而兩章的中間我們也講過有兩個先知的故事
[00:00:44.040 --> 00:00:46.800]  一個是以色列人的先知是摩西
[00:00:46.800 --> 00:00:50.480]  另外一個是外邦人的先知是巴拿
[00:00:50.480 --> 00:00:55.040]  今天會開始和大家講新一代的以色列人
[00:00:55.040 --> 00:00:58.320]  剛才我們也讀過經文
[00:00:58.320 --> 00:01:02.680]  我們讀過經文文綽記26章1至2節
[00:01:02.680 --> 00:01:09.720]  「瘟疫之後耶和華曉遇摩西和祭司阿倫的兒子以利亞撒雪
[00:01:09.720 --> 00:01:14.640]  你們要將以色列傳回眾按他們的宗族
[00:01:14.640 --> 00:01:20.080]  凡以色列宗從20歲以外能出去打仗的
[00:01:20.080 --> 00:01:22.000]  計算總數」
[00:01:22.000 --> 00:01:29.040]  接著文綽記26章64至65節又說
[00:01:29.040 --> 00:01:33.720]  「但被數的人中沒有一個是摩西和阿倫
[00:01:33.720 --> 00:01:37.800]  從前在西乃的曠野所數的以色列人
[00:01:37.800 --> 00:01:43.240]  因為耶和華論到他們說他們必要死在曠野
[00:01:43.240 --> 00:01:50.120]  所以除了耶夫尼的兒子加勒和嫩的兒子約書亞以外
[00:01:50.120 --> 00:01:53.720]  連一個人也沒有存留」
[00:01:53.720 --> 00:01:55.720]  我們看得很清楚
[00:01:55.720 --> 00:02:00.520]  26章開始的確是講新一代的以色列人
[00:02:00.520 --> 00:02:02.840]  除了約書亞和加勒
[00:02:02.840 --> 00:02:06.200]  已經全部是一批新的人
[00:02:06.200 --> 00:02:09.640]  剛才我們讀26章1節
[00:02:09.640 --> 00:02:12.760]  摩西這個作者的開場白
[00:02:12.760 --> 00:02:15.400]  就是說瘟疫之後
[00:02:15.400 --> 00:02:20.680]  短短一句就是將25章和26章分開了
[00:02:20.680 --> 00:02:24.520]  似乎26章又給以色列人有一個新的開始
[00:02:24.520 --> 00:02:28.360]  有一代新的以色列人出現
[00:02:28.360 --> 00:02:32.520]  25和26章中間是一個轉接
[00:02:32.520 --> 00:02:34.760]  瘟疫之後
[00:02:34.760 --> 00:02:38.600]  我們看到神真的在文綽記裡面
[00:02:38.600 --> 00:02:40.360]  祂是不斷給我們
[00:02:40.360 --> 00:02:43.000]  給以色列人機會的神
[00:02:43.000 --> 00:02:46.280]  在14章以色列人不肯入加勒地
[00:02:46.280 --> 00:02:48.680]  在15章神說「不要緊
[00:02:48.680 --> 00:02:51.800]  你們以後要聽我的話語
[00:02:51.800 --> 00:02:54.680]  每次見到你衣服上的水紙
[00:02:54.680 --> 00:02:58.440]  你就要記得聽從我一切的話語」
[00:02:58.440 --> 00:03:00.920]  16章 婆拉伴逸
[00:03:00.920 --> 00:03:04.120]  婆拉是利美人和祭司不和
[00:03:04.120 --> 00:03:05.960]  分黨
[00:03:05.960 --> 00:03:08.520]  去到18章神怎麼說
[00:03:08.520 --> 00:03:13.400]  要利美人和祭司再一次在會幕里一同侍奉
[00:03:13.400 --> 00:03:15.960]  又是一個新的開始
[00:03:15.960 --> 00:03:20.120]  去到21章我們說銅蛇的故事
[00:03:20.120 --> 00:03:21.800]  給以色列人醫治
[00:03:21.800 --> 00:03:23.880]  又是給他們重新來過
[00:03:23.880 --> 00:03:25.480]  有一個得到醫治
[00:03:25.480 --> 00:03:28.760]  我們信的神就是那位斯連敏
[00:03:28.760 --> 00:03:32.120]  奧連敏斯恩典的神
[00:03:32.120 --> 00:03:34.440]  可能有人會不服
[00:03:34.440 --> 00:03:36.920]  剛才讀過的經文你也讀過
[00:03:36.920 --> 00:03:39.960]  瘟疫之後你那位神是降瘟疫
[00:03:39.960 --> 00:03:44.200]  為什麼你又說是斯恩典奧連敏
[00:03:44.200 --> 00:03:47.080]  如果我們信的神
