
[00:00:00.000 --> 00:00:09.280]  今天繼續詩篇的系列
[00:00:09.280 --> 00:00:11.600]  多謝剛才詩歌的獻唱
[00:00:11.600 --> 00:00:15.880]  最後那個盤石很穩固 唱得真的很穩固
[00:00:15.880 --> 00:00:19.280]  我們今天這個詩的主題都是想到
[00:00:19.280 --> 00:00:21.120]  神是我們的盤石
[00:00:21.120 --> 00:00:24.640]  不過我們的生命是都挺虛的
[00:00:24.640 --> 00:00:27.360]  但不過幸運我們有神這個盤石
[00:00:27.360 --> 00:00:29.800]  站立在這個盤石就有盼望了
[00:00:29.800 --> 00:00:36.000]  我們先將這個詩篇第90篇讀一次
[00:00:36.000 --> 00:00:39.720]  括弧那個不用讀了 預備來
[00:00:39.720 --> 00:00:43.840]  主啊!祢世世代代作我們的居所
[00:00:43.840 --> 00:00:46.000]  珠山未曾出生
[00:00:46.000 --> 00:00:48.960]  祢對世界祢未曾造成
[00:00:48.960 --> 00:00:51.760]  從耿古到永遠祢是神
[00:00:51.760 --> 00:00:54.000]  祢使人歸回塵土
[00:00:54.000 --> 00:00:56.880]  說:你們世人要歸回
[00:00:56.880 --> 00:01:00.440]  在祢看來千年如已過的昨日
[00:01:00.440 --> 00:01:02.840]  猶如夜間的一更
[00:01:02.840 --> 00:01:05.520]  祢叫他們如水沖去
[00:01:05.520 --> 00:01:07.480]  他們如睡一覺
[00:01:07.480 --> 00:01:10.480]  早晨他們如生長的草
[00:01:10.480 --> 00:01:12.440]  早晨化下腐蟲
[00:01:12.440 --> 00:01:14.640]  地上割下枯乾
[00:01:14.640 --> 00:01:17.440]  我們因祢的怒氣而笑滅
[00:01:17.440 --> 00:01:19.720]  因祢的憤怒而驚惶
[00:01:19.720 --> 00:01:23.160]  祢將我們的罪孽擺在祢面前
[00:01:23.160 --> 00:01:27.120]  將我們的忍惡擺在祢面上之中
[00:01:27.120 --> 00:01:28.920]  我們經過的日子
[00:01:28.920 --> 00:01:30.960]  都在祢振怒之下
[00:01:30.960 --> 00:01:32.840]  我們到盡的年歲
[00:01:32.840 --> 00:01:35.040]  好像一星嘆息
[00:01:35.040 --> 00:01:37.960]  我們一生的年齡是二十歲
[00:01:37.960 --> 00:01:40.840]  若是狂狂可活到八十歲
[00:01:40.840 --> 00:01:45.160]  但其中所驚嘩的不過是勞苦受苦
[00:01:45.160 --> 00:01:46.520]  轉眼成空
[00:01:46.520 --> 00:01:49.160]  我們便如飛而去
[00:01:49.160 --> 00:01:51.920]  誰曉得祢浩氣的權勢呢?
[00:01:51.920 --> 00:01:54.400]  誰看著祢安守的境遇
[00:01:54.400 --> 00:01:56.400]  如得祢的憤怒之力?
[00:01:56.400 --> 00:02:00.400]  求祢指教我們怎樣數算自己的日子
[00:02:00.400 --> 00:02:03.200]  保佑我們得著智慧的心
[00:02:03.200 --> 00:02:04.400]  要我說
[00:02:04.400 --> 00:02:06.600]  我們要等到何時呢?
[00:02:06.600 --> 00:02:10.200]  讓祢轉回為我們的僕人後悔
[00:02:10.200 --> 00:02:13.920]  求祢使我們早早飽得祢的慈愛
[00:02:13.920 --> 00:02:17.400]  保佑我們一生一世得彼樂
[00:02:17.400 --> 00:02:20.920]  求祢照著我們照顧的日子
[00:02:20.920 --> 00:02:22.920]  和我們遭難的年歲
[00:02:22.920 --> 00:02:24.920]  要我們彼樂
[00:02:24.920 --> 00:02:27.920]  願祢在位向祢和人顯現
[00:02:27.920 --> 00:02:31.920]  願祢永遠要向我們指導點名
[00:02:31.920 --> 00:02:36.400]  願主我們的神的榮美歸於我們身上
[00:02:36.400 --> 00:02:39.400]  願祢天下我們手所作的功
[00:02:39.400 --> 00:02:42.920]  我們手所作的功願祢天下
[00:02:42.920 --> 00:02:44.920]  好 我們低頭做個禱告
[00:02:44.920 --> 00:02:45.920]  神啊 真是的
[00:02:45.920 --> 00:02:49.920]  我們的生命片刻之間如飛而逝
[00:02:49.920 --> 00:02:52.920]  神啊 我們短暫的生命
[00:02:52.920 --> 00:02:56.920]  在祢永恆中的計劃是有一個價值
[00:02:56.920 --> 00:02:58.920]  有一個深遠的意義
[00:02:58.920 --> 00:03:00.920]  神啊 求祢幫助我們
[00:03:00.920 --> 00:03:02.920]  看到我們生命的意義在哪裡
[00:03:02.920 --> 00:03:05.920]  幫助我們看到
[00:03:05.920 --> 00:03:09.920]  祢在永恆之中所安排的一切
[00:03:09.920 --> 00:03:12.920]  以致在我們生命中每一天
[00:03:12.920 --> 00:03:15.920]  我們能夠有感恩、有方向、有盼望
[00:03:15.920 --> 00:03:18.920]  今天一段聽到的時間
[00:03:18.920 --> 00:03:20.920]  求祢對我們說話
[00:03:20.920 --> 00:03:24.920]  讓祢的話語成為我們生命中的明燈
[00:03:24.920 --> 00:03:25.920]  我們將以下時間交託
[00:03:25.920 --> 00:03:27.920]  禱告奉耶穌、祈禱明
[00:03:27.920 --> 00:03:30.920]  好 我們回到第一節
[00:03:30.920 --> 00:03:35.920]  神人摩西的祈禱
[00:03:35.920 --> 00:03:44.920]  詩篇第90篇其實就是詩篇第五卷開頭的第一篇
[00:03:44.920 --> 00:03:47.920]  如果你讀一些詩篇研究
[00:03:47.920 --> 00:03:49.920]  可能告訴你
[00:03:49.920 --> 00:03:52.920]  其實詩篇的安排
[00:03:52.920 --> 00:03:55.920]  150首的次序其實都有些意義在
[00:03:55.920 --> 00:03:59.920]  詩篇第90篇第五卷
[00:03:59.920 --> 00:04:01.920]  好像是綜合了
[00:04:01.920 --> 00:04:04.920]  接近結尾了
[00:04:04.920 --> 00:04:06.920]  綜合人生的經驗
[00:04:06.920 --> 00:04:08.920]  所以它開始的時候
[00:04:08.920 --> 00:04:11.920]  第90篇是以一篇所謂
[00:04:11.920 --> 00:04:13.920]  好像一個老人家
[00:04:13.920 --> 00:04:16.920]  回顧人生的日子
[00:04:16.920 --> 00:04:18.920]  作為一個詩篇
[00:04:18.920 --> 00:04:20.920]  作為第五卷的開始
[00:04:20.920 --> 00:04:23.920]  第五卷最後一首詩篇150篇
[00:04:23.920 --> 00:04:24.920]  跟大家說過了
[00:04:24.920 --> 00:04:26.920]  希望人生的結尾是讚美
[00:04:26.920 --> 00:04:29.920]  但是去到150篇之前
[00:04:29.920 --> 00:04:32.920]  首先要有一個回顧一下
[00:04:32.920 --> 00:04:34.920]  人生是一個什麼回事
[00:04:34.920 --> 00:04:37.920]  所以我們讀詩篇研究的人
[00:04:37.920 --> 00:04:40.920]  又會說將詩篇分類
[00:04:40.920 --> 00:04:45.920]  詩篇90篇起碼其中一個分類的方法
[00:04:45.920 --> 00:04:49.920]  就是這首是屬於一首智慧的詩篇
[00:04:49.920 --> 00:04:51.920]  所以第12節的時候
[00:04:51.920 --> 00:04:53.920]  求你教我數算我的日子
[00:04:53.920 --> 00:04:56.920]  以致我得著智慧的心
[00:04:56.920 --> 00:04:59.920]  教我們什麼叫做Wisdom 智慧
[00:04:59.920 --> 00:05:03.920]  那張生思其實是不是摩西寫的呢
[00:05:03.920 --> 00:05:04.920]  大概是摩西寫的
[00:05:04.920 --> 00:05:06.920]  不過可能又經過後人修訂
[00:05:06.920 --> 00:05:08.920]  這個也不需要深究了
[00:05:08.920 --> 00:05:12.920]  無論如何猶太人覺得這首詩
[00:05:12.920 --> 00:05:18.920]  應該是很反映神人摩西萬年的默想
[00:05:18.920 --> 00:05:21.920]  所以這首詩如果真的是摩西寫的
[00:05:21.920 --> 00:05:24.920]  大概應該都不是40歲寫
[00:05:24.920 --> 00:05:26.920]  或者甚至不是80歲寫
[00:05:26.920 --> 00:05:28.920]  可能他是120歲
[00:05:28.920 --> 00:05:31.920]  快要離開世界的時候所寫的東西
[00:05:31.920 --> 00:05:35.920]  他就看回人的一生
[00:05:35.920 --> 00:05:38.920]  詩很有趣的 這首詩
[00:05:38.920 --> 00:05:43.920]  我們有時候用這首詩來做報道會
[00:05:43.920 --> 00:05:47.920]  但是如果你細心看這首詩的內容
