
[00:00:00.000 --> 00:00:02.000]  多謝大家收看,多謝大家的支持!
[00:00:03.000 --> 00:00:07.000]  感謝神在給我機會在第一節當中宣講神的說話
[00:00:07.000 --> 00:00:10.000]  也很開心看到大家
[00:00:10.000 --> 00:00:13.000]  我是在沙田住的第一城
[00:00:13.000 --> 00:00:18.000]  我們知道四周很多村子都好像是重災區一樣
[00:00:18.000 --> 00:00:22.000]  大家能夠回來,我也欣賞你的勇氣
[00:00:22.000 --> 00:00:27.000]  在家上往崇拜的
[00:00:27.000 --> 00:00:29.000]  我們都能夠明白,都能夠理解
[00:00:29.000 --> 00:00:31.000]  希望你自己也要小心
[00:00:31.000 --> 00:00:36.000]  我們可以再過幾個星期回來
[00:00:36.000 --> 00:00:39.000]  我不知道說得好不好
[00:00:39.000 --> 00:00:41.000]  需要不要說大聲一點
[00:00:41.000 --> 00:00:43.000]  走遠一點,走近一點,還是怎麼樣
[00:00:43.000 --> 00:00:47.000]  今天想用大概30分鐘的時間
[00:00:47.000 --> 00:00:50.000]  跟大家看這段經文
[00:00:50.000 --> 00:00:54.000]  所以題目就是為了一間適簡的教會應該怎麼做
[00:00:54.000 --> 00:00:57.000]  應該向主耶穌負責
[00:00:57.000 --> 00:01:00.000]  做些什麼呢?堅持傳福音
[00:01:00.000 --> 00:01:04.000]  在這個時代,這個時刻
[00:01:04.000 --> 00:01:09.000]  似乎很合適我們近來的情況
[00:01:09.000 --> 00:01:12.000]  尤其是如果你是做公務員的
[00:01:12.000 --> 00:01:14.000]  或者準備入公務員的
[00:01:14.000 --> 00:01:17.000]  你要知道準備要向誰效忠
[00:01:17.000 --> 00:01:21.000]  不過保羅就說要向誰效忠,向誰負責
[00:01:21.000 --> 00:01:24.000]  做些什麼呢?是勇敢的,可以做的
[00:01:24.000 --> 00:01:29.000]  不過堅持這樣,繼續做傳福音的工作
[00:01:29.000 --> 00:01:32.000]  或者我們先讀經文
[00:01:32.000 --> 00:01:35.000]  然後我們就開始詳細看經文
[00:01:35.000 --> 00:01:37.000]  你們教會很好,做了一些經文給我
[00:01:37.000 --> 00:01:39.000]  就可以跟大家一起讀
[00:01:39.000 --> 00:01:42.000]  好,這一樣看來
[00:01:42.000 --> 00:01:46.000]  我親愛的弟兄,你們幾時常信奉的
[00:01:46.000 --> 00:01:48.000]  不但我在你們那裡
[00:01:48.000 --> 00:01:51.000]  就是我如今不在你們那裡
[00:01:51.000 --> 00:01:53.000]  更是信奉的
[00:01:53.000 --> 00:01:58.000]  就當恐懼戰經造成你們得救的功夫
[00:01:58.000 --> 00:02:01.000]  因為你們立志行事
[00:02:01.000 --> 00:02:04.000]  都是神在你們心裡運行
[00:02:04.000 --> 00:02:07.000]  為要成就他的美意
[00:02:07.000 --> 00:02:12.000]  犯所行的都不要發怨言,起爭論
[00:02:12.000 --> 00:02:16.000]  使你們無可指責,誠實無偽
[00:02:16.000 --> 00:02:19.000]  在這彎曲博貌的世代
[00:02:19.000 --> 00:02:22.000]  神無瑕疵的兒女
[00:02:22.000 --> 00:02:24.000]  你們顯在這世代中
[00:02:24.000 --> 00:02:30.000]  好象明光照耀,將生命的道表明出來
[00:02:30.000 --> 00:02:32.000]  叫我在基督的日子
[00:02:32.000 --> 00:02:37.000]  好誇我沒有胸跑,也沒有徒勞
[00:02:37.000 --> 00:02:41.000]  我以你們的信心為貢獻的祭物
[00:02:41.000 --> 00:02:45.000]  我若被囂奠在其上,也是喜樂
[00:02:45.000 --> 00:02:49.000]  並且你們眾人一同喜樂
[00:02:49.000 --> 00:02:52.000]  你們也要照樣喜樂
[00:02:52.000 --> 00:02:55.000]  並且與我一同喜樂
[00:02:55.000 --> 00:02:58.000]  好,麻煩讓我回到最初的
[00:02:58.000 --> 00:03:00.000]  稍微溫習一下
[00:03:00.000 --> 00:03:03.000]  現在這是第二章十二節
[00:03:03.000 --> 00:03:06.000]  第一章第一節,第一章十一節
[00:03:06.000 --> 00:03:09.000]  保羅的教導就是這樣
[00:03:09.000 --> 00:03:12.000]  特別是在第十節可以看到
[00:03:12.000 --> 00:03:14.000]  他說,我為他們教會祈禱
[00:03:14.000 --> 00:03:19.000]  希望你們在愛心、知識和識見上多
[00:03:19.000 --> 00:03:22.000]  那你們就可以分別是非
[00:03:22.000 --> 00:03:25.000]  這是《和合本》的寫法
[00:03:25.000 --> 00:03:27.000]  我知道教會不擺聖經
[00:03:27.000 --> 00:03:30.000]  如果你有手機,你也可以看到
