
[00:00:00.000 --> 00:00:04.000]  大家好 節目平安
[00:00:04.000 --> 00:00:09.000]  很高興今天能夠跟大家講一個訊息
[00:00:09.000 --> 00:00:12.000]  這一個題目是我時時思想的
[00:00:12.000 --> 00:00:14.000]  是什麼題目呢?
[00:00:14.000 --> 00:00:17.000]  邪惡的源頭在哪裡來的?
[00:00:17.000 --> 00:00:22.000]  我們知道我們所相信的神是良善、是完美的
[00:00:22.000 --> 00:00:26.000]  所以祂創造出來的都應該是良善的、完美的
[00:00:26.000 --> 00:00:28.000]  邪惡在哪裡來的呢?
[00:00:28.000 --> 00:00:31.000]  還有第二個問題我們需要回答的就是
[00:00:31.000 --> 00:00:35.000]  神是萬能的 神是無所不能
[00:00:35.000 --> 00:00:40.000]  祂也知道人會墮落 為什麼祂仍然容許人墮落呢?
[00:00:40.000 --> 00:00:44.000]  這個就是第二個我們會回答的問題
[00:00:44.000 --> 00:00:49.000]  所以第一個就是 邪惡的源頭在哪裡來的?
[00:00:49.000 --> 00:00:53.000]  為什麼神容許人墮落呢?就是這兩個問題
[00:00:53.000 --> 00:00:58.000]  首先我們要知道很多人都很喜歡找起源
[00:00:58.000 --> 00:01:02.000]  為什麼我們會相信進化論呢?
[00:01:02.000 --> 00:01:06.000]  因為他們認為人類的起源就是進化論
[00:01:06.000 --> 00:01:10.000]  還有呢?宇宙的起源又在哪裡來的呢?
[00:01:10.000 --> 00:01:13.000]  很多人說是大爆炸論
[00:01:13.000 --> 00:01:18.000]  那麼罪惡的源頭在創世紀的第三章
[00:01:18.000 --> 00:01:27.000]  其實在創世紀的第一章、第二章 神已經告訴我們世界、宇宙、人類在哪裡來
[00:01:27.000 --> 00:01:33.000]  然後第三章就告訴我們 邪惡在哪裡來、罪在哪裡來
[00:01:33.000 --> 00:01:38.000]  首先神創造宇宙萬物之後 一切都是好的
[00:01:38.000 --> 00:01:40.000]  看看創世紀的一章31節
[00:01:40.000 --> 00:01:47.000]  神看著一切所做的都甚好 有晚上有早晨是第六日
[00:01:47.000 --> 00:01:52.000]  所以神創造一切都是好 神是良善、是完美的
