
[00:00:00.000 --> 00:00:03.760]  各位網友 各位網友 各位網友 各位網友
[00:00:03.760 --> 00:00:09.220]  各位網友 各位網友 各位網友 各位網友 各位網友
[00:00:09.220 --> 00:00:15.080]  各位網友 各位網友 各位網友 各位網友 各位網友
[00:00:15.080 --> 00:00:19.480]  各位網友 我們是「大紀元」的節目 各位網友 各位網友
[00:00:19.480 --> 00:00:22.720]  我們是「大紀元」的節目 我們是「大紀元」的節目
[00:00:22.720 --> 00:00:25.920]  我們是「大紀元」的節目 我們是「大紀元」的節目
[00:00:25.920 --> 00:00:31.440]  跟著整個的信息 我們都要翻溫一下
[00:00:31.440 --> 00:00:35.720]  我們講過些什麼 已經有幾個月這麼長
[00:00:35.720 --> 00:00:41.020]  其實整個的核心就是有七個印
[00:00:41.020 --> 00:00:45.440]  第七個印就是七個號 即是開第七個印
[00:00:45.440 --> 00:00:49.200]  第七個印就是七個號 七個印就講到
[00:00:49.200 --> 00:00:53.420]  在幕後很多的災難 很多事情發生
[00:00:53.420 --> 00:00:58.860]  七個號就更加接近這個末世
[00:00:58.860 --> 00:01:02.480]  不過在時間上我們知道
[00:01:02.480 --> 00:01:06.100]  因為我們不知道什麼時候末世 不知道什麼時候主旗回來
[00:01:06.100 --> 00:01:09.760]  它是將末世可能發生的事情
[00:01:09.760 --> 00:01:13.440]  來展現給我們看
[00:01:13.440 --> 00:01:16.460]  現在我們進入第十一章
[00:01:16.460 --> 00:01:22.380]  其實就已經去到第六個號 最後的了
[00:01:22.380 --> 00:01:27.180]  第十一章之後 就是最後一個號
[00:01:27.180 --> 00:01:30.680]  那個就是「終末的事」
[00:01:30.680 --> 00:01:34.340]  因此今天我們講這章十一章
[00:01:34.340 --> 00:01:37.920]  就是講到在末世的時候發生的幾件事情
[00:01:37.920 --> 00:01:42.820]  其中的事情就是特別跟教會有關的
[00:01:42.820 --> 00:01:49.320]  剛才我們就讀了頭七節 這件事情是很長的
[00:01:49.320 --> 00:01:54.240]  所以另外一半我想現在和你讀下去
[00:01:54.240 --> 00:01:58.480]  我是會講完的 我每次一章都講完
[00:01:58.480 --> 00:02:03.140]  這章就要有很多舊約的聖經來解釋
[00:02:03.140 --> 00:02:07.760]  如果你有聖經的話 就請你打開第八節
[00:02:07.760 --> 00:02:14.100]  我們讀到第十四節
[00:02:14.100 --> 00:02:16.380]  有聖經的我們讀下去
[00:02:16.380 --> 00:02:18.320]  今天我們其實是講了十三節
[00:02:18.320 --> 00:02:22.140]  十四節是要介紹之後的事情
[00:02:22.140 --> 00:02:26.620]  第八節 剛才講到那兩個傳教人被殺
[00:02:26.620 --> 00:02:31.940]  第八節 「他們的屍首就倒在大城的街上
[00:02:31.940 --> 00:02:36.900]  這城按著靈異叫索多瑪 又叫埃及
[00:02:36.900 --> 00:02:40.560]  就是他們的主釘十字架之處
[00:02:40.560 --> 00:02:44.020]  從各民各族各方各國中
[00:02:44.020 --> 00:02:47.820]  有人觀看他們的屍首三天半
[00:02:47.820 --> 00:02:51.460]  又不許把屍首放在墳墓裡
[00:02:51.460 --> 00:02:55.860]  住在地上的人就為他們歡喜快樂
[00:02:55.860 --> 00:02:58.340]  互相攜送禮物
[00:02:58.340 --> 00:03:03.720]  因這兩位先知曾叫住在地上的人受痛苦
[00:03:03.720 --> 00:03:05.820]  過了這三天半
[00:03:05.820 --> 00:03:09.620]  有生氣從神那裡進入他們裡面
[00:03:09.620 --> 00:03:14.480]  他們就站起來看見他們的人甚是害怕
[00:03:14.480 --> 00:03:20.120]  兩位先知聽見有大聲音從天上來對他們說
[00:03:20.120 --> 00:03:24.720]  上到這裡來他們就駕著魂上了天
[00:03:24.720 --> 00:03:27.220]  他們的仇敵也看見了
[00:03:27.220 --> 00:03:32.660]  正在那時候地帶震動城就倒塌了
[00:03:32.660 --> 00:03:36.500]  自日因地震而死的有七千人
[00:03:36.500 --> 00:03:40.860]  其餘的都恐懼歸榮耀給天上的神
