
[00:00:00.000 --> 00:00:03.420]  很難得 港島這麼少人請
[00:00:03.420 --> 00:00:07.120]  也很開心 因為這麼難得的機會
[00:00:07.120 --> 00:00:08.920]  我想大家很空閒
[00:00:08.920 --> 00:00:10.520]  這段時間 這個二月份
[00:00:10.520 --> 00:00:12.980]  我想你人生裏面很少空閒
[00:00:12.980 --> 00:00:16.920]  特別上班的人很多都不用上班 在家工作
[00:00:16.920 --> 00:00:21.520]  在家工作是多了時間的
[00:00:21.520 --> 00:00:25.120]  起碼你不用 每天都要上班
[00:00:25.120 --> 00:00:30.200]  或者是找車回家 排隊
[00:00:30.200 --> 00:00:35.200]  但是你覺不覺得 可能有個意思在這裏
[00:00:35.200 --> 00:00:38.200]  就是你在家裏時間多了
[00:00:38.200 --> 00:00:41.700]  你對你自己的自處時間都多了
[00:00:41.700 --> 00:00:43.700]  有時間可以想一下事情
[00:00:43.700 --> 00:00:48.200]  因為你不用再讓老闆或者同事經常打給你
[00:00:48.200 --> 00:00:50.200]  事情做得怎麼樣
[00:00:50.200 --> 00:00:56.200]  第二就是你和家人坐在一起時間多了
[00:00:56.200 --> 00:01:02.200]  用好這個二月或者將來的三月做什麼呢
[00:01:02.200 --> 00:01:04.200]  不知道有沒有想這個問題
[00:01:04.200 --> 00:01:08.200]  可能在人生裏面 明年或者十年內
[00:01:08.200 --> 00:01:12.200]  你再沒有遇到今天 這些時間
[00:01:12.200 --> 00:01:16.200]  和你的自處 和你的生活 和你的生活
[00:01:16.200 --> 00:01:21.200]  這些時間 和你的自處 和你的家人
[00:01:21.200 --> 00:01:25.200]  可以談一些心事
[00:01:25.200 --> 00:01:32.200]  他們最有興趣的話題一定是說戴口罩 疫情
[00:01:32.200 --> 00:01:36.200]  沒有人覺得你離題
[00:01:36.200 --> 00:01:40.200]  但是想一下在一年前或者半年前
[00:01:40.200 --> 00:01:43.200]  你說這些東西 人家說你離題
[00:01:43.200 --> 00:01:47.200]  說什麼苦難 什麼天災
[00:01:47.200 --> 00:01:50.200]  他說你神經質
[00:01:50.200 --> 00:01:56.200]  如果人最有興趣聽和討論的時候
[00:01:56.200 --> 00:02:03.200]  這個基督徒沒有什麼內容去說 是不是很可惜呢
[00:02:03.200 --> 00:02:09.200]  就像聖誕節 你不懂得說聖誕節 是不是很可惜呢
[00:02:09.200 --> 00:02:12.200]  所以今天我覺得 拿些時間來想一下
[00:02:12.200 --> 00:02:15.200]  很值得 很值得
[00:02:15.200 --> 00:02:18.200]  甚至將這個話題成為你的專題
[00:02:18.200 --> 00:02:20.200]  在你人生裏很值得
[00:02:20.200 --> 00:02:24.200]  人家說想起苦難 天災
[00:02:24.200 --> 00:02:27.200]  找個基督徒談一下
[00:02:27.200 --> 00:02:31.200]  我相信這樣是生命裏面其中一個任務
[00:02:31.200 --> 00:02:35.200]  應該我們練熟一點 練好一點
[00:02:35.200 --> 00:02:39.200]  剛才讀那段經文 不知道你選兩個字
[00:02:39.200 --> 00:02:46.200]  哪兩個字是最接近 全香港人都立刻說是
[00:02:46.200 --> 00:02:48.200]  你選哪個字呢
[00:02:48.200 --> 00:02:53.200]  《約伯記》一章一 四字五字
[00:02:53.200 --> 00:02:57.200]  我想如果做一個大選舉
[00:02:57.200 --> 00:03:02.200]  小學六年級學生做慣《全要》文章
[00:03:02.200 --> 00:03:08.200]  他都會說 疫情 這段聖經
[00:03:08.200 --> 00:03:12.200]  那兩個字就是自結
[00:03:12.200 --> 00:03:21.200]  自結 一個人如果傳染給別人
[00:03:21.200 --> 00:03:26.200]  他自己的骯髒 因為他不自結
[00:03:26.200 --> 00:03:30.200]  所以搞到別人都有難
[00:03:30.200 --> 00:03:35.200]  這個字又沒有人說你離題
[00:03:35.200 --> 00:03:38.200]  人家同意很需要
[00:03:38.200 --> 00:03:41.200]  甚至我想將來這個世界
[00:03:41.200 --> 00:03:46.200]  清潔這兩個字可能是一個新學問
[00:03:46.200 --> 00:03:51.200]  人家研究多元智能 最後的智能講到環保
[00:03:51.200 --> 00:03:57.200]  但其實可能清潔還來得更加緊要
[00:03:57.200 --> 00:04:00.200]  但清潔一定是和自結有關係
[00:04:00.200 --> 00:04:04.200]  這段經文如果你自己一個人
[00:04:04.200 --> 00:04:07.200]  想一個小時 我想你都不夠時間想
[00:04:07.200 --> 00:04:11.200]  因為裏面很多疑點 是很有興趣想的
[00:04:11.200 --> 00:04:16.200]  譬如舉個例 約伯 大家知道他是誰
[00:04:16.200 --> 00:04:25.200]  約伯的兒子 各自 每個人在自己家請客
[00:04:25.200 --> 00:04:30.200]  各自請客 相信他的家都很大
[00:04:30.200 --> 00:04:34.200]  朋友都可能多 最有趣的是他又找他的姊妹來
[00:04:34.200 --> 00:04:37.200]  一同請客 沒問題 沒問題
[00:04:37.200 --> 00:04:42.200]  人家都覺得家裏除了住睡覺 還有吃飯
[00:04:42.200 --> 00:04:45.200]  或者有個客廳 客廳來幹什麼
[00:04:45.200 --> 00:04:48.200]  當然是和人家一起吃飯
[00:04:48.200 --> 00:04:56.200]  接著 吃完飯後 約伯知他的女兒吃飯
[00:04:56.200 --> 00:05:02.200]  他就打發人家 叫他們自結
[00:05:02.200 --> 00:05:04.200]  不是叫他們收拾房子 不是叫他們收拾桌子
[00:05:04.200 --> 00:05:08.200]  不是叫他們洗碗 是叫他們自結
[00:05:08.200 --> 00:05:11.200]  為什麼呢 這是第一個問題
[00:05:11.200 --> 00:05:16.200]  接著他清早起來 即是晨早起來
[00:05:16.200 --> 00:05:23.200]  第一件事做什麼呢 就是按著眾人的數目
[00:05:23.200 --> 00:05:28.200]  逐個數 一個都不要漏 獻煩祭 一個都不要漏
[00:05:28.200 --> 00:05:34.200]  即是說 他要逐個名叫到足 不要漏
[00:05:34.200 --> 00:05:40.200]  為他們獻煩祭 原因聖經說了
[00:05:40.200 --> 00:05:46.200]  他恐怕他的兒子犯罪 恐怕 恐怕
[00:05:46.200 --> 00:05:50.200]  沒有證據證明一定是 但他恐怕 恐怕
[00:05:50.200 --> 00:05:57.200]  心中棄掉神 心中 行動未必看得很清楚
