
[00:00:00.000 --> 00:00:05.000]  各位大兄姊妹 各位朋友 你們好
[00:00:05.000 --> 00:00:09.000]  歡迎大家參加我們三藩市播道會的網上崇拜
[00:00:09.000 --> 00:00:12.000]  我們繼續思想啟示錄的訊息
[00:00:12.000 --> 00:00:17.000]  今天我們去到啟示錄第四章 一節至到八節
[00:00:17.000 --> 00:00:21.000]  天堂美景 先睹為快
[00:00:21.000 --> 00:00:23.000]  我們首先一同的祈禱
[00:00:23.000 --> 00:00:27.000]  天父多謝你給你寶貴話語作為我們生命的指引
[00:00:27.000 --> 00:00:32.000]  祈求你藉著你的話語去提醒 勸勉 教導 安慰 幫助我們
[00:00:32.000 --> 00:00:37.000]  叫我們的焦點放在我們主 我們的神的眼中
[00:00:37.000 --> 00:00:40.000]  奉耶穌基督的名求 阿們
[00:00:40.000 --> 00:00:42.000]  當我們研讀啟示錄的時候
[00:00:42.000 --> 00:00:45.000]  我們發覺一個最大的困難
[00:00:45.000 --> 00:00:51.000]  就是在啟示錄當中都有很多的圖像 標記 數目
[00:00:51.000 --> 00:00:56.000]  英文所謂symbols 究竟我們怎樣去解讀這些symbols呢
[00:00:56.000 --> 00:00:59.000]  我們就用這段聖經作為一個例子
[00:00:59.000 --> 00:01:01.000]  這段聖經有不少的數目
[00:01:01.000 --> 00:01:05.000]  第二節說一個寶座 一位坐在寶座上
[00:01:05.000 --> 00:01:09.000]  第四節說有二十四個座位 坐著二十四個長老
[00:01:09.000 --> 00:01:12.000]  第七節說七眼燈 七個靈
[00:01:12.000 --> 00:01:15.000]  第七節說四活物 各有六個翅膀
[00:01:15.000 --> 00:01:21.000]  究竟一 四 二十四 七 四 六 有沒有特別的意思呢
[00:01:21.000 --> 00:01:28.000]  還是我們只能夠照字面解 直解 而不能再任何推想呢
[00:01:28.000 --> 00:01:33.000]  更加複雜 我們現在所用的數目字是阿拉伯數目字
[00:01:33.000 --> 00:01:36.000]  在十幾世紀的時候才有的 才用的
[00:01:36.000 --> 00:01:39.000]  代表數目是一些字母
[00:01:39.000 --> 00:01:43.000]  比如希伯來文大衛這個字 DVD這個字
[00:01:43.000 --> 00:01:47.000]  字母就是等於數目十四
[00:01:47.000 --> 00:01:50.000]  所以在耶穌基督的家譜裏面
[00:01:50.000 --> 00:01:52.000]  耶穌基督的家譜就是這樣說
[00:01:52.000 --> 00:01:55.000]  從阿伯拉罕到大衛共有十四代
[00:01:55.000 --> 00:01:59.000]  從大衛到巴比倫的時候也有十四代
[00:01:59.000 --> 00:02:04.000]  從巴比倫到基督也有十四代
[00:02:04.000 --> 00:02:07.000]  我們會問究竟這個十四是什麼意思呢
[00:02:07.000 --> 00:02:11.000]  我們應不應該直解 從字面來解
[00:02:11.000 --> 00:02:15.000]  十四就是十四 一二三四六七八九十十一十二十三十四
[00:02:15.000 --> 00:02:20.000]  還是另有意思呢 表明耶穌基督就是大衛的後裔
[00:02:20.000 --> 00:02:25.000]  即是尼塞亞 因為大衛這個名字除了解十四之外
[00:02:25.000 --> 00:02:29.000]  也可以解作大衛 這個問題就容易解決
[00:02:29.000 --> 00:02:32.000]  因為我們從其他經文來看
[00:02:32.000 --> 00:02:36.000]  我們知道由阿伯拉罕至大衛其實不止十四代
[00:02:36.000 --> 00:02:41.000]  如果你是當十四這個字來看 聖經就有矛盾
[00:02:41.000 --> 00:02:44.000]  所以我們相信這裡的重點
[00:02:44.000 --> 00:02:48.000]  那是耶穌基督就是尼塞亞 他是大衛的後裔
[00:02:48.000 --> 00:02:52.000]  而不是十四這個數目
[00:02:52.000 --> 00:02:57.000]  如果我們從字面來解釋
[00:02:57.000 --> 00:03:01.000]  每樣從字面來看這個標誌 其實一定會有問題
[00:03:01.000 --> 00:03:07.000]  除了數目之外 這一段聖經就有很多其他的圖像
[00:03:07.000 --> 00:03:12.000]  第一節說天上的門開了 天堂有門嗎?
[00:03:12.000 --> 00:03:16.000]  當然這個是symbol 第二 吹號的聲音
[00:03:16.000 --> 00:03:19.000]  第二節的寶座又是什麼意思呢?
[00:03:19.000 --> 00:03:25.000]  第三節的碧玉 紅寶石 紅圍 綠寶石又是象徵什麼呢?
[00:03:25.000 --> 00:03:28.000]  第四節的白衣金冠面又是什麼意思呢?
[00:03:28.000 --> 00:03:31.000]  第六節所謂閃電 雷軍又是怎麼樣呢?
[00:03:31.000 --> 00:03:35.000]  第六節所說的玻璃海 水晶 活物又是什麼意思呢?
[00:03:35.000 --> 00:03:39.000]  第七節所謂獅子 牛 人 飛鷹又是什麼意思呢?
[00:03:39.000 --> 00:03:44.000]  所以我們看到約翰用很多很多不同的symbols
[00:03:44.000 --> 00:03:47.000]  不同的images 不同的signs
[00:03:47.000 --> 00:03:52.000]  所謂的圖像 標記去描繪天上的意象
[00:03:52.000 --> 00:03:57.000]  有大自然的景象 有野獸 有寶石 有聲音 雷聲 閃電等等
[00:03:57.000 --> 00:03:59.000]  究竟這些是什麼意思呢?
[00:03:59.000 --> 00:04:04.000]  就造成我們在解讀這個啟示錄裡面 其中一個最大的困難
[00:04:04.000 --> 00:04:07.000]  在基督教的《釋經學》裡面
[00:04:07.000 --> 00:04:11.000]  大概有四種不同對啟示錄的一個解讀方法
[00:04:11.000 --> 00:04:15.000]  第一種解讀方法就叫做 預當時的證果
[00:04:15.000 --> 00:04:21.000]  當時羅馬人是統治整個的世界
[00:04:21.000 --> 00:04:26.000]  羅馬政權是一個威權政府 對基督教有很多的壓迫
[00:04:26.000 --> 00:04:29.000]  尤其是羅馬皇帝稱自己是神的兒子
[00:04:29.000 --> 00:04:35.000]  怎麼容讓基督教相信所有政權都是出於神和被神所賜呢?
[00:04:35.000 --> 00:04:39.000]  真正神的兒子只有耶穌 不是這個皇帝
[00:04:39.000 --> 00:04:44.000]  這樣的時候 對羅馬的政府來說可能是一個威脅
[00:04:44.000 --> 00:04:47.000]  中國一樣 有所謂文字獄
[00:04:47.000 --> 00:04:53.000]  凡是批評政府的言論就會遭受到毒打和餵獅子
[00:04:53.000 --> 00:04:57.000]  於是信徒只能夠用一些暗語來批評政府
[00:04:57.000 --> 00:05:04.000]  對於《釋經學》來說 啟示錄就有很多這樣的暗語
[00:05:04.000 --> 00:05:08.000]  比如稱迪基督為666
[00:05:08.000 --> 00:05:16.000]  為什麼迪基督666是一個暗示當時的政權呢?
[00:05:16.000 --> 00:05:19.000]  因為當時做皇帝的叫做尼祿王
[00:05:19.000 --> 00:05:23.000]  尼祿王就是暴君焚成祿的尼祿王
[00:05:23.000 --> 00:05:25.000]  因為他喜歡漂亮的東西
