
[00:00:00.000 --> 00:00:05.640]  今晚我們是查但義理書第四章
[00:00:05.640 --> 00:00:10.000]  第四章有37節經文都很長
[00:00:10.000 --> 00:00:13.000]  不過好在全部都是敘事
[00:00:13.000 --> 00:00:16.720]  裡面沒什麼需要很詳細的解釋
[00:00:16.720 --> 00:00:18.720]  就好像看故事一樣
[00:00:18.720 --> 00:00:22.280]  所以很難看了不明白它說什麼
[00:00:22.280 --> 00:00:24.960]  這個故事是很容易看的
[00:00:24.960 --> 00:00:28.520]  我將這37節的經文分開六段
[00:00:28.520 --> 00:00:31.800]  第一段是王的宣告
[00:00:31.800 --> 00:00:34.920]  我叫這個宣告是做一個很驚人的宣告
[00:00:34.920 --> 00:00:37.800]  第二段是王的懼怕
[00:00:37.800 --> 00:00:41.400]  第三段是王的夢境
[00:00:41.400 --> 00:00:46.520]  第四段是但義理幫他解這個夢
[00:00:46.520 --> 00:00:49.960]  第五段是王的狂怒
[00:00:49.960 --> 00:00:53.160]  最後是王的復原
[00:00:53.160 --> 00:00:54.360]  六個部份
[00:00:54.360 --> 00:01:00.480]  這37節的經文第四章是很特別的
[00:01:00.480 --> 00:01:02.480]  我叫它做很奇特
[00:01:02.480 --> 00:01:04.960]  聖經裡面沒見到這麼特別的了
[00:01:04.960 --> 00:01:05.680]  為什麼呢
[00:01:05.680 --> 00:01:08.560]  因為它裡面有22節
[00:01:08.560 --> 00:01:12.400]  是尼泊爾革尼撒王自己的見證
[00:01:12.400 --> 00:01:15.040]  我們都知道見證是什麼一回事
[00:01:15.040 --> 00:01:17.600]  見證就是我們起身
[00:01:17.600 --> 00:01:19.440]  用我們自己的嘴巴
[00:01:19.440 --> 00:01:22.320]  說神在我們身上的作為
[00:01:22.320 --> 00:01:25.720]  這些通常是基督徒我們做見證的
[00:01:25.720 --> 00:01:30.520]  但是這個做見證的是尼泊爾革尼撒王
[00:01:30.520 --> 00:01:33.320]  我們都知道這個是一個很恐怖
[00:01:33.320 --> 00:01:36.320]  一個很驕傲的外邦人
[00:01:36.320 --> 00:01:39.680]  他是當時世界的霸主
[00:01:39.680 --> 00:01:44.560]  但是這張聖經由第一節到第18節
[00:01:44.560 --> 00:01:47.600]  然後到最後的4至37節
[00:01:47.600 --> 00:01:51.240]  是他以第一身來做見證的
[00:01:51.240 --> 00:01:55.920]  這個沒有任何聖經一章是有這樣的
[00:01:55.920 --> 00:01:59.240]  聖經有第一身自己記載
[00:01:59.240 --> 00:02:00.920]  神叫他看到的
[00:02:00.920 --> 00:02:03.040]  叫他說出來的東西
[00:02:03.040 --> 00:02:05.840]  但是都是那個聖經的作者
[00:02:05.840 --> 00:02:07.240]  是神揀選他
[00:02:07.240 --> 00:02:08.440]  聖靈感動他
[00:02:08.440 --> 00:02:10.640]  是記下神要他記的東西
[00:02:10.640 --> 00:02:14.600]  但是沒有說整張聖經
[00:02:14.600 --> 00:02:18.240]  是給一個外邦人來做見證的
[00:02:18.240 --> 00:02:20.240]  這個是非常非常特別的
[00:02:20.240 --> 00:02:23.240]  而這個尼泊爾革尼撒王
[00:02:23.240 --> 00:02:26.240]  我以前曾經再三強調
[00:02:26.240 --> 00:02:27.240]  是一個很特別的人
[00:02:27.240 --> 00:02:30.240]  神是很特別用這個人
[00:02:30.240 --> 00:02:32.240]  當他未信主之前
[00:02:32.240 --> 00:02:35.240]  神已經說這個是我的僕人
[00:02:35.240 --> 00:02:36.240]  說了三次
[00:02:36.240 --> 00:02:39.240]  神是定義揀選這個人
[00:02:39.240 --> 00:02:41.240]  為什麼會選這個人呢
[00:02:41.240 --> 00:02:44.240]  這個人既然是一個這麼殘暴的人
[00:02:44.240 --> 00:02:46.240]  也是拜偶像的人
[00:02:46.240 --> 00:02:48.240]  為什麼神會選擇選他呢
[00:02:48.240 --> 00:02:50.240]  這個是神的主權
[00:02:50.240 --> 00:02:51.240]  我沒有辦法解釋
[00:02:51.240 --> 00:02:53.240]  為什麼神要揀選
[00:02:53.240 --> 00:02:55.240]  為什麼神揀選我們這幫人
[00:02:55.240 --> 00:02:58.240]  而不揀選其他不信的人呢
[00:02:58.240 --> 00:02:59.240]  這個是神的主權
[00:02:59.240 --> 00:03:01.240]  我沒有辦法解釋
[00:03:01.240 --> 00:03:04.240]  我們首先要來看看
[00:03:04.240 --> 00:03:05.240]  第一段
[00:03:05.240 --> 00:03:09.240]  王的驚人宣言
[00:03:09.240 --> 00:03:11.240]  為什麼我叫這個宣言很驚人呢
[00:03:11.240 --> 00:03:13.240]  你看第一第三節
[00:03:13.240 --> 00:03:15.240]  第一至第三節
[00:03:15.240 --> 00:03:18.240]  他講的完全是合乎真理
[00:03:18.240 --> 00:03:21.240]  完全是一個基督徒的見證
[00:03:21.240 --> 00:03:26.240]  他本身不是耶穌的作者
[00:03:26.240 --> 00:03:29.240]  但是神讓他有一張聖經
[00:03:29.240 --> 00:03:32.240]  來講出他心裏面的說話
[00:03:32.240 --> 00:03:34.240]  他是一個外邦人
[00:03:34.240 --> 00:03:35.240]  這是第一個
[00:03:35.240 --> 00:03:37.240]  是很奇怪的
[00:03:37.240 --> 00:03:40.240]  第二這個人是當時世界的霸主
[00:03:40.240 --> 00:03:42.240]  他的身份和地位
[00:03:42.240 --> 00:03:45.240]  都非常非常高超
[00:03:45.240 --> 00:03:47.240]  他來做出這樣的見證
[00:03:47.240 --> 00:03:50.240]  就等於是他謙卑下來
[00:03:50.240 --> 00:03:52.240]  認我們的上帝
[00:03:52.240 --> 00:03:56.240]  是天地萬物之間獨一的真神
[00:03:56.240 --> 00:03:57.240]  換句話說
[00:03:57.240 --> 00:03:59.240]  他說他是被激倒的
[00:03:59.240 --> 00:04:01.240]  他是落敗的那一方
[00:04:01.240 --> 00:04:02.240]  他現在要謙卑
[00:04:02.240 --> 00:04:06.240]  來承認這個宇宙萬物之間的真神
[00:04:06.240 --> 00:04:07.240]  大家記住
[00:04:07.240 --> 00:04:09.240]  他是當時世界的霸主
[00:04:09.240 --> 00:04:13.240]  所以第一節他說尼泊爾甲尼沙皇曉諭
[00:04:13.240 --> 00:04:15.240]  曉諭就是他的宣告
[00:04:15.240 --> 00:04:16.240]  為什麼叫曉諭呢?
[00:04:16.240 --> 00:04:17.240]  由上至下
[00:04:17.240 --> 00:04:20.240]  由皇帝頒布下來的
[00:04:20.240 --> 00:04:21.240]  就叫曉諭
[00:04:21.240 --> 00:04:23.240]  他被注入全國
[00:04:23.240 --> 00:04:26.240]  全地各方各國各族
[00:04:26.240 --> 00:04:30.240]  大家記得我們查第三章的時候
[00:04:30.240 --> 00:04:33.240]  是說各方各國各族
[00:04:33.240 --> 00:04:35.240]  是出現了三次
[00:04:35.240 --> 00:04:36.240]  是四節
[00:04:36.240 --> 00:04:37.240]  是七節
[00:04:37.240 --> 00:04:38.240]  是二十九節
[00:04:38.240 --> 00:04:40.240]  這裡強調的就是
