
[00:00:00.000 --> 00:00:05.200]  各位大戀姐妹 各位朋友 你們好
[00:00:05.200 --> 00:00:08.000]  歡迎大家參加我們三藩市報道會
[00:00:08.000 --> 00:00:10.000]  網上的永恆崇拜
[00:00:10.000 --> 00:00:13.600]  今天我們繼續思想日漢福音的訊息
[00:00:13.600 --> 00:00:17.400]  我們來到《日漢福音》第九章一節至第七節
[00:00:17.400 --> 00:00:21.000]  題目叫做「苦罪之謎」
[00:00:21.000 --> 00:00:24.400]  在開始思想這段聖經之前
[00:00:24.400 --> 00:00:26.800]  請與心底投靈祷告
[00:00:26.800 --> 00:00:30.400]  慈悲的養恩天父 我們感謝祢
[00:00:30.400 --> 00:00:37.600]  知道因為我們的心眼已經被世界的神融合了
[00:00:37.600 --> 00:00:40.200]  以致我們看不到真理
[00:00:40.200 --> 00:00:43.600]  求祢真的憐憫我們
[00:00:43.600 --> 00:00:46.400]  這個聖靈在我們心裡動工
[00:00:46.400 --> 00:00:49.600]  讓我們能夠明白真理
[00:00:49.600 --> 00:00:54.400]  並且願意跟隨和相信祢
[00:00:54.400 --> 00:00:59.200]  求聖靈在我們每個人心裡動工
[00:00:59.200 --> 00:01:03.400]  無論是提醒的、勸勉的、教導的、安慰的、督責的
[00:01:03.400 --> 00:01:07.400]  都去指引我們 叫我們心靈有改變
[00:01:07.400 --> 00:01:11.000]  我們這樣祈禱 乃是奉耶穌基督的命令
[00:01:11.000 --> 00:01:12.000]  阿們
[00:01:12.000 --> 00:01:15.800]  在2011年11月21日
[00:01:15.800 --> 00:01:20.600]  我和我太太懷著歡欣和興奮的心情
[00:01:20.600 --> 00:01:23.000]  從香港回到美國
[00:01:23.000 --> 00:01:27.000]  準備迎接我們第二個南村的出生
[00:01:27.000 --> 00:01:33.000]  當時Anna還沒有入院的跡象
[00:01:33.000 --> 00:01:37.000]  所以我們先落羅省去探探我們的女兒
[00:01:37.000 --> 00:01:41.000]  當我們落到羅省探望女兒
[00:01:41.000 --> 00:01:43.000]  外出吃飯的時候
[00:01:43.000 --> 00:01:45.000]  就接到兒子的電話
[00:01:45.000 --> 00:01:48.000]  說Anna已經進了醫院了
[00:01:48.000 --> 00:01:52.000]  水囊穿了 子宮也開了差不多
[00:01:52.000 --> 00:01:54.000]  一切正常
[00:01:54.000 --> 00:01:58.000]  我以為可能隔幾個小時
[00:01:58.000 --> 00:02:00.000]  孩子就會出生了
[00:02:00.000 --> 00:02:03.000]  誰知道隔了不久
[00:02:03.000 --> 00:02:06.000]  兒子再打電話來
[00:02:06.000 --> 00:02:07.000]  說不行了
[00:02:07.000 --> 00:02:13.000]  Anna進了這個手術室進行急救
[00:02:13.000 --> 00:02:16.000]  我們都不知道發生什麼事
[00:02:16.000 --> 00:02:21.000]  我們只有能夠在肚子裡紀念
[00:02:21.000 --> 00:02:23.000]  隔了不久
[00:02:23.000 --> 00:02:25.000]  她再打電話來
[00:02:25.000 --> 00:02:27.000]  在電話裡哭了
[00:02:27.000 --> 00:02:30.000]  說Anna已經離開了人世
[00:02:30.000 --> 00:02:36.000]  要立即手幅把孩子拿出來
[00:02:36.000 --> 00:02:40.000]  用直升機送到UCSF醫院
[00:02:40.000 --> 00:02:44.000]  甚至治療室進行急救和治療
[00:02:44.000 --> 00:02:48.000]  這個消息不僅對我們來說
[00:02:48.000 --> 00:02:51.000]  有很大很大影響
[00:02:51.000 --> 00:02:57.000]  對我們整個家庭也有非常大的影響
[00:02:57.000 --> 00:02:59.000]  我們不禁會問
[00:02:59.000 --> 00:03:03.000]  為什麼會有這些事情發生呢?
[00:03:03.000 --> 00:03:06.000]  Anna患了一個病叫做
[00:03:06.000 --> 00:03:08.000]  Amniotic Fluid Embolism
[00:03:08.000 --> 00:03:10.000]  AFE
[00:03:10.000 --> 00:03:13.000]  是一個很罕見的情況
[00:03:13.000 --> 00:03:16.000]  八萬人中只有一個
[00:03:16.000 --> 00:03:18.000]  不能夠預防
[00:03:18.000 --> 00:03:20.000]  不知道什麼時候發生
[00:03:20.000 --> 00:03:24.000]  大多數是醫治不了
[00:03:24.000 --> 00:03:27.000]  我們不禁會問
[00:03:27.000 --> 00:03:30.000]  神為什麼會容約這些事情
[00:03:30.000 --> 00:03:33.000]  輪到我們家庭身上呢?
[00:03:33.000 --> 00:03:38.000]  不久後我姐姐和我聯絡
[00:03:38.000 --> 00:03:40.000]  她說她有一位舊同學
[00:03:40.000 --> 00:03:43.000]  寫了封信給她
[00:03:43.000 --> 00:03:47.000]  她說不知道在哪裡看到消息
[00:03:47.000 --> 00:03:52.000]  說我媳婦在生孩子的時候去世
[00:03:52.000 --> 00:03:54.000]  她就問我姐姐
[00:03:54.000 --> 00:03:57.000]  那個是不是你弟弟呢?
[00:03:57.000 --> 00:03:59.000]  你弟弟是牧師
[00:03:59.000 --> 00:04:04.000]  為什麼上帝不去保護他呢?
[00:04:04.000 --> 00:04:07.000]  為什麼會容約這些事情發生呢?
[00:04:07.000 --> 00:04:09.000]  然後她和我姐姐說
[00:04:09.000 --> 00:04:11.000]  我一直都不是一個基督徒
[00:04:11.000 --> 00:04:15.000]  因為這個問題困擾我
[00:04:15.000 --> 00:04:17.000]  上帝不是仁慈的嗎?
[00:04:17.000 --> 00:04:20.000]  上帝不是公義的嗎?
[00:04:20.000 --> 00:04:23.000]  為什麼會有這些事情
[00:04:23.000 --> 00:04:28.000]  容許在你弟弟身上呢?
