
[00:00:00.000 --> 00:00:13.000]  講清講楚系列主要是我們都感覺到我們基督徒要有勇氣去面對一些真理
[00:00:13.000 --> 00:00:17.000]  以及不要在這裏很模糊或者逃避
[00:00:17.000 --> 00:00:22.000]  對於我來說都是有特別的意義的
[00:00:22.000 --> 00:00:30.000]  我可以說是站在幾個不同的圈中間我特別感覺到那種挑戰
[00:00:30.000 --> 00:00:40.000]  我自己是從事神學、哲學和護教方面的研讀進修
[00:00:40.000 --> 00:00:43.000]  我亦都在神學院裏面教書
[00:00:43.000 --> 00:00:48.000]  所以我面對的問題是三個群體
[00:00:48.000 --> 00:00:53.000]  一是面對神學院裏面的同學去教他們
[00:00:53.000 --> 00:00:56.000]  這班將來做教會的傳道人
[00:00:56.000 --> 00:01:02.000]  另外我面對教會裏面的一些平信徒弟兄姊妹
[00:01:02.000 --> 00:01:05.000]  我們不斷要去講道面對他們的要求
[00:01:05.000 --> 00:01:12.000]  第三方面我亦都面對一個學術的非基督教的世界
[00:01:12.000 --> 00:01:21.000]  即是說三個群體所問的問題和他們要得到的答案可能是不同的層次
[00:01:21.000 --> 00:01:28.000]  但對於我作為一個基督徒、學術和牧養的人
[00:01:28.000 --> 00:01:30.000]  我對自己有一個要求
[00:01:30.000 --> 00:01:35.000]  就是我不可以忍受在不同的群體有不同的答案
[00:01:35.000 --> 00:01:37.000]  我不可以逃避某些問題
[00:01:37.000 --> 00:01:40.000]  即是說如果我面對會友這樣回答
[00:01:40.000 --> 00:01:42.000]  我又要面對那些不信耶穌的學術界
[00:01:42.000 --> 00:01:43.000]  一樣是這樣回答
[00:01:43.000 --> 00:01:44.000]  不能夠說那裏是這樣回答
[00:01:44.000 --> 00:01:45.000]  面對會友又是另一回答
[00:01:45.000 --> 00:01:48.000]  回到神學院又是另一套的答案
[00:01:48.000 --> 00:01:50.000]  但不要說出去
[00:01:50.000 --> 00:01:51.000]  不要告訴會友
[00:01:51.000 --> 00:01:54.000]  這樣對於我來說就很難接受
[00:01:54.000 --> 00:01:56.000]  起碼是我自己的要求
[00:01:56.000 --> 00:02:00.000]  而這個亞當的問題就是其中一個
[00:02:00.000 --> 00:02:01.000]  講清講了系列
[00:02:01.000 --> 00:02:02.000]  日後還有很多
[00:02:02.000 --> 00:02:06.000]  不過這個亞當的問題都繳前了我不少時間
[00:02:06.000 --> 00:02:09.000]  對一般的平信徒弟兄姊妹來說
[00:02:09.000 --> 00:02:11.000]  可能都沒有想過這是一個大問題
[00:02:11.000 --> 00:02:14.000]  亞當夏娃是誰呢?亞當夏娃就是第一個人
[00:02:14.000 --> 00:02:15.000]  第一對夫婦
[00:02:15.000 --> 00:02:20.000]  犯罪的時候他們的罪成為我們的原罪
[00:02:20.000 --> 00:02:25.000]  一般我們教會的弟兄姊妹都會這樣回答
[00:02:25.000 --> 00:02:28.000]  如果你再麻煩問他一句
[00:02:28.000 --> 00:02:31.000]  你覺得亞當夏娃是不是歷史上真有其人呢?
[00:02:31.000 --> 00:02:34.000]  我想十個還有九個弟兄姊妹都會說是
[00:02:34.000 --> 00:02:36.000]  如果不是怎麼辦?
[00:02:36.000 --> 00:02:38.000]  如果不是的話你的罪怎麼來?
[00:02:38.000 --> 00:02:42.000]  所以我們想答案很簡單
[00:02:42.000 --> 00:02:44.000]  不過轉到神學院
[00:02:44.000 --> 00:02:47.000]  包括很多福音派的神學院
[00:02:47.000 --> 00:02:49.000]  答案就不是這樣回答
[00:02:49.000 --> 00:02:51.000]  如果上課讀舊約的話
[00:02:51.000 --> 00:02:54.000]  老實說這次的講座
[00:02:54.000 --> 00:03:00.000]  我想找多一位神學院教舊約的老師來一起講
[00:03:00.000 --> 00:03:03.000]  我問過很多人都不肯來
[00:03:03.000 --> 00:03:06.000]  我不是挑戰他們
[00:03:06.000 --> 00:03:07.000]  不過他們真的不肯來
[00:03:07.000 --> 00:03:13.000]  他們無謂影響到時神學院的聲譽
[00:03:13.000 --> 00:03:17.000]  很多包括已經出版的作品
[00:03:17.000 --> 00:03:19.000]  我們華人教會也好
[00:03:19.000 --> 00:03:22.000]  如果從事舊約研究的人
[00:03:22.000 --> 00:03:28.000]  將創世紀的頭三章看成故事
[00:03:28.000 --> 00:03:30.000]  有沒有理由呢?
[00:03:30.000 --> 00:03:32.000]  當然有理由
[00:03:32.000 --> 00:03:37.000]  但理由是否因為太難將這幾章聖經
[00:03:37.000 --> 00:03:41.000]  去接合到我們現在越來越多外面的考古學
[00:03:41.000 --> 00:03:43.000]  人類學的聲音
[00:03:43.000 --> 00:03:48.000]  我在宣傳單中提出的問題
[00:03:48.000 --> 00:03:49.000]  我重複了
[00:03:49.000 --> 00:03:52.000]  大家可以立即想到這個問題
[00:03:52.000 --> 00:03:56.000]  當然如果將聖經創世紀
[00:03:56.000 --> 00:04:03.000]  或是將聖經不看成字面的真實意思
[00:04:03.000 --> 00:04:05.000]  也不一定是錯的
[00:04:05.000 --> 00:04:07.000]  我們很尊重聖經
[00:04:07.000 --> 00:04:11.000]  因為聖經有些說話不一定要你字面直解
[00:04:11.000 --> 00:04:14.000]  啟示錄第六章揭開的七個印
[00:04:14.000 --> 00:04:17.000]  第一個印、第二個印、第三個印、第四個印
[00:04:17.000 --> 00:04:20.000]  有白馬、紅馬、黑馬、灰馬
[00:04:20.000 --> 00:04:23.000]  我想大部分最篤信聖經的頂尖
[00:04:23.000 --> 00:04:26.000]  也不會相信揭開的印會是馬上飛出來
[00:04:26.000 --> 00:04:28.000]  是一種趨勢
[00:04:28.000 --> 00:04:30.000]  是一種文學手法
[00:04:30.000 --> 00:04:33.000]  我們不需要當它是一種紅馬飛出來
[00:04:33.000 --> 00:04:35.000]  這個我們都可以接受
[00:04:35.000 --> 00:04:38.000]  問題是我們能不能夠同樣的角度
[00:04:38.000 --> 00:04:41.000]  來看創世紀前面的三章
[00:04:41.000 --> 00:04:43.000]  這就是一個大問題
[00:04:43.000 --> 00:04:47.000]  或者我們抓創世紀的作者
[00:04:47.000 --> 00:04:49.000]  問他
[00:04:49.000 --> 00:04:52.000]  你覺得亞當是否真是寄人
[00:04:52.000 --> 00:04:54.000]  你會怎樣回答這個問題
[00:04:54.000 --> 00:04:58.000]  或者我們抓新約的作者來問他的時候
[00:04:58.000 --> 00:05:00.000]  他會覺得怎樣回答
[00:05:00.000 --> 00:05:01.000]  這個就重要了
[00:05:01.000 --> 00:05:04.000]  因為聖經如果是神的話語
[00:05:04.000 --> 00:05:05.000]  我們信仰權威的話
[00:05:05.000 --> 00:05:08.000]  我們就要尊重聖經怎樣看待自己
[00:05:08.000 --> 00:05:09.000]  我不能說聖經你這樣看
[00:05:09.000 --> 00:05:10.000]  你作者是這樣寫
[00:05:10.000 --> 00:05:11.000]  其實你搞錯了
[00:05:11.000 --> 00:05:13.000]  我們還知道得多過你
[00:05:13.000 --> 00:05:15.000]  問題就很大了
[00:05:15.000 --> 00:05:16.000]  大家明白嗎
[00:05:16.000 --> 00:05:18.000]  我先把問題鋪出來
[00:05:18.000 --> 00:05:20.000]  然後就和大家說說
[00:05:20.000 --> 00:05:22.000]  我今天預備的部分
[00:05:22.000 --> 00:05:24.000]  然後我想請鄺博士
[00:05:24.000 --> 00:05:29.000]  從考古人類學和科學的角度回應一下
[00:05:29.000 --> 00:05:30.000]  我這樣說
[00:05:30.000 --> 00:05:32.000]  我多數是從神學角度
[00:05:32.000 --> 00:05:33.000]  因為我不是這方面的專家
[00:05:33.000 --> 00:05:35.000]  請專家上來說說
[00:05:35.000 --> 00:05:36.000]  這樣看法
[00:05:36.000 --> 00:05:38.000]  可以嗎
[00:05:38.000 --> 00:05:42.000]  我們十個還有九個舊約研究的人
[00:05:42.000 --> 00:05:46.000]  看創世紀前面的三章
[00:05:46.000 --> 00:05:47.000]  亞當夏娃
[00:05:47.000 --> 00:05:50.000]  就是從舊約那三章開始
[00:05:50.000 --> 00:05:52.000]  我想倒轉
[00:05:52.000 --> 00:05:54.000]  我想從新約開始來看
[00:05:54.000 --> 00:05:59.000]  新約怎樣看亞當
[00:05:59.000 --> 00:06:03.000]  我這裡也列了一些經文
[00:06:03.000 --> 00:06:05.000]  有些大家可以揭
[00:06:05.000 --> 00:06:06.000]  有些不需要揭的
[00:06:06.000 --> 00:06:14.000]  如果我們誠實的去面對新約的作者
[00:06:14.000 --> 00:06:16.000]  包括耶穌的自己
[00:06:17.000 --> 00:06:20.000]  路加福音的路加和保羅
