
[00:00:00.000 --> 00:00:06.000]  很快我們又來到這個系列
[00:00:06.000 --> 00:00:11.000]  如何背起十字架來跟從耶穌基督的最後一個訊息
[00:00:11.000 --> 00:00:15.000]  這是最後一個訊息是這個系列
[00:00:15.000 --> 00:00:18.000]  不是說我們今年的最後一個訊息
[00:00:18.000 --> 00:00:22.000]  今年最後一個訊息會是叫做得救與成勝
[00:00:22.000 --> 00:00:26.000]  是我幾個星期前去Cal State Northridge
[00:00:26.000 --> 00:00:28.000]  和他們分享的一個訊息
[00:00:28.000 --> 00:00:30.000]  這個訊息是我很喜歡的
[00:00:30.000 --> 00:00:32.000]  我平時講到
[00:00:32.000 --> 00:00:36.000]  大家注意的話我是很講究新舊約的一致性
[00:00:36.000 --> 00:00:40.000]  因為新約舊約都是聖靈的密使
[00:00:40.000 --> 00:00:43.000]  所以是一位聖靈密使
[00:00:43.000 --> 00:00:46.000]  66部書
[00:00:46.000 --> 00:00:48.000]  40多位作者
[00:00:48.000 --> 00:00:51.000]  應該完全是有一致的訊息
[00:00:51.000 --> 00:00:54.000]  加上神之期時我們就能夠看到
[00:00:54.000 --> 00:00:56.000]  聖經真是神的話語
[00:00:56.000 --> 00:00:57.000]  不是假的
[00:00:57.000 --> 00:00:59.000]  所以我很喜歡這篇道
[00:00:59.000 --> 00:01:02.000]  下一次下個星期會和大家分享
[00:01:02.000 --> 00:01:07.000]  今天會講到門徒最後的一個標誌
[00:01:07.000 --> 00:01:12.000]  這個標誌就是我們要專注為首
[00:01:12.000 --> 00:01:19.000]  剛才都讀過經文在《馬太福音》第十章34至42節
[00:01:19.000 --> 00:01:23.000]  尤其是在這十章34節
[00:01:23.000 --> 00:01:26.000]  耶穌基督說你們不要想我來
[00:01:26.000 --> 00:01:28.000]  是叫地上太平
[00:01:28.000 --> 00:01:30.000]  我來並不是叫地上太平
[00:01:30.000 --> 00:01:34.000]  乃是叫地上動刀兵
[00:01:34.000 --> 00:01:37.000]  動刀兵究竟是什麼意思
[00:01:37.000 --> 00:01:39.000]  動刀到動槍
[00:01:39.000 --> 00:01:44.000]  如果我們不知道的可以看看路加福音十二章五十一節
[00:01:44.000 --> 00:01:46.000]  是同樣的經文
[00:01:46.000 --> 00:01:48.000]  但是由路加的手筆寫出來
[00:01:48.000 --> 00:01:50.000]  他就沒有用到動刀兵
[00:01:50.000 --> 00:01:53.000]  他用到紛爭
[00:01:53.000 --> 00:01:55.000]  當耶穌基督來臨的時候
[00:01:55.000 --> 00:01:56.000]  是會造成紛爭
[00:01:56.000 --> 00:01:59.000]  是會造成分離
[00:01:59.000 --> 00:02:02.000]  我們講過我們門徒的標誌
[00:02:02.000 --> 00:02:05.000]  第一個是要越來越像耶穌基督
[00:02:05.000 --> 00:02:08.000]  我也講過當我們越來越像耶穌基督的時候
[00:02:08.000 --> 00:02:10.000]  是有兩個極端
[00:02:10.000 --> 00:02:15.000]  一方面是會吸引其他被神呼召的人
[00:02:15.000 --> 00:02:19.000]  他們也都想像我們這樣成為基督徒
[00:02:19.000 --> 00:02:22.000]  但是另外一方面也有很多人
[00:02:22.000 --> 00:02:26.000]  因為我們是基督徒而不喜歡我們
[00:02:26.000 --> 00:02:27.000]  逼迫我們
[00:02:27.000 --> 00:02:29.000]  是有兩個極端
[00:02:29.000 --> 00:02:31.000]  耶穌基督來到世上
[00:02:31.000 --> 00:02:33.000]  也都見到有兩種人
[00:02:33.000 --> 00:02:36.000]  就是熟神的人和不熟神的人
[00:02:36.000 --> 00:02:38.000]  如果我們留意的話
[00:02:38.000 --> 00:02:42.000]  神在聖經裡面不斷的告訴我們
[00:02:42.000 --> 00:02:44.000]  神在歷史當中不斷的告訴我們
[00:02:44.000 --> 00:02:48.000]  他是將熟他的人和不熟他的人分開
[00:02:48.000 --> 00:02:54.000]  在創世記我們就見到有很好的例子
[00:02:54.000 --> 00:02:59.000]  在最早的人類當中有阿伯和戈隱
[00:02:59.000 --> 00:03:02.000]  戈隱和阿伯是兩兄弟
[00:03:02.000 --> 00:03:05.000]  但是一個是熟神的一個是不熟神的
[00:03:05.000 --> 00:03:08.000]  以至戈隱最後將阿伯殺了
[00:03:08.000 --> 00:03:12.000]  後來我們見到去到羅亞的時候
[00:03:12.000 --> 00:03:16.000]  神又將羅亞和當時世上的人分開
[00:03:16.000 --> 00:03:17.000]  羅亞是熟神的
[00:03:17.000 --> 00:03:21.000]  當時世代的人是聚人不熟神
[00:03:21.000 --> 00:03:26.000]  神說任何人願意上羅亞方舟的都能夠得救
[00:03:26.000 --> 00:03:29.000]  但是真真正正願意上方舟的
[00:03:29.000 --> 00:03:31.000]  只有羅亞的一家八口
[00:03:31.000 --> 00:03:34.000]  其餘所有的人都是不熟神的
[00:03:34.000 --> 00:03:36.000]  都沒有上方舟
[00:03:36.000 --> 00:03:39.000]  後來又去到雅各和耳塑的時候
[00:03:39.000 --> 00:03:42.000]  我們又見到有兩兄弟
[00:03:42.000 --> 00:03:44.000]  神是揀選雅各
[00:03:44.000 --> 00:03:47.000]  神是沒有揀選耳塑
[00:03:47.000 --> 00:03:49.000]  我們見到真是在歷史當中
[00:03:49.000 --> 00:03:53.000]  不斷神將熟他的人不熟他的人分開
[00:03:53.000 --> 00:03:57.000]  所以耶穌基督第一次來到世上
[00:03:57.000 --> 00:03:58.000]  亦都是一樣
[00:03:58.000 --> 00:04:01.000]  他產生了很大的分歧
