
[00:00:00.000 --> 00:00:08.000]  接下來這半年我會和大家討論一連串的主題是講到期討
[00:00:08.000 --> 00:00:12.000]  今天我會和大家討論這個討告初階
[00:00:12.000 --> 00:00:21.000]  1968年有一架飛機載著有百多個乘客去到紐約的機場
[00:00:21.000 --> 00:00:26.000]  當飛機師正要降落的時候就發覺降落的系統有點失明
[00:00:26.000 --> 00:00:31.000]  沒辦法將飛機的機輪彈開
[00:00:31.000 --> 00:00:34.000]  司機曾經幾次嘗試都失敗
[00:00:34.000 --> 00:00:37.000]  於是只好在機場裏面猛盤旋
[00:00:37.000 --> 00:00:42.000]  讓機上的油儘量消耗
[00:00:42.000 --> 00:00:44.000]  就等如指揮台的指示
[00:00:44.000 --> 00:00:48.000]  當時機場的人員就立即戒備
[00:00:48.000 --> 00:00:54.000]  救火車所有救傷車全部放在跑道的防邊
[00:00:54.000 --> 00:00:56.000]  以防萬一
[00:00:56.000 --> 00:00:59.000]  那裏噴了所有防火泡沫
[00:00:59.000 --> 00:01:04.000]  指揮台就吩咐飛機師開始緊急降落
[00:01:04.000 --> 00:01:08.000]  當時飛機坐了百多個乘客
[00:01:08.000 --> 00:01:12.000]  機長就用很鎮定的聲音報告情況
[00:01:12.000 --> 00:01:15.000]  最後宣佈緊急降落
[00:01:15.000 --> 00:01:18.000]  要求所有的乘客扶低身
[00:01:18.000 --> 00:01:21.000]  將頭放在兩個膝蓋之中
[00:01:21.000 --> 00:01:24.000]  降落時緊握著他們的頭
[00:01:24.000 --> 00:01:27.000]  飛機一旦停了就立即滑出機艙
[00:01:27.000 --> 00:01:31.000]  避免飛機發生爆炸有意外
[00:01:31.000 --> 00:01:35.000]  當時在乘客裏面有些人大聲的喊
[00:01:35.000 --> 00:01:37.000]  有些人大聲的叫
[00:01:37.000 --> 00:01:40.000]  有些人嚇得幾乎暈倒
[00:01:40.000 --> 00:01:44.000]  但沒多久飛機就要降落的時候
[00:01:44.000 --> 00:01:46.000]  全機的人都靜了
[00:01:46.000 --> 00:01:50.000]  只有一分鐘時間飛機就要降落
[00:01:50.000 --> 00:01:52.000]  亦都是這百多人當中
[00:01:52.000 --> 00:01:55.000]  人生最後的一分鐘
[00:01:55.000 --> 00:01:57.000]  突然在這個時候
[00:01:57.000 --> 00:02:00.000]  機長就用揚聲器報告
[00:02:00.000 --> 00:02:02.000]  各位乘客
