
[00:00:00.000 --> 00:00:06.000]  我們現在就請杜耀宗先生和陳道德先生來講一下話題吧!
[00:00:06.000 --> 00:00:10.000]  請陳道德先生先同性打高
[00:00:10.000 --> 00:00:17.000]  我們很感謝您,讓我們能夠在主理的道理上,仍然去緊緊的依靠
[00:00:17.000 --> 00:00:26.000]  讓我們在永恆生命的接觸點,能夠不住的繼續的持守,我們再次感恩
[00:00:26.000 --> 00:00:34.000]  讓我們對您的說話不離不棄,正如我們對主耶穌成就的這個救恩也不離不棄
[00:00:35.000 --> 00:00:45.000]  我們親愛的父親,感謝您,讓我們每個星期都能夠一眼看您的說話,讀您的話語
[00:00:45.000 --> 00:00:54.000]  讓我們知道在這個永恆的生命的連續上面,我們從今天一眼繼續跟您聯繫
[00:00:54.000 --> 00:01:01.000]  您的幫助,使我們能夠有信靠的心,在主理應許的裡面
[00:01:02.000 --> 00:01:07.000]  我們在這裡祈求您,讓我們能夠在祈求耶穌的面前,我們在祈求您的面前,我們在祈求耶穌的面前
[00:01:07.000 --> 00:01:12.000]  從小到大,我媽媽就教我兩句說話
[00:01:12.000 --> 00:01:15.000]  從小到大,我媽媽就教我兩句說話
[00:01:15.000 --> 00:01:17.000]  我想大家都聽過
[00:01:17.000 --> 00:01:20.000]  一句就叫做先甜後苦
[00:01:20.000 --> 00:01:22.000]  一句就叫做先甜後苦
[00:01:22.000 --> 00:01:25.000]  另一句就叫做先苦後甜
[00:01:25.000 --> 00:01:27.000]  另外一句就叫做先苦後甜
[00:01:28.000 --> 00:01:32.000]  這兩句話對我做人有很深的影響
[00:01:32.000 --> 00:01:35.000]  這兩句話對我做人有很深刻的影響
[00:01:35.000 --> 00:01:40.000]  特別當我去做基督徒之後,開始明白上帝的說話
[00:01:40.000 --> 00:01:43.000]  當我做基督徒明白上帝的說話
[00:01:43.000 --> 00:01:51.000]  我終於就明白到原來先苦後甜這個說法,其實是罪背後的推動力
[00:01:51.000 --> 00:01:57.000]  就是說先苦後甜,在聖經裡面是罪的推動力
[00:01:57.000 --> 00:01:59.000]  我有沒有說錯?先甜後苦,對不起
[00:01:59.000 --> 00:02:01.000]  對不起,先甜後苦
[00:02:01.000 --> 00:02:05.000]  先甜後苦原來是罪的很大的推動力
[00:02:05.000 --> 00:02:08.000]  先甜後苦是罪的很大的推動力
[00:02:08.000 --> 00:02:10.000]  我為什麼這樣說呢?
[00:02:10.000 --> 00:02:12.000]  我為什麼這麼講呢?
[00:02:12.000 --> 00:02:14.000]  因為當我再看聖經的時候
[00:02:14.000 --> 00:02:16.000]  當我再去看聖經的時候
[00:02:16.000 --> 00:02:18.000]  我就發現到
[00:02:18.000 --> 00:02:20.000]  原來在聖經當中
[00:02:20.000 --> 00:02:23.000]  為什麼人會犯罪呢?
[00:02:23.000 --> 00:02:25.000]  人為什麼會犯罪呢?
[00:02:26.000 --> 00:02:30.000]  因為每一次犯罪都能夠給你很開心的經歷
[00:02:30.000 --> 00:02:34.000]  因為每次犯罪都給你很開心的經歷
[00:02:34.000 --> 00:02:36.000]  有很開心的感受
[00:02:36.000 --> 00:02:38.000]  有很開心的感受
[00:02:38.000 --> 00:02:40.000]  讓你覺得心滿意足的時候
[00:02:40.000 --> 00:02:42.000]  讓你感到心滿意足的時候
[00:02:42.000 --> 00:02:45.000]  你就很自然會去犯罪
[00:02:45.000 --> 00:02:47.000]  你就很自然會去犯罪
[00:02:47.000 --> 00:02:49.000]  不如看下《創世記》
[00:02:49.000 --> 00:02:51.000]  不如看詹仕晉
[00:02:51.000 --> 00:02:53.000]  夏娃為什麼會犯罪呢?
[00:02:53.000 --> 00:02:55.000]  夏娃為什麼會犯罪呢?
[00:02:55.000 --> 00:02:56.000]  最主要原因就是
[00:02:56.000 --> 00:02:58.000]  經常對他說
[00:02:58.000 --> 00:03:00.000]  吃這個果
[00:03:00.000 --> 00:03:02.000]  吃了這個果
[00:03:02.000 --> 00:03:04.000]  不錯啊
[00:03:04.000 --> 00:03:06.000]  使你眼睛明目
[00:03:06.000 --> 00:03:08.000]  使你眼睛明目
[00:03:08.000 --> 00:03:10.000]  我們現在開始明白
[00:03:10.000 --> 00:03:12.000]  我們現在開始漸入中年的時候
[00:03:12.000 --> 00:03:14.000]  老花呢
[00:03:14.000 --> 00:03:17.000]  原來眼睛老花看不清是很難頂的
[00:03:17.000 --> 00:03:20.000]  就是說我們現在步入中年以後
[00:03:20.000 --> 00:03:22.000]  眼睛開始老花
[00:03:22.000 --> 00:03:24.000]  就很明白眼睛明亮的意義了
[00:03:24.000 --> 00:03:25.000]  所以你不要說夏娃很蠢
[00:03:25.000 --> 00:03:27.000]  夏娃都很聰明的
[00:03:27.000 --> 00:03:29.000]  不要說夏娃很蠢
[00:03:29.000 --> 00:03:31.000]  她其實也很聰明的
[00:03:31.000 --> 00:03:33.000]  她很想一家大小
[00:03:33.000 --> 00:03:35.000]  特別她老公都能夠明目
[00:03:35.000 --> 00:03:37.000]  她希望她老公能夠明目
[00:03:37.000 --> 00:03:40.000]  所以她就聽了這條蛇說
[00:03:40.000 --> 00:03:42.000]  她就聽了這條蛇講
[00:03:42.000 --> 00:03:44.000]  吃了之後
[00:03:44.000 --> 00:03:46.000]  怎知道原來就已經犯了上帝的罪
[00:03:46.000 --> 00:03:48.000]  吃完以後就犯了上帝的罪
[00:03:48.000 --> 00:03:50.000]  這是聖經的例子
[00:03:50.000 --> 00:03:52.000]  這是聖經的例子
