
[00:00:00.000 --> 00:00:04.000]  我們今天要開始一個新的系列
[00:00:04.000 --> 00:00:06.000]  是已忽所書
[00:00:06.000 --> 00:00:09.320]  我們知道我們前些時候才說完
[00:00:09.320 --> 00:00:10.320]  《針研》
[00:00:10.320 --> 00:00:14.320]  而我們全個教會都在說兩部書
[00:00:14.320 --> 00:00:17.320]  今年就是《針研》和《已忽所書》
[00:00:17.320 --> 00:00:20.320]  我們知道國語堂和英語堂都是先說
[00:00:20.320 --> 00:00:21.320]  《已忽所書》
[00:00:21.320 --> 00:00:23.320]  然後才說《針研》
[00:00:23.320 --> 00:00:25.320]  但我們語語堂就剛剛相反
[00:00:25.320 --> 00:00:27.320]  說完《針研》
[00:00:27.320 --> 00:00:30.320]  才說《已忽所書》
[00:00:30.320 --> 00:00:34.320]  其實我是很喜歡我們這樣的次序
[00:00:34.320 --> 00:00:35.320]  為什麼呢?
[00:00:35.320 --> 00:00:38.320]  因為《針研》是智慧
[00:00:38.320 --> 00:00:40.320]  告訴我們什麼是智慧
[00:00:40.320 --> 00:00:42.320]  我們應該要怎麼做
[00:00:42.320 --> 00:00:44.320]  但是沒有告訴我們
[00:00:44.320 --> 00:00:47.320]  我們怎麼才能做得到
[00:00:47.320 --> 00:00:49.320]  這個答案就在這裡
[00:00:49.320 --> 00:00:52.320]  所以我覺得先看什麼是智慧
[00:00:52.320 --> 00:00:54.320]  應該要怎麼做
[00:00:54.320 --> 00:00:56.320]  然後才學怎麼做
[00:00:56.320 --> 00:00:59.320]  這是正確的一個次序
[00:00:59.320 --> 00:01:02.320]  願意神都能夠保守我們語語堂
[00:01:02.320 --> 00:01:07.320]  能夠成為一個蒙神喜悅的教會
[00:01:07.320 --> 00:01:11.320]  我們今天要說《已忽所書》的介紹
[00:01:11.320 --> 00:01:15.320]  我們要說為什麼要讀《已忽所書》
[00:01:15.320 --> 00:01:17.320]  我們首先來看看
[00:01:17.320 --> 00:01:20.320]  《已忽所書》的作者是誰
[00:01:20.320 --> 00:01:22.320]  我們都知道《已忽所書》的作者
[00:01:22.320 --> 00:01:24.320]  是保羅
[00:01:24.320 --> 00:01:26.320]  保羅在《已忽所書》裡面
[00:01:26.320 --> 00:01:28.320]  叫自己做使徒
[00:01:28.320 --> 00:01:30.320]  如果是使徒的話
[00:01:30.320 --> 00:01:33.320]  就不是一個普通的作者
[00:01:33.320 --> 00:01:36.320]  一個使徒是代替神來說話
[00:01:36.320 --> 00:01:39.320]  是代替耶穌基督來說話
[00:01:39.320 --> 00:01:43.320]  在這個世上一共有14個使徒
[00:01:43.320 --> 00:01:47.320]  我們知道最初是耶穌基督12個門徒
[00:01:47.320 --> 00:01:52.320]  猶太人因為出賣耶穌基督
[00:01:52.320 --> 00:01:54.320]  他自殺死了
[00:01:54.320 --> 00:01:56.320]  當他死了之後
[00:01:56.320 --> 00:01:58.320]  在使徒行傳
[00:01:58.320 --> 00:02:00.320]  我們知道第一章
[00:02:00.320 --> 00:02:04.320]  說門徒怎樣選出馬提亞
[00:02:04.320 --> 00:02:08.320]  來代替猶太人來補償
[00:02:08.320 --> 00:02:11.320]  所以如果我們計算死了的猶太人
[00:02:11.320 --> 00:02:13.320]  一共有13個門徒
[00:02:13.320 --> 00:02:17.320]  加上後來的保羅
[00:02:17.320 --> 00:02:19.320]  就一共有14個使徒
[00:02:19.320 --> 00:02:23.320]  他們可以說是奉神的名
[00:02:23.320 --> 00:02:27.320]  來成為耶穌基督的門徒
[00:02:27.320 --> 00:02:30.320]  保羅差不多在每一封書信
[00:02:30.320 --> 00:02:32.320]  都有叫自己做使徒
[00:02:32.320 --> 00:02:36.320]  唯一例外的就是
[00:02:36.320 --> 00:02:39.320]  費利門和鐵撒羅尼加書
[00:02:39.320 --> 00:02:41.320]  在鐵撒羅尼加書
[00:02:41.320 --> 00:02:43.320]  我們知道他的名字
[00:02:43.320 --> 00:02:47.320]  是和西拉一起列出來
[00:02:47.320 --> 00:02:50.320]  所以保羅沒有叫自己做使徒
[00:02:50.320 --> 00:02:54.320]  可能原因就是因為西拉不是使徒
[00:02:54.320 --> 00:02:57.320]  所以保羅沒有用這個名份
[00:02:57.320 --> 00:03:02.320]  現在有很多人都會說
[00:03:02.320 --> 00:03:05.320]  我們繼續有很多的使徒在這個世上
[00:03:05.320 --> 00:03:07.320]  仍然能夠行神跡的事
[00:03:07.320 --> 00:03:10.320]  就好像早期的使徒一樣
[00:03:10.320 --> 00:03:13.320]  但這不是我們自己說的
[00:03:13.320 --> 00:03:16.320]  我們要看看聖經究竟是怎樣的教導
[00:03:16.320 --> 00:03:18.320]  聖經裡面告訴我們
[00:03:18.320 --> 00:03:21.320]  使徒是有特別的資格的
[00:03:21.320 --> 00:03:24.320]  有兩個資格我們一起來提出
[00:03:24.320 --> 00:03:25.320]  來看一看
[00:03:25.320 --> 00:03:29.320]  第一個就是要被耶穌基督親自揀選
[00:03:29.320 --> 00:03:35.320]  第二個資格就是要見過復活後的耶穌基督
[00:03:35.320 --> 00:03:37.320]  我們一起來看看第一點
[00:03:37.320 --> 00:03:41.320]  就是要被耶穌基督親自揀選
[00:03:41.320 --> 00:03:45.320]  在約翰福音第六章第七十節
[00:03:45.320 --> 00:03:46.320]  耶穌基督說
[00:03:46.320 --> 00:03:49.320]  「我不是揀選了你們十二個門徒魔
[00:03:49.320 --> 00:03:52.320]  但你們中間有一個是魔鬼」
[00:03:52.320 --> 00:03:55.320]  這個魔鬼就是猶大
[00:03:55.320 --> 00:03:56.320]  我們剛才說了
[00:03:56.320 --> 00:04:00.320]  當他死了之後由馬提亞來到頂上
[00:04:00.320 --> 00:04:07.320]  你說這樣耶穌基督有沒有揀選馬提亞?
[00:04:07.320 --> 00:04:10.320]  在使徒行傳的第一章我們看到
[00:04:10.320 --> 00:04:12.320]  那些門徒就是透過祭籤
[00:04:12.320 --> 00:04:14.320]  是透過耶穌基督的靈
[00:04:14.320 --> 00:04:17.320]  來幫助他們揀選
[00:04:17.320 --> 00:04:21.320]  替猶大的使徒揀選了馬提亞
[00:04:21.320 --> 00:04:23.320]  也有人問
[00:04:23.320 --> 00:04:28.320]  保羅自己有沒有被耶穌基督揀選?
[00:04:28.320 --> 00:04:31.320]  在耶福所書的三章七節
[00:04:31.320 --> 00:04:33.320]  我們看到保羅說
[00:04:33.320 --> 00:04:35.320]  「我作了這福音的執事
[00:04:35.320 --> 00:04:37.320]  是照神的恩賜
[00:04:37.320 --> 00:04:42.320]  這恩賜是照他運行的大能賜給我的」
[00:04:42.320 --> 00:04:45.320]  保羅能夠成為福音的執事
[00:04:45.320 --> 00:04:48.320]  全部都是神的恩典
[00:04:48.320 --> 00:04:49.320]  是神賜給他
[00:04:49.320 --> 00:04:53.320]  在使徒行傳的九章十五節
[00:04:53.320 --> 00:04:56.320]  耶穌基督對亞拿尼亞說
[00:04:56.320 --> 00:05:00.320]  「你只管去,他是我所揀選的器皿
[00:05:00.320 --> 00:05:03.320]  要在外邦人和君王
[00:05:03.320 --> 00:05:07.320]  並以色列人面前宣揚我的名」
[00:05:07.320 --> 00:05:10.320]  我們看到的確保羅
[00:05:10.320 --> 00:05:14.320]  真是被耶穌基督所揀選的器皿
[00:05:14.320 --> 00:05:17.320]  我們看看第二點
[00:05:17.320 --> 00:05:21.320]  除了使徒要被耶穌基督親自揀選
[00:05:21.320 --> 00:05:25.320]  使徒也要見過復活後的耶穌基督
[00:05:25.320 --> 00:05:29.320]  在使徒行傳的第一章二十一至二十二節
[00:05:29.320 --> 00:05:30.320]  經文說
[00:05:30.320 --> 00:05:34.320]  「所以耶穌在我們中間始終出入的時候
[00:05:34.320 --> 00:05:36.320]  就是從約翰斯洗起
[00:05:36.320 --> 00:05:39.320]  直到主離開我們
[00:05:39.320 --> 00:05:42.320]  被折上升的日子為止
[00:05:42.320 --> 00:05:46.320]  必須從那常與我們作伴的人中
[00:05:46.320 --> 00:05:51.320]  立一位與我們同作耶穌復活的見證」
[00:05:51.320 --> 00:05:53.320]  有沒有看到經文說
[00:05:53.320 --> 00:05:57.320]  門徒要作耶穌基督復活的見證
[00:05:57.320 --> 00:06:01.320]  當門徒在上層的房間樓房上
[00:06:01.320 --> 00:06:05.320]  耶穌基督復活後與他們見面
[00:06:05.320 --> 00:06:10.320]  所以我們知道門徒都見證過耶穌基督的復活
[00:06:10.320 --> 00:06:12.320]  那你說保羅呢?
[00:06:12.320 --> 00:06:15.320]  保羅有沒有見證過?
[00:06:15.320 --> 00:06:18.320]  在哥林多前書九章一節
[00:06:18.320 --> 00:06:21.320]  保羅說「我不是使徒嗎?
[00:06:21.320 --> 00:06:24.320]  我不是見過我們的主耶穌嗎?」
[00:06:24.320 --> 00:06:27.320]  這裡其實讓我們看到
[00:06:27.320 --> 00:06:29.320]  就是保羅告訴我們
[00:06:29.320 --> 00:06:32.320]  做使徒其中的一個資格
[00:06:32.320 --> 00:06:34.320]  保羅說「我不是使徒嗎?
[00:06:34.320 --> 00:06:36.320]  我是見過耶穌基督」
[00:06:36.320 --> 00:06:39.320]  所以使徒都要見過耶穌基督
[00:06:39.320 --> 00:06:42.320]  在加拉太書的一章十二節
[00:06:42.320 --> 00:06:45.320]  也有很相似的經文
[00:06:45.320 --> 00:06:49.320]  所以使徒不是說現代人就能夠做到
[00:06:49.320 --> 00:06:53.320]  使徒在歷史上有一定的地位
[00:06:53.320 --> 00:06:56.320]  在伊弗所書的二章二十節
[00:06:56.320 --> 00:07:01.320]  都說教會是建立在使徒和先知的根基上
[00:07:01.320 --> 00:07:05.320]  這些使徒都是有歷史上的地位
[00:07:05.320 --> 00:07:08.320]  他們是建立教會的
[00:07:08.320 --> 00:07:11.320]  如果我跟你說美國的獨立
[00:07:11.320 --> 00:07:16.320]  就是建立在早期愛國者的根基上
[00:07:16.320 --> 00:07:19.320]  我所說的就是托馬斯·傑佛遜
[00:07:19.320 --> 00:07:22.320]  約翰·亞當斯、賓夕曼·弗蘭克林
[00:07:22.320 --> 00:07:26.320]  喬治·沃西頓或亞利桑那·哈繆頓
[00:07:26.320 --> 00:07:32.320]  我所說的一定是歷史上有地位的人物
[00:07:32.320 --> 00:07:37.320]  而不是任何現代人所能夠做到
[00:07:37.320 --> 00:07:42.320]  保羅不單知道自己的身份
[00:07:42.320 --> 00:07:44.320]  知道自己的權柄
[00:07:44.320 --> 00:07:47.320]  他還是一個非常謙卑的人
[00:07:47.320 --> 00:07:49.320]  他介紹自己的時候
[00:07:49.320 --> 00:07:54.320]  沒有像現在很多現代人的傳道人或牧師
[00:07:54.320 --> 00:07:58.320]  大把銜頭有MD、有LLD、有PhD
[00:07:58.320 --> 00:08:00.320]  什麼都出齊了
[00:08:00.320 --> 00:08:03.320]  然後才說到他們牧師的身份
[00:08:03.320 --> 00:08:05.320]  但是保羅沒有這樣做
[00:08:05.320 --> 00:08:10.320]  保羅只是將注意力放在自己使徒的名份上
[00:08:10.320 --> 00:08:13.320]  他是被耶穌基督所揀選
[00:08:13.320 --> 00:08:16.320]  他的權柄是來自耶穌基督
[00:08:16.320 --> 00:08:19.320]  在路易博所說的三章八節
[00:08:19.320 --> 00:08:21.320]  保羅非常謙卑
[00:08:21.320 --> 00:08:25.320]  他說我本來比眾聖徒中最少的還少
[00:08:25.320 --> 00:08:28.320]  然而他還賜我這恩典
