
[00:00:00.000 --> 00:00:05.000]  踏入2021年
[00:00:05.000 --> 00:00:10.000]  我們很深刻體會
[00:00:10.000 --> 00:00:15.000]  雅各書四章十四節的提醒
[00:00:15.000 --> 00:00:18.000]  明天如何
[00:00:18.000 --> 00:00:21.000]  其實你們不知道
[00:00:21.000 --> 00:00:24.000]  回首去年
[00:00:24.000 --> 00:00:29.000]  我們也從來沒有能夠預料得到
[00:00:29.000 --> 00:00:33.000]  疫情的反覆
[00:00:33.000 --> 00:00:36.000]  一月初我在廣恩堂
[00:00:36.000 --> 00:00:38.000]  講這篇導的時候
[00:00:38.000 --> 00:00:40.000]  我查過當時
[00:00:40.000 --> 00:00:45.000]  八千四百萬全世界的人口染病
[00:00:45.000 --> 00:00:50.000]  一百八十三萬人死亡
[00:00:50.000 --> 00:00:52.000]  兩個月之後的今天
[00:00:52.000 --> 00:00:58.000]  全世界一億一千三百萬人染病
[00:00:58.000 --> 00:01:02.000]  二百五十萬人死亡
[00:01:02.000 --> 00:01:08.000]  今年我提議給黃牧師
[00:01:08.000 --> 00:01:10.000]  講道的系列
[00:01:10.000 --> 00:01:12.000]  講約伯記
[00:01:12.000 --> 00:01:15.000]  讀都讀不完這本書
[00:01:15.000 --> 00:01:17.000]  怎麼講得完
[00:01:17.000 --> 00:01:22.000]  聽不聽得完整本書
[00:01:22.000 --> 00:01:23.000]  不知道
[00:01:23.000 --> 00:01:26.000]  其實明天如何
[00:01:26.000 --> 00:01:28.000]  我們都不知道
[00:01:28.000 --> 00:01:30.000]  不過感恩
[00:01:30.000 --> 00:01:35.000]  今天我們仍然有機會
[00:01:35.000 --> 00:01:38.000]  在上帝的恩典當中
[00:01:38.000 --> 00:01:42.000]  同心合意的敬拜
[00:01:42.000 --> 00:01:46.000]  所以我們仍然可以祈禱
[00:01:46.000 --> 00:01:48.000]  請說
[00:01:48.000 --> 00:01:52.000]  福人敬聽
[00:01:52.000 --> 00:01:56.000]  約伯記的內容
[00:01:56.000 --> 00:02:00.000]  你就算不是基督徒都聽過
[00:02:00.000 --> 00:02:04.000]  何況你是沙孫的弟兄姊妹
[00:02:04.000 --> 00:02:07.000]  約伯這個人物
[00:02:07.000 --> 00:02:11.000]  除了約伯記提及
[00:02:11.000 --> 00:02:13.000]  新舊約其他地方
[00:02:13.000 --> 00:02:16.000]  都有提到
[00:02:16.000 --> 00:02:18.000]  特別以西傑書
[00:02:18.000 --> 00:02:20.000]  十四章
[00:02:20.000 --> 00:02:23.000]  十四節很容易記
[00:02:23.000 --> 00:02:25.000]  可能你沒有聖經在手
[00:02:25.000 --> 00:02:26.000]  不過不要緊
[00:02:26.000 --> 00:02:32.000]  在秘魯流亡巴比倫加巴魯的河邊
[00:02:32.000 --> 00:02:37.000]  先知提到三個古人
[00:02:37.000 --> 00:02:42.000]  挪亞、約伯和但義里
[00:02:42.000 --> 00:02:44.000]  我們經常都弄錯
[00:02:44.000 --> 00:02:46.000]  所以從今天開始不要再弄錯
[00:02:46.000 --> 00:02:52.000]  但義里不是但義里書的但義里
[00:02:52.000 --> 00:02:57.000]  但義里是三十年代
[00:02:57.000 --> 00:03:03.000]  迦南出土的泥板上記載
[00:03:03.000 --> 00:03:13.000]  古迦南一位公義著名的君王但義里
[00:03:13.000 --> 00:03:17.000]  所以這三個古人不是以色列人
[00:03:17.000 --> 00:03:23.000]  挪亞都未有阿伯拉罕、以撒、瓦國
[00:03:23.000 --> 00:03:27.000]  他已經是一個異人
[00:03:27.000 --> 00:03:30.000]  約伯經文介紹
[00:03:30.000 --> 00:03:33.000]  完全有正直
[00:03:33.000 --> 00:03:37.000]  敬畏神遠離惡事
[00:03:37.000 --> 00:03:44.000]  約伯無疑是這本書的主角人物
[00:03:44.000 --> 00:03:48.000]  不過第一、第二章
[00:03:48.000 --> 00:03:51.000]  用今天的潮語說
[00:03:51.000 --> 00:03:53.000]  吸睛的
[00:03:53.000 --> 00:03:56.000]  令我們注意的
[00:03:56.000 --> 00:04:05.000]  其實是約伯頭兩章提到神和撒旦
[00:04:05.000 --> 00:04:11.000]  全本新舊約聖經六十六卷
[00:04:11.000 --> 00:04:21.000]  最詳細、最直接介紹撒旦
[00:04:21.000 --> 00:04:25.000]  就是約伯記的開場白
[00:04:25.000 --> 00:04:32.000]  其他有些地方從來都沒有說撒旦
[00:04:32.000 --> 00:04:35.000]  例如以塞雅書十三十四章
