
[00:00:00.000 --> 00:00:05.000]  中國人有一句說話
[00:00:05.000 --> 00:00:10.000]  不知廬山真面目 只願身在此山中
[00:00:10.000 --> 00:00:12.000]  說得很對
[00:00:12.000 --> 00:00:14.000]  很多時候我都問自己一個問題
[00:00:14.000 --> 00:00:16.000]  究竟我是誰呢
[00:00:16.000 --> 00:00:19.000]  究竟我是一個什麼人呢
[00:00:19.000 --> 00:00:21.000]  有時候覺得自己不錯
[00:00:21.000 --> 00:00:24.000]  也不錯 這個蘇永睿不錯
[00:00:24.000 --> 00:00:27.000]  有時候覺得自己很差 很差
[00:00:27.000 --> 00:00:32.000]  上個星期崇拜完之後
[00:00:32.000 --> 00:00:35.000]  在崇拜完 每個人都見到你叫牧師 牧師 牧師
[00:00:35.000 --> 00:00:38.000]  有時候自己都覺得好像自己是牧師
[00:00:38.000 --> 00:00:40.000]  真是神聖
[00:00:40.000 --> 00:00:43.000]  上個星期日我和我太太
[00:00:43.000 --> 00:00:46.000]  慶祝我們35週年紀念
[00:00:46.000 --> 00:00:49.000]  我們去迪士尼樂園玩一天
[00:00:49.000 --> 00:00:57.000]  懷著很興奮的心情
[00:00:57.000 --> 00:01:01.000]  去迪士尼的荷里活酒店 部宿一晚
[00:01:01.000 --> 00:01:03.000]  嘩 真是
[00:01:03.000 --> 00:01:07.000]  誰知去到酒店的時候 辦理入住証件的時候
[00:01:07.000 --> 00:01:09.000]  說不辦理入住証件
[00:01:09.000 --> 00:01:15.000]  總之有些詳細的經驗 不如在這裡說
[00:01:15.000 --> 00:01:18.000]  當時我火滾
[00:01:18.000 --> 00:01:21.000]  火滾到我要見你的上司
[00:01:21.000 --> 00:01:23.000]  上司來到 我又要再見你的上司
[00:01:23.000 --> 00:01:25.000]  一直這樣說 我太太這樣說
[00:01:25.000 --> 00:01:27.000]  你怎麼這麼燥
[00:01:27.000 --> 00:01:31.000]  那句話 你怎麼這麼燥 都不像牧師
[00:01:31.000 --> 00:01:33.000]  有時候覺得自己也是
[00:01:33.000 --> 00:01:37.000]  沒什麼忍耐 缺少咸養
[00:01:37.000 --> 00:01:40.000]  沒什麼耐性 反應太快
[00:01:40.000 --> 00:01:44.000]  不夠醒目 有時候反應太慢
[00:01:44.000 --> 00:01:47.000]  究竟我是一個什麼人呢
[00:01:47.000 --> 00:01:49.000]  有時候自己也不知道
[00:01:49.000 --> 00:01:52.000]  有人告訴我 牧師你是好人 好有忍耐
[00:01:52.000 --> 00:01:54.000]  但我的子女又告訴我
[00:01:54.000 --> 00:01:56.000]  爸爸你真的沒什麼忍耐
[00:01:56.000 --> 00:01:58.000]  究竟我是一個什麼人呢
[00:01:58.000 --> 00:02:00.000]  美國的心理學家Alan Goodman
[00:02:00.000 --> 00:02:03.000]  曾經寫過一篇很有趣的文章
[00:02:03.000 --> 00:02:06.000]  文章的名字是 你憎恨你自己嗎
[00:02:06.000 --> 00:02:08.000]  你不接納你自己嗎 你錯了
[00:02:08.000 --> 00:02:11.000]  因為你憎恨的不是你真正的你
[00:02:11.000 --> 00:02:13.000]  那我問什麼是真正的我呢
[00:02:13.000 --> 00:02:15.000]  我是誰呢
[00:02:15.000 --> 00:02:17.000]  他就說了兩句話
[00:02:17.000 --> 00:02:19.000]  當你言又無知的時候
[00:02:19.000 --> 00:02:21.000]  你只是一個單純的你
[00:02:21.000 --> 00:02:23.000]  只是一個屬於你自己經驗的你
[00:02:23.000 --> 00:02:26.000]  你喜歡吃就吃 你喜歡睡就睡
[00:02:26.000 --> 00:02:28.000]  你喜歡去那裡就去那裡
[00:02:28.000 --> 00:02:30.000]  後來你年紀漸大了
[00:02:30.000 --> 00:02:33.000]  你懂得聽東西了 你也開始懂得思想了
