
[00:00:00.000 --> 00:00:06.080]  有時有些人就常常說黃牧師你個人都幾好
[00:00:06.080 --> 00:00:09.840]  很多時候人都對我說黃牧師你的人不錯
[00:00:09.840 --> 00:00:11.520]  你識野又不少
[00:00:11.520 --> 00:00:13.120]  你懂得東西也不少
[00:00:13.120 --> 00:00:15.520]  天文地理你都識少少
[00:00:15.520 --> 00:00:17.440]  天文地理也懂得一點點
[00:00:17.440 --> 00:00:18.800]  有時可以扮下代表
[00:00:18.800 --> 00:00:21.280]  有時可以作為一個代表了
[00:00:21.280 --> 00:00:23.360]  你真是大好人
[00:00:23.360 --> 00:00:26.000]  有時只需要找你你就一定幫我
[00:00:26.000 --> 00:00:27.760]  你真是一個大好人
[00:00:27.760 --> 00:00:30.080]  有事情找你你一定會幫助我的
[00:00:30.080 --> 00:00:32.880]  沒錯這個世界的人當你做一個好人
[00:00:32.880 --> 00:00:34.640]  很多人都很喜歡的
[00:00:34.640 --> 00:00:38.800]  沒錯當你要做一個好人在世上有很多人都很喜歡
[00:00:38.800 --> 00:00:40.400]  但我很誠實地跟他說
[00:00:40.400 --> 00:00:41.680]  但是我很誠實地跟他說
[00:00:41.680 --> 00:00:42.880]  我不想做好人
[00:00:42.880 --> 00:00:44.400]  我說我不願意做好人
[00:00:44.400 --> 00:00:47.200]  因為聖經不是要我們去做好人那麼簡單
[00:00:47.200 --> 00:00:50.560]  因為聖經不是簡單地要我們去做好人
[00:00:50.560 --> 00:00:52.720]  好人只需要去籠絡人家的心
[00:00:52.720 --> 00:00:54.320]  收買人家就可以做得到
[00:00:54.320 --> 00:00:56.880]  做一個好人只要你籠絡人的心
[00:00:56.880 --> 00:00:58.160]  收買他的心就可以了
[00:00:58.160 --> 00:01:00.240]  在聖經裏面我學會一件事
[00:01:00.240 --> 00:01:02.160]  在聖經裏面我學會了一樣東西
[00:01:02.160 --> 00:01:05.600]  如果我是一個重新得救蒙恩的罪人的話
[00:01:05.600 --> 00:01:10.080]  假如我是一個蒙恩得救的重生的人罪人的話
[00:01:10.080 --> 00:01:12.880]  我應該是成為一個有智慧
[00:01:12.880 --> 00:01:15.200]  也都能夠明白事理的人
[00:01:15.200 --> 00:01:17.120]  那我應該要成為一個有智慧
[00:01:17.120 --> 00:01:18.640]  也要明白事理的人
[00:01:18.640 --> 00:01:21.680]  因為這個正正就是在聖經裏面所指出的
[00:01:21.680 --> 00:01:24.720]  因為這正正是聖經裏面所指出的
