
[00:00:00.000 --> 00:00:14.000]  我印象中你們沙田的聚會點,我好幾年前應該去過一次,不過紅磡這個地點是第一次來
[00:00:14.000 --> 00:00:22.000]  今天是母親節,做了一個男人來說,母親節都有點吊詭,不過人生就很吊詭的了
[00:00:22.000 --> 00:00:42.000]  人生在迷茫之中可以找到出路的,不過今天因為母親節,想和大家分享一下女性的需要
[00:00:42.000 --> 00:00:58.000]  坦白來說,我沒有做女人的經驗,不過我家裡有一個老婆三個女兒,加上我媽媽在中山下來,我經常要面對一堆女人
[00:00:58.000 --> 00:01:08.000]  所以對女性有一點點經驗,根據我的經驗,也根據聖經,也根據心理學的研究和大家分析
[00:01:08.000 --> 00:01:17.000]  其實今天唱歌很開心,不過今天我們講路德的故事,路德其實是一個很幽暗的故事
[00:01:17.000 --> 00:01:29.000]  我們從一個比較幽暗的角度,希望故事在幽暗的際遇中帶給我們一些盼望
[00:01:29.000 --> 00:01:31.000]  我們開始的時候再做一個禱告
[00:01:31.000 --> 00:01:36.000]  主耶穌,我們感謝祢,因為祢是一個滿有恩典的神
[00:01:36.000 --> 00:01:43.000]  多謝祢,因為我們知道人生無論在喜樂或是幽暗的場面,祢都與我們同在
[00:01:43.000 --> 00:01:49.000]  今日求祢藉著路德的故事,鼓勵我們每一個人,特別鼓勵每一個的姐妹
[00:01:49.000 --> 00:01:52.000]  禱告奉耶穌基督名,Amen
[00:01:52.000 --> 00:02:01.000]  某程度上,其實今天編導,剛才執事已經幫我講了
[00:02:01.000 --> 00:02:08.000]  其實他講長一點,我講短一點都可以,不過不要緊,因為你請我來,所以都要繼續分享
[00:02:08.000 --> 00:02:19.000]  說到做女人,從某個角度來看,在2017年做女人,或者做姐妹,都是一件很好的事
[00:02:19.000 --> 00:02:28.000]  為什麼呢?因為今天的女人自由多了很多,以前說女人無財便是德
[00:02:28.000 --> 00:02:34.000]  現在不是了,現在女人讀書又厲害,香港的Band One學校女生多過男生
[00:02:34.000 --> 00:02:42.000]  醫學院都是女生多過男生,整個教育制度對女生都有幫助
[00:02:42.000 --> 00:02:49.000]  現在做男人很慘,不過將來有機會父親節你請我來,我再講做男人怎樣慘
[00:02:49.000 --> 00:02:57.000]  某程度上,做女人很好的,因為現在這個年代的女人進可攻退可守
[00:02:57.000 --> 00:03:05.000]  什麼意思呢?你作為一個姐妹,你出來職場工作,你做得成功,人們說你很威風
[00:03:05.000 --> 00:03:14.000]  一個女人都可以打出江山,一個林鄭都做得特首,職場成功,人們說你很厲害
[00:03:14.000 --> 00:03:22.000]  如果你說不想在職場打滾,留在家照顧兒女,全職做媽媽
