
[00:00:00.000 --> 00:00:07.440]  根據《司徒信經》
[00:00:07.440 --> 00:00:12.000]  我信上帝 全能的父 創造天地的主
[00:00:12.000 --> 00:00:15.100]  我信我主耶穌基督 上帝獨生的兒子
[00:00:15.100 --> 00:00:18.240]  接著就到第三節
[00:00:18.240 --> 00:00:20.720]  嚴格來說沒有什麼節數
[00:00:20.720 --> 00:00:23.600]  第三節就是因聖靈感恩
[00:00:23.600 --> 00:00:25.600]  由童貞女瑪莉亞所生
[00:00:25.600 --> 00:00:29.880]  因為《司徒信經》有這句應信
[00:00:29.880 --> 00:00:32.600]  所以跟大家說說瑪莉亞
[00:00:32.600 --> 00:00:36.640]  雖然在天主教的傳統
[00:00:36.640 --> 00:00:39.040]  瑪莉亞是很重要的角色
[00:00:39.040 --> 00:00:41.560]  但我們基督新教很少談論
[00:00:41.560 --> 00:00:47.560]  到底瑪莉亞是怎樣是我們信仰的一個榜樣
[00:00:47.560 --> 00:00:50.720]  所以今天就選了一段經文
[00:00:50.720 --> 00:00:52.480]  跟大家分享一下瑪莉亞
[00:00:52.480 --> 00:00:55.640]  經文是怎樣看待瑪莉亞的角色
[00:00:55.640 --> 00:00:58.240]  我們開始的時候再做一個圖稿
[00:00:58.240 --> 00:01:00.360]  主耶穌我們去到祢的面前
[00:01:00.360 --> 00:01:02.600]  多謝祢每天的看顧
[00:01:02.600 --> 00:01:05.680]  生命中雖然有時有些大大小小的意外
[00:01:05.680 --> 00:01:09.560]  但祢總是在我們的身邊來扶持我們
[00:01:09.560 --> 00:01:11.760]  正如祢扶持瑪莉亞
[00:01:11.760 --> 00:01:15.680]  祢給瑪莉亞一個童貞女懷孕這個挑戰
[00:01:15.680 --> 00:01:18.960]  祢也給她有這樣的能力
[00:01:18.960 --> 00:01:21.360]  有這樣的際遇
[00:01:21.360 --> 00:01:23.640]  她能夠走過這一段路
[00:01:23.640 --> 00:01:27.600]  今天一段我們去看她的經歷的時候
[00:01:27.600 --> 00:01:29.680]  祢也去激勵我們
[00:01:29.680 --> 00:01:32.680]  讓她的回應成為我們的鼓勵
[00:01:32.680 --> 00:01:35.000]  將以下聽到的時間交託
[00:01:35.000 --> 00:01:37.920]  祈禱奉耶穌基督的名
[00:01:37.920 --> 00:01:40.840]  好了 瑪莉亞
[00:01:40.840 --> 00:01:44.320]  我們先讀一讀經文
[00:01:44.320 --> 00:01:47.160]  我分兩段去讀
[00:01:47.160 --> 00:01:50.000]  首先讀耶路哲開始
[00:01:50.000 --> 00:01:52.840]  《路加福音》 耶路哲開始
[00:01:52.840 --> 00:01:58.840]  到了第六個月 天使加伯列奉神的差遣
[00:01:58.840 --> 00:02:01.200]  往加利利的一座城去
[00:02:01.200 --> 00:02:03.000]  這城名叫拿撒勒
[00:02:03.000 --> 00:02:04.640]  到一個童女那裡
[00:02:04.640 --> 00:02:08.360]  是已經許配大衛家的一個人
[00:02:08.360 --> 00:02:09.600]  名叫約瑟
[00:02:09.600 --> 00:02:12.360]  童女的名字叫瑪莉亞
[00:02:12.360 --> 00:02:14.320]  天使進去對她說
[00:02:14.320 --> 00:02:17.280]  蒙大恩的女子何文利安
