
[00:00:00.000 --> 00:00:06.640]  丙姐妹你好!祝大家聖誕快樂!
[00:00:06.640 --> 00:00:10.240]  很快就會到聖誕節
[00:00:10.240 --> 00:00:12.000]  現在我們在我們的崇拜裏面
[00:00:12.000 --> 00:00:14.640]  丙姐妹崇拜組的丙姐妹
[00:00:14.640 --> 00:00:18.000]  都幫我們預備了很多的裝飾提醒我們
[00:00:18.000 --> 00:00:22.240]  其實當然我們不能肯定耶穌哪一天出世
[00:00:22.240 --> 00:00:24.480]  我們永遠都不能知道耶穌是不是12月25日出世
[00:00:24.480 --> 00:00:26.080]  如果查過律師就知道了
[00:00:26.080 --> 00:00:27.840]  這個不一定是耶穌出世的日子
[00:00:27.840 --> 00:00:31.520]  不過教會很早就定了這個日子為紀念
[00:00:31.520 --> 00:00:33.760]  耶穌曾經度世肉身
[00:00:33.760 --> 00:00:36.720]  真真正正的成為人在我們當中
[00:00:36.720 --> 00:00:41.520]  所以我們希望我們大家能夠準備一下
[00:00:41.520 --> 00:00:45.840]  就是我們去應見、紀念主講新的日子
[00:00:45.840 --> 00:00:48.160]  無論在傳方方面、在靈性方面
[00:00:48.160 --> 00:00:51.760]  我們都能夠做些準備
[00:00:51.760 --> 00:00:55.040]  大家知道我將會有一段時間
[00:00:55.040 --> 00:00:59.600]  會在教會所謂的兼職示眾
[00:00:59.600 --> 00:01:04.320]  然後在遲些的時間可能會全職寫書
[00:01:04.320 --> 00:01:06.800]  大約一年前我想一下
[00:01:06.800 --> 00:01:09.360]  在我離開之前我想和大家分享什麼呢?
[00:01:09.360 --> 00:01:11.760]  最後留在大家當中的信息是什麼呢?
[00:01:11.760 --> 00:01:13.200]  我就選了《馬福音》
[00:01:13.200 --> 00:01:16.960]  我想將耶穌的生平最後和大家分享
[00:01:16.960 --> 00:01:20.240]  《馬福音》是記載耶穌的生平的事蹟
[00:01:20.240 --> 00:01:22.400]  其中一件書、最主要的一件書
[00:01:22.400 --> 00:01:26.160]  充滿了很多耶穌做事的行動
[00:01:26.160 --> 00:01:28.240]  如果大家上星期有回來主教崇拜的時候
[00:01:28.240 --> 00:01:29.280]  聽到我說
[00:01:29.280 --> 00:01:33.840]  耶穌醫好一個耳聾和喋喋不休
[00:01:33.840 --> 00:01:37.040]  就是說聽不到話、說不出話的一個人
[00:01:37.040 --> 00:01:37.840]  那個病
[00:01:37.840 --> 00:01:41.600]  然後接下來已經到了第八章
[00:01:41.600 --> 00:01:42.720]  在上次講到的時間
[00:01:42.720 --> 00:01:47.440]  我講到其實我們的信仰需要經歷上帝
[00:01:47.440 --> 00:01:50.560]  在經歷上帝裡面我們才看到信仰的真實
[00:01:50.560 --> 00:01:52.640]  如果信仰不能夠被經歷的話
[00:01:52.640 --> 00:01:55.360]  這個信仰是一個死的信仰
[00:01:55.360 --> 00:01:56.560]  可能你聽完之後
[00:01:56.560 --> 00:01:57.920]  我不知道你有沒有試著想一下
[00:01:57.920 --> 00:01:59.920]  好,我上個星期聽完之後
[00:01:59.920 --> 00:02:00.800]  我就去實踐了
[00:02:00.800 --> 00:02:02.560]  怎樣經歷上帝
[00:02:02.560 --> 00:02:04.560]  我不知道你會不會
[00:02:04.560 --> 00:02:07.760]  你說其實當我上次經歷上帝的時間
[00:02:07.760 --> 00:02:11.040]  有很多的失望、有撞板
[00:02:11.040 --> 00:02:13.760]  好像聖經今天我用的題目一樣
[00:02:13.760 --> 00:02:16.080]  又走入曠野
[00:02:16.080 --> 00:02:21.200]  又走入一個好像不能夠幫助我的環境當中
[00:02:21.200 --> 00:02:24.640]  我今天主要在主題上
[00:02:24.640 --> 00:02:27.040]  我們的大部分的講員
[00:02:27.040 --> 00:02:30.480]  都喜歡講一卷一卷書這樣講的
