
[00:00:00.000 --> 00:00:08.000]  今天會和大家講一個非常特別的訊息
[00:00:08.000 --> 00:00:13.500]  叫做從聖經看UFO或者是外星人
[00:00:13.500 --> 00:00:17.000]  有人說有沒有搞錯啊牧師
[00:00:17.000 --> 00:00:21.000]  你是不是去完旅行放完假回來SHOT了
[00:00:21.000 --> 00:00:24.000]  不是啊
[00:00:24.000 --> 00:00:27.500]  我因為我自己是叛徒出家
[00:00:27.500 --> 00:00:31.000]  我和很多牧師的背景都不同
[00:00:31.000 --> 00:00:36.000]  我久不久都喜歡講一些一般牧師
[00:00:36.000 --> 00:00:39.000]  或者我自己都不會講的話題
[00:00:39.000 --> 00:00:41.000]  久不久就會講一次
[00:00:41.000 --> 00:00:46.000]  其實我很喜歡跟著聖經一步一步書來講
[00:00:46.000 --> 00:00:50.000]  其實我在數兩年前都講過一個類似的訊息
[00:00:50.000 --> 00:00:55.000]  叫做日月星宿都傳揚基督的救恩
[00:00:55.000 --> 00:00:59.000]  今天又要和大家講UFO外星人
[00:00:59.000 --> 00:01:03.000]  為什麼會講一個這樣的話題
[00:01:03.000 --> 00:01:06.000]  原因是因為在今年的九月底
[00:01:06.000 --> 00:01:11.000]  我是被開路者這個機構來訪問
[00:01:11.000 --> 00:01:17.000]  他們所採訪的話題就是要我講UFO和外星人
[00:01:17.000 --> 00:01:20.000]  有一個聽眾聽了這個訪問之後
[00:01:20.000 --> 00:01:23.000]  他在網上留言
[00:01:23.000 --> 00:01:30.000]  他說終於有人做基督徒有關的外星話題了
[00:01:30.000 --> 00:01:32.000]  我再講一次
[00:01:32.000 --> 00:01:36.000]  他說終於有人做和基督徒有關的外星話題
[00:01:36.000 --> 00:01:39.000]  我讀了之後非常有感觸
[00:01:39.000 --> 00:01:43.000]  好像我們基督徒就像一隻鴕鳥一樣
[00:01:43.000 --> 00:01:47.000]  經常將頭埋在沙堆裏不聞世事
[00:01:47.000 --> 00:01:50.000]  好像縮頭烏龜一樣
[00:01:50.000 --> 00:01:53.000]  世人所說的我們都不去說
[00:01:53.000 --> 00:01:58.000]  這就是我們給人的印象
[00:01:58.000 --> 00:02:01.000]  我們好像和俗世脫節一樣
[00:02:01.000 --> 00:02:04.000]  其實聖經告訴我們
[00:02:04.000 --> 00:02:06.000]  我們不屬於這個世界
[00:02:06.000 --> 00:02:08.000]  但我們在這個世界裏
[00:02:08.000 --> 00:02:11.000]  我們不能和世界脫節
[00:02:11.000 --> 00:02:14.000]  如果我們不去說的時候
[00:02:14.000 --> 00:02:16.000]  自然會有人說
[00:02:16.000 --> 00:02:19.000]  自然會有人影響我們的子女
[00:02:19.000 --> 00:02:22.000]  會影響我們孫子孫女的信心
[00:02:22.000 --> 00:02:24.000]  所以我們不怕說
[00:02:24.000 --> 00:02:26.000]  我們是要說
[00:02:26.000 --> 00:02:28.000]  但有人說
[00:02:28.000 --> 00:02:32.000]  咦 聖經真的沒有說這些話題
[00:02:32.000 --> 00:02:35.000]  如果你留意的話
[00:02:35.000 --> 00:02:39.000]  我相信聖經給了我們很多提示
[00:02:39.000 --> 00:02:41.000]  給了我們很多暗示
[00:02:41.000 --> 00:02:46.000]  今天我們就是要從聖經的角度來看
[00:02:46.000 --> 00:02:50.000]  究竟有沒有可能有外星人的存在
[00:02:50.000 --> 00:02:53.000]  我在這裏都要很感謝
[00:02:53.000 --> 00:02:57.000]  如語堂的長老准許我講這篇道
[00:02:57.000 --> 00:03:00.000]  和我們的主任牧師
[00:03:00.000 --> 00:03:03.000]  其實都是很重要
[00:03:03.000 --> 00:03:07.000]  因為我們知道有很多人都說
[00:03:07.000 --> 00:03:10.000]  這個是國語堂的如牧師和我說
[00:03:10.000 --> 00:03:14.000]  他說如果真的發現有外星人
[00:03:14.000 --> 00:03:16.000]  有很多人認為
[00:03:16.000 --> 00:03:21.000]  就是聖經和基督教我們就完蛋了
[00:03:21.000 --> 00:03:25.000]  因為如果神真的能知過去未來
[00:03:25.000 --> 00:03:27.000]  真的無所不知的話
[00:03:27.000 --> 00:03:30.000]  為什麼聖經裏沒有記載有外星人
[00:03:30.000 --> 00:03:32.000]  有很多人認為
[00:03:32.000 --> 00:03:34.000]  真的發現有外星人
[00:03:34.000 --> 00:03:37.000]  那聖經和基督教就完蛋了
[00:03:37.000 --> 00:03:38.000]  是不是這樣呢
