
[00:00:00.000 --> 00:00:09.000]  上星期我們讀了十誡開頭的
[00:00:09.000 --> 00:00:12.000]  不是第一誡 是第一句說話
[00:00:12.000 --> 00:00:15.000]  「我是耶和華 你的神」
[00:00:15.000 --> 00:00:17.000]  所以對於你們來說
[00:00:17.000 --> 00:00:23.000]  再沒有其他的神在我的面前
[00:00:23.000 --> 00:00:27.000]  不是不准 是不需要
[00:00:27.000 --> 00:00:33.000]  這個釋放的說話使我們如釋重負
[00:00:33.000 --> 00:00:35.000]  在我們人生當中
[00:00:35.000 --> 00:00:39.000]  不需要廣東話最傳神
[00:00:39.000 --> 00:00:47.000]  「騰來騰去 慌死 漏咗邊個神我得罪咗」
[00:00:47.000 --> 00:00:53.000]  不用 你有真神在你的人生當中
[00:00:53.000 --> 00:00:57.000]  足夠有緣
[00:00:57.000 --> 00:00:59.000]  第二句說話
[00:00:59.000 --> 00:01:02.000]  也是我們很容易搞錯
[00:01:02.000 --> 00:01:05.000]  不怪我們讀聖經的人
[00:01:05.000 --> 00:01:09.000]  要怪的可能是翻譯聖經的時候
[00:01:09.000 --> 00:01:11.000]  已經開始會搞錯
[00:01:11.000 --> 00:01:13.000]  甚至再早一點
[00:01:13.000 --> 00:01:17.000]  在中世紀改教運動的時候
[00:01:17.000 --> 00:01:20.000]  馬丁路德也搞錯了
[00:01:20.000 --> 00:01:25.000]  因為羅馬天主教傳統一直都搞錯
[00:01:25.000 --> 00:01:30.000]  第二句說話
[00:01:30.000 --> 00:01:37.000]  這裡說「不可為自己雕刻偶像」
[00:01:37.000 --> 00:01:39.000]  改教運動的時候
[00:01:39.000 --> 00:01:45.000]  馬丁路德跟從羅馬教廷的分法
[00:01:45.000 --> 00:01:47.000]  這句都是第一誡
[00:01:47.000 --> 00:01:51.000]  第一誡和第二誡在這裡分
[00:01:51.000 --> 00:01:53.000]  九誡
[00:01:53.000 --> 00:01:57.000]  最後在不可貪心的地方剖開
[00:01:57.000 --> 00:02:00.000]  如果你有這個背景
[00:02:00.000 --> 00:02:03.000]  你明白我在說什麼
[00:02:03.000 --> 00:02:06.000]  可以雕刻的像
[00:02:06.000 --> 00:02:12.000]  到底是說其他的假神
[00:02:12.000 --> 00:02:18.000]  還是說敬拜真神的方式
[00:02:18.000 --> 00:02:22.000]  這個很重要
[00:02:22.000 --> 00:02:25.000]  你不再需要有其他的神
[00:02:25.000 --> 00:02:28.000]  在第一句說話已經說了
[00:02:28.000 --> 00:02:30.000]  現在來到第二句
[00:02:30.000 --> 00:02:33.000]  其實說的不是其他的神
[00:02:33.000 --> 00:02:40.000]  你知道你要單單侍奉耶和華
[00:02:40.000 --> 00:02:45.000]  你要專心來敬拜獨一的真神
[00:02:45.000 --> 00:02:48.000]  很自然我們會問
[00:02:48.000 --> 00:02:51.000]  怎樣來敬拜他?
[00:02:51.000 --> 00:02:55.000]  怎樣來敬拜真神?
[00:02:55.000 --> 00:03:00.000]  第二句說話是教導我們
[00:03:00.000 --> 00:03:05.000]  當你敬拜耶和華獨一的真神的時候
[00:03:05.000 --> 00:03:10.000]  你千萬不要做一個像
[00:03:10.000 --> 00:03:12.000]  你看下去如果你有聖經在手上
[00:03:12.000 --> 00:03:16.000]  20章第22節
[00:03:16.000 --> 00:03:19.000]  即是說完十誡之後
[00:03:19.000 --> 00:03:22.000]  上帝繼續說
[00:03:22.000 --> 00:03:25.000]  耶和華對摩西說
[00:03:25.000 --> 00:03:29.000]  你要向以色列人這樣說
[00:03:29.000 --> 00:03:36.000]  你們自己看見我從天上和你們說話了
[00:03:36.000 --> 00:03:44.000]  你們不可作什麼神像與我相配
[00:03:44.000 --> 00:03:50.000]  不可為自己作金銀的神像
[00:03:50.000 --> 00:03:51.000]  反而要怎樣做呢?
[00:03:51.000 --> 00:03:54.000]  你要為我築土壇
[00:03:54.000 --> 00:04:03.000]  在上面以牛羊獻為飯祭和平安祭
[00:04:03.000 --> 00:04:05.000]  聽到嗎?
[00:04:05.000 --> 00:04:07.000]  第一句已經很奇怪
[00:04:07.000 --> 00:04:09.000]  不過我們讀聖經很快手
[00:04:09.000 --> 00:04:11.000]  所以看不到
[00:04:11.000 --> 00:04:13.000]  耶和華對摩西說
[00:04:13.000 --> 00:04:15.000]  你向以色列人說清楚
[00:04:15.000 --> 00:04:18.000]  你們已經看見
[00:04:18.000 --> 00:04:21.000]  請問看見什麼?
[00:04:21.000 --> 00:04:26.000]  你們自己看見我從天上和你們說話了
[00:04:26.000 --> 00:04:29.000]  是不是很奇怪呢?
[00:04:29.000 --> 00:04:32.000]  以色列什麼都看不到
[00:04:32.000 --> 00:04:34.000]  上帝沒有顯現出來
[00:04:34.000 --> 00:04:37.000]  有個樣子給他的百姓看
[00:04:37.000 --> 00:04:39.000]  如果你讀回新命記
[00:04:39.000 --> 00:04:41.000]  這次為什麼不讀新命記呢?
[00:04:41.000 --> 00:04:43.000]  讀吧!不過遲一點
[00:04:43.000 --> 00:04:44.000]  現在讀了
[00:04:44.000 --> 00:04:47.000]  如果你看新命記第四章
[00:04:47.000 --> 00:04:50.000]  摩西特別說得很清楚這件事
