
[00:00:00.000 --> 00:00:05.000]  各位兄弟姐妹主內平安
[00:00:05.000 --> 00:00:11.000]  「我的神為甚麼離棄我」
[00:00:11.000 --> 00:00:15.000]  這句說話大家都一定知道
[00:00:15.000 --> 00:00:25.000]  是主耶穌在十字架上七句說話其中的一句
[00:00:25.000 --> 00:00:37.000]  四卷福音書 馬太和馬可福音只記載這一句
[00:00:37.000 --> 00:00:43.000]  所以其他六句沒有出現在馬太馬可
[00:00:43.000 --> 00:00:47.000]  路加第三卷福音書記載三句
[00:00:47.000 --> 00:00:52.000]  約翰記載另外三句
[00:00:52.000 --> 00:00:59.000]  加上我們每年壽苦節如果說到十加七言
[00:00:59.000 --> 00:01:04.000]  那個次序是我們安排出來
[00:01:04.000 --> 00:01:11.000]  不是聖經有介紹哪句先哪句後
[00:01:11.000 --> 00:01:15.000]  「是呀 你說馬太馬可只記載這一句
[00:01:15.000 --> 00:01:19.000]  可見這一句是最重要的」
[00:01:19.000 --> 00:01:26.000]  「在十字架上 父神離棄他的愛子」
[00:01:26.000 --> 00:01:36.000]  所以耶穌就喊「我的神為甚麼離棄我」
[00:01:36.000 --> 00:01:40.000]  如果你有這個印象不怪你
[00:01:40.000 --> 00:01:46.000]  因為我們很少會讀到剛才
[00:01:46.000 --> 00:01:51.000]  多謝弟兄為我們讀出正道經文
[00:01:51.000 --> 00:01:55.000]  詩篇23篇我們很熟悉
[00:01:55.000 --> 00:01:57.000]  怎麼背呢
[00:01:57.000 --> 00:02:01.000]  「耶和華是我的目者」一說大家都知道
[00:02:01.000 --> 00:02:05.000]  22篇從來都不懂
[00:02:05.000 --> 00:02:10.000]  所以我們不知道耶穌是背詩篇
[00:02:10.000 --> 00:02:15.000]  事實上在十字架上七句說話
[00:02:15.000 --> 00:02:19.000]  有三句是出自詩篇的
[00:02:19.000 --> 00:02:20.000]  你知不知道的
[00:02:20.000 --> 00:02:24.000]  不知道耶穌這麼空閒在十字架上背聖經
[00:02:24.000 --> 00:02:33.000]  「是呀 神的話是充滿了基督的心懷意念」
[00:02:33.000 --> 00:02:42.000]  所以很自然就會用詩篇的說話來說
[00:02:42.000 --> 00:02:49.000]  譬如「我學了」在約翰福音出現
[00:02:49.000 --> 00:02:52.000]  約翰特別說清楚
[00:02:52.000 --> 00:03:00.000]  耶穌是為了應驗經上所說的
[00:03:00.000 --> 00:03:03.000]  所以不是真的他學了
[00:03:03.000 --> 00:03:05.000]  是 他是口學
[00:03:05.000 --> 00:03:08.000]  但那句說話你回到哪裏呢
[00:03:08.000 --> 00:03:16.000]  詩篇第69篇
[00:03:16.000 --> 00:03:25.000]  在那裏其實是說我的仇敵落井下石玩我
[00:03:25.000 --> 00:03:30.000]  我肚餓的時候他拿苦膽給我吃
[00:03:30.000 --> 00:03:33.000]  我們不明白甚麼叫苦膽
[00:03:33.000 --> 00:03:36.000]  我肚餓的時候他給辣椒醬我吃
[00:03:36.000 --> 00:03:38.000]  開始明白一點了 廣東人
[00:03:38.000 --> 00:03:45.000]  我喝了他給我醋喝 解不了渴
[00:03:45.000 --> 00:03:53.000]  所以耶穌說這句話其實是用了詩篇的典故
[00:03:53.000 --> 00:04:00.000]  不是說詩篇預言耶穌要在十字架上說這句話
[00:04:00.000 --> 00:04:04.000]  耶穌想著想著 忘記了 快點說回來
[00:04:04.000 --> 00:04:06.000]  我喜歡用的比喻
[00:04:06.000 --> 00:04:09.000]  如果你出國留學讀書
