
[00:00:00.000 --> 00:00:06.400]  今天要繼續和大家講「針賢」的系列
[00:00:06.400 --> 00:00:11.080]  第九講就是領導的智慧
[00:00:11.080 --> 00:00:13.840]  所羅門王其實是一個君王
[00:00:13.840 --> 00:00:16.840]  所以他在「針賢」裡面有很多的教導
[00:00:16.840 --> 00:00:19.080]  都是給領袖的教導
[00:00:19.080 --> 00:00:21.880]  你說今天講領袖的智慧
[00:00:21.880 --> 00:00:23.400]  我又不是領袖
[00:00:23.400 --> 00:00:27.400]  今天這篇道對我來說是毫無意義
[00:00:27.400 --> 00:00:31.880]  但是今天所講的都是有關同神的關係
[00:00:31.880 --> 00:00:33.600]  或者是待人接物
[00:00:33.600 --> 00:00:36.080]  所以每個人都應該得益
[00:00:36.080 --> 00:00:38.160]  而且在11月
[00:00:38.160 --> 00:00:41.480]  我們知道美國就會有總統的大選
[00:00:41.480 --> 00:00:43.480]  這一篇的道就是教我們
[00:00:43.480 --> 00:00:48.200]  怎樣能夠選出一個合神深意的美國總統
[00:00:48.200 --> 00:00:49.680]  一個好的領袖
[00:00:49.680 --> 00:00:53.240]  所以這一篇道是非常非常重要
[00:00:53.240 --> 00:00:57.480]  我們說針賢裡面的君王
[00:00:57.480 --> 00:01:01.920]  其實和現在現代的領袖是有很大的分別
[00:01:01.920 --> 00:01:06.040]  但是針賢裡面所給君王的勸告
[00:01:06.040 --> 00:01:09.440]  都是很適合今時今日的領袖
[00:01:09.440 --> 00:01:13.960]  今天的經文是記載在針賢的29章第二節
[00:01:13.960 --> 00:01:17.040]  說二人爭多 民就起落
[00:01:17.040 --> 00:01:20.040]  惡人掌權 民就嘆息
[00:01:20.040 --> 00:01:22.520]  如果是有好領袖的時候
[00:01:22.520 --> 00:01:24.480]  人民就會歡喜快樂
[00:01:24.480 --> 00:01:27.240]  但是如果領袖是不好的時候
[00:01:27.240 --> 00:01:30.440]  人民就會悲傷嘆息
[00:01:30.440 --> 00:01:36.920]  今天會和大家講四點是有關領導的智慧
[00:01:36.920 --> 00:01:41.240]  第一點要講的是領導的質素
[00:01:41.240 --> 00:01:44.000]  你說領袖的質素不重要
[00:01:44.000 --> 00:01:48.680]  最重要是懂得做事 懂得帶領人這樣就可以了
[00:01:48.680 --> 00:01:51.920]  但是這個不是針賢裡面所講的
[00:01:51.920 --> 00:01:55.120]  如果是這樣 針賢裡面就不會有這麼多
[00:01:55.120 --> 00:01:59.120]  關於領袖的質素的這些教導
[00:01:59.120 --> 00:02:02.800]  如果神話重要 我們說不重要
[00:02:02.800 --> 00:02:04.320]  那究竟還不重要?
[00:02:04.320 --> 00:02:07.800]  當然是重要 因為神話是重要的
[00:02:07.800 --> 00:02:12.440]  另外有個例子 就是如果有架飛機是飛得
[00:02:12.440 --> 00:02:16.280]  你說領袖只需要做事就可以了 懂得帶領
[00:02:16.280 --> 00:02:17.960]  這架飛機飛得
[00:02:17.960 --> 00:02:21.360]  但是它裡面的零件都是不合標準的
[00:02:21.360 --> 00:02:25.800]  你夠不夠膽去坐這架飛機飛去香港呢?
[00:02:25.800 --> 00:02:27.480]  我相信你不會了
[00:02:27.480 --> 00:02:34.960]  同樣一個領袖 如果他的質素有問題的話
[00:02:34.960 --> 00:02:38.880]  他是不適合做一個領袖
[00:02:38.880 --> 00:02:43.160]  中國人說上梁不正 下梁歪
[00:02:43.160 --> 00:02:46.320]  其實西人都有很相同的針賢
[00:02:46.320 --> 00:02:51.480]  說黃金都生鏽了 做鐵的怎麼辦呢?
[00:02:51.480 --> 00:02:56.320]  黃金就是做領袖的 金應該不會生鏽
[00:02:56.320 --> 00:03:00.520]  但是如果連黃金都生鏽 做鐵的就更加不用說
[00:03:00.520 --> 00:03:05.160]  所以一個領袖的這個質素是非常非常重要
[00:03:05.160 --> 00:03:10.680]  第二點我們要講的是神所容許的領袖
[00:03:10.680 --> 00:03:16.440]  如果我們不照著神的意思去選舉我們的領袖
[00:03:16.440 --> 00:03:20.000]  選出來的領袖很多時候神是會容許的
[00:03:20.000 --> 00:03:22.960]  但是也都會有嚴重的後果
[00:03:22.960 --> 00:03:24.880]  這個就是第三點
[00:03:24.880 --> 00:03:28.880]  神會預先告訴我們後果是什麼
[00:03:28.880 --> 00:03:35.400]  然後最後不用怕 因為神依然都是掌權
[00:03:35.400 --> 00:03:41.120]  我們一起來看看屬靈領袖的質素 一共有六點
[00:03:41.120 --> 00:03:43.800]  第一點就是這個屬靈的領袖
[00:03:43.800 --> 00:03:48.080]  一定要知道自己權並和力量的來源
[00:03:48.080 --> 00:03:51.200]  在《珍言》的八章十五至十六節
[00:03:51.200 --> 00:03:55.920]  「惑帝王席我坐國位 君王席我定公平
[00:03:55.920 --> 00:04:02.560]  王子和首領世上一切的審判官 都視席我掌權
[00:04:02.560 --> 00:04:11.200]  一切的任何的領袖都是由神來給他們掌權
[00:04:11.200 --> 00:04:14.640]  而一個屬靈的領袖應該要知道這一點
[00:04:14.640 --> 00:04:17.240]  《珍言》二十一章一節
[00:04:17.240 --> 00:04:21.600]  王的心在耶和華的手中很像龍溝的水
[00:04:21.600 --> 00:04:26.440]  隨意流轉 一個屬神的屬靈的領袖
[00:04:26.440 --> 00:04:30.680]  他會知道自己是應該被神來帶領
[00:04:30.680 --> 00:04:34.240]  就像一個龍溝在龍田裡
[00:04:34.240 --> 00:04:37.400]  喜歡把水流到哪裡就流到哪裡
[00:04:37.400 --> 00:04:39.000]  一個屬靈的領袖也是一樣
[00:04:39.000 --> 00:04:43.280]  他的心是願意被神來帶領
[00:04:43.280 --> 00:04:48.200]  有一個例子就是巴比倫王尼布格尼撒
[00:04:48.200 --> 00:04:52.600]  我們看到他有一天在皇宮裡面看出去
[00:04:52.600 --> 00:04:55.640]  他說我的國家大巴比倫
[00:04:55.640 --> 00:04:59.000]  不是我用大能大力來建造的嗎?
[00:04:59.000 --> 00:05:03.120]  他說是要顯示我的威嚴和我的能力
[00:05:03.120 --> 00:05:06.360]  他說口未圓就變成了一隻野獸
[00:05:06.360 --> 00:05:08.840]  好像牛一樣在那裡吃草
[00:05:08.840 --> 00:05:12.200]  神說要等七年讓你知道
[00:05:12.200 --> 00:05:15.000]  至高者在人的國中掌權
[00:05:15.000 --> 00:05:18.320]  要將國以給誰就此給誰
[00:05:18.320 --> 00:05:22.280]  神說我要給你七年來吃草如牛
[00:05:22.280 --> 00:05:26.040]  讓你知道究竟是誰給你掌權
[00:05:26.040 --> 00:05:30.280]  七年之後尼布格尼撒是恢復他的理性
[00:05:30.280 --> 00:05:33.600]  他在《達爾里書》的四章37節
[00:05:33.600 --> 00:05:34.720]  他怎麼說呢?
[00:05:34.720 --> 00:05:37.240]  他說現在我尼布格尼撒
[00:05:37.240 --> 00:05:41.600]  讚美尊崇恭敬天上的王
[00:05:41.600 --> 00:05:44.800]  因為他所作的全都誠實
[00:05:44.800 --> 00:05:47.520]  他所行的也都公平
[00:05:47.520 --> 00:05:51.640]  那行動驕傲的也能降為卑
[00:05:51.640 --> 00:05:55.160]  這個尼布格尼撒終於回復理性
[00:05:55.160 --> 00:05:59.440]  知道是誰給他掌權
[00:05:59.440 --> 00:06:03.000]  前兩天William底卿寄了一個
[00:06:03.000 --> 00:06:08.880]  是美國國務卿Mike Pompeo的一個短片給我們
[00:06:08.880 --> 00:06:15.800]  這個短片提及到他以前在選國會議員的時候
[00:06:15.800 --> 00:06:19.320]  曾經有一個記者走來訪問他
[00:06:19.320 --> 00:06:24.040]  他說Pompeo我知道你是一個很大信心的人
[00:06:24.040 --> 00:06:27.080]  你的信仰對你來說是很重要的
[00:06:27.080 --> 00:06:32.400]  他說但是你怎麼能夠將你的信仰和公視來分開
[00:06:32.400 --> 00:06:35.640]  為什麼要分開信仰和公視呢?
[00:06:35.640 --> 00:06:39.080]  因為美國是很著重政教分離
[00:06:39.080 --> 00:06:42.280]  政治和宗教的分離
[00:06:42.280 --> 00:06:45.440]  Pompeo回答他說我不會意圖
[00:06:45.440 --> 00:06:49.680]  我不會嘗試去分開我的信仰和公視
[00:06:49.680 --> 00:06:51.400]  他說我看每一件事
[00:06:51.400 --> 00:06:55.680]  都是透過我信仰的鏈鏡來看任何事
