
[00:00:00.000 --> 00:00:05.560]  我們今天來到舊約獨人傳第七
[00:00:05.560 --> 00:00:09.740]  集中思考薩姆爾與以利的
[00:00:09.740 --> 00:00:12.600]  可以說是一個師徒的關係
[00:00:12.600 --> 00:00:14.600]  上次我分享的時候
[00:00:14.600 --> 00:00:18.600]  也有說過教育小朋友有些原則
[00:00:18.600 --> 00:00:22.480]  其中有一個可能你們聽完後有少許不同意
[00:00:22.480 --> 00:00:28.800]  就是有些東西是不可以讓他選擇的
[00:00:28.800 --> 00:00:30.800]  譬如說吃藥
[00:00:30.800 --> 00:00:32.200]  很多人都覺得
[00:00:32.200 --> 00:00:35.800]  吃藥沒理由讓他選擇吃藥還是喝汽水
[00:00:35.800 --> 00:00:40.800]  因為可能他的思考沒有能力去分析藥的好處
[00:00:40.800 --> 00:00:43.800]  和可樂的壞處
[00:00:43.800 --> 00:00:45.800]  但今天很想跟大家說
[00:00:45.800 --> 00:00:48.300]  當你的小朋友長大了
[00:00:48.300 --> 00:00:52.300]  在座和上面都有很多小朋友
[00:00:52.300 --> 00:00:54.800]  很多人也教導過小朋友
[00:00:54.800 --> 00:00:56.800]  就是到了長大的時候
[00:00:56.800 --> 00:00:58.800]  你開始要讓他選擇
[00:00:58.800 --> 00:01:00.800]  不知道你有沒有試過
[00:01:00.800 --> 00:01:03.800]  你的兒子或女兒無論如何都要選擇那件事
[00:01:03.800 --> 00:01:07.800]  但你明知道那件事對他不好
[00:01:07.800 --> 00:01:10.300]  但你也沒有辜負要讓他選擇
[00:01:10.300 --> 00:01:11.800]  有沒有試過?
[00:01:11.800 --> 00:01:14.300]  有吧?很多人點頭了
[00:01:14.300 --> 00:01:16.300]  譬如說選大學
[00:01:16.300 --> 00:01:18.800]  當你的兒女讀大學的時候
[00:01:18.800 --> 00:01:21.300]  他不知道有沒有問你意見
[00:01:21.300 --> 00:01:23.300]  但可能當你問他意見的時候
[00:01:23.300 --> 00:01:25.300]  你又分析了一些東西給他
[00:01:25.300 --> 00:01:27.300]  不要這樣選擇
[00:01:27.300 --> 00:01:29.300]  誰知道他說:我是要
[00:01:29.300 --> 00:01:31.300]  我是要選完之後
[00:01:31.300 --> 00:01:33.300]  誰知道讀完也不夠一半
[00:01:33.300 --> 00:01:35.300]  就說:也不適合我
[00:01:35.300 --> 00:01:37.300]  我讀完今年就不讀了
[00:01:37.300 --> 00:01:38.800]  來到加拿大
[00:01:38.800 --> 00:01:40.300]  無論是溫哥華還是多倫多
[00:01:40.300 --> 00:01:42.300]  我都認識了很多這些年輕人
[00:01:42.300 --> 00:01:45.300]  讀多久都不想畢業
[00:01:45.300 --> 00:01:48.300]  因為他覺得無所謂
[00:01:48.300 --> 00:01:50.300]  你覺得很有所謂
[00:01:50.300 --> 00:01:52.300]  因為你們是集體負責制
[00:01:52.300 --> 00:01:54.300]  他浪費了一年的青春
[00:01:54.300 --> 00:01:57.300]  你又可能浪費了一年的金錢
[00:01:57.300 --> 00:01:59.300]  今天很想分享
[00:01:59.300 --> 00:02:03.300]  上帝也曾經面對差不多的情況
[00:02:03.300 --> 00:02:05.300]  就是他的子女
[00:02:05.300 --> 00:02:06.300]  即是他的子民
[00:02:06.300 --> 00:02:08.300]  擺明要選擇一些東西
[00:02:08.300 --> 00:02:09.300]  是上帝已經告訴他們
[00:02:09.300 --> 00:02:11.300]  這樣選擇是不好的
[00:02:11.300 --> 00:02:13.300]  誰知道他們說:我是要
[00:02:13.300 --> 00:02:16.300]  但上帝那一刻都沒有辜負
