
[00:00:00.000 --> 00:00:08.880]  各位網友,我們今天一齊思想耶穌的禱告生活
[00:00:08.880 --> 00:00:15.080]  如果你們一直有傳福堂,我們一齊來敬拜的話
[00:00:15.080 --> 00:00:22.600]  你會記得上一次我和大家講到耶穌基督的比喻裡面的天國奧秘
[00:00:22.600 --> 00:00:29.080]  我們很希望用幾次的時間一齊來跟從主耶穌的腳踪
[00:00:29.080 --> 00:00:35.200]  主耶穌的腳踪,當天祂有說過的話,祂也有做過的事
[00:00:35.200 --> 00:00:39.000]  我們上一次就和大家講到祂用的比喻
[00:00:39.000 --> 00:00:41.840]  可能大家如果有記得,你也會記得
[00:00:41.840 --> 00:00:46.360]  主耶穌的比喻裡面有很精彩、很深刻的驚奇
[00:00:46.360 --> 00:00:49.880]  讓我們明白天國有很多令我們驚訝的地方
[00:00:49.880 --> 00:00:53.080]  但是有很深刻的真理在裡面
[00:00:53.080 --> 00:00:56.840]  天國有一種不可思議的爆炸性,記得嗎?
[00:00:56.840 --> 00:00:59.760]  天國有一種混合性
[00:00:59.760 --> 00:01:06.920]  神的大能和人的軟弱,甚至罪惡是並存在這個現實的世界裡面
[00:01:06.920 --> 00:01:13.720]  直到等到耶穌基督的再來,才能夠完全的去解決
[00:01:13.720 --> 00:01:20.280]  天國還有不同的拉力,讓我們心裡面有些向神的渴慕的力量
[00:01:20.280 --> 00:01:25.960]  我們心裡面也有一些讓我們離開神的抗拒的力量
[00:01:25.960 --> 00:01:29.040]  在這些不同的拉力的制衡當中
[00:01:29.040 --> 00:01:31.840]  我們的屬靈生命才可以慢慢成長
[00:01:31.840 --> 00:01:34.760]  如果你不記得講過些什麼,或者你說
[00:01:34.760 --> 00:01:38.920]  這樣的?那你就聽回那次的錄音,也可以的
[00:01:38.920 --> 00:01:45.960]  不過今天我們轉一下由耶穌基督所講過的精彩的說話
[00:01:45.960 --> 00:01:51.400]  我們來看看耶穌基督的一些行動
[00:01:51.400 --> 00:01:55.000]  祂的生活、祂所做過的事
[00:01:55.000 --> 00:01:57.960]  今天我們特別集中在一個課題
[00:01:57.960 --> 00:02:00.840]  剛才讀了幾節聖經,你也會知道了
[00:02:00.840 --> 00:02:06.000]  會感受到我們的主耶穌當日是一個禱告的生活
[00:02:06.000 --> 00:02:07.640]  但究竟是怎麼樣的呢?
[00:02:07.640 --> 00:02:10.480]  你說這個很普通的,我經常都聽的
[00:02:10.480 --> 00:02:14.200]  我希望今天和大家進入一個更加深的層次裡面
[00:02:14.200 --> 00:02:17.840]  去理解我們主耶穌的禱告生活
[00:02:17.840 --> 00:02:19.440]  我想將它分為兩部分
[00:02:19.440 --> 00:02:23.760]  第一就是耶穌禱告的那種律則
[00:02:23.760 --> 00:02:25.480]  就是祂什麼時候祈禱的呢?
[00:02:25.480 --> 00:02:27.720]  在什麼情況之下祈禱的呢?
[00:02:27.720 --> 00:02:30.280]  為什麼祂會這樣呢?這是第一部分
[00:02:30.280 --> 00:02:35.080]  第二部分就是我們嘗試進入耶穌的祈禱的內容裡面
[00:02:35.080 --> 00:02:39.040]  我們一起看看耶穌的祈禱祈什麼
[00:02:39.040 --> 00:02:43.040]  這兩樣我相信都成為我們很重要的
[00:02:43.040 --> 00:02:47.840]  學習的、跟隨祂的一些資料
[00:02:47.840 --> 00:02:49.360]  好了,我們不要浪費時間
[00:02:49.360 --> 00:02:53.520]  我們就正式進入耶穌禱告生活的律則
[00:02:53.520 --> 00:02:56.880]  祂的規律究竟是怎麼樣的呢?
[00:02:56.880 --> 00:02:59.160]  那麼
[00:02:59.160 --> 00:03:00.960]  剛才我們所讀的聖經
[00:03:00.960 --> 00:03:05.320]  因為很短,只是說到耶穌祈禱那一句
[00:03:05.320 --> 00:03:07.920]  就沒有說到祂的前文後理
[00:03:07.920 --> 00:03:10.480]  其實你看聖經,你一路讀下去的時候
[00:03:10.480 --> 00:03:11.960]  你留意到
[00:03:11.960 --> 00:03:17.160]  你就看到原來耶穌的祈禱有一些的規律
[00:03:17.160 --> 00:03:18.680]  什麼規律呢?
[00:03:18.680 --> 00:03:26.760]  尤其是當耶穌特別是受人注意和重視的時候
[00:03:26.760 --> 00:03:30.840]  祂就特別多去祈禱
[00:03:30.840 --> 00:03:32.680]  這個不只是剛才那幾節
[00:03:32.680 --> 00:03:35.840]  還有很多其他的經文
[00:03:35.840 --> 00:03:37.320]  譬如我剛才讀的時候
[00:03:37.320 --> 00:03:39.840]  我們看到的馬可福音的第一章
[00:03:39.840 --> 00:03:43.360]  馬可福音的第一章可以說是耶穌開始
[00:03:43.360 --> 00:03:46.480]  用現代的說法開始竄紅了
[00:03:46.480 --> 00:03:49.920]  耶穌基督說這個世間其實時間很短
[00:03:49.920 --> 00:03:54.040]  公開的侍奉只有三年的時間
[00:03:54.040 --> 00:03:55.960]  所以祂要很把握時間
[00:03:55.960 --> 00:03:58.560]  當然我們看到聖經記載
[00:03:58.560 --> 00:04:00.280]  耶穌一出來開始說
[00:04:00.280 --> 00:04:02.280]  天國近了,祂傳福音
[00:04:02.280 --> 00:04:07.160]  然後很快就吸引了很多人開始去留意祂
[00:04:07.160 --> 00:04:08.600]  並且跟隨祂
[00:04:08.600 --> 00:04:09.680]  很受歡迎
[00:04:09.680 --> 00:04:10.760]  為什麼呢?
[00:04:10.760 --> 00:04:14.520]  當然耶穌的說法肯定是很有魅力
[00:04:14.520 --> 00:04:16.160]  一聽的時候大家都知道
[00:04:16.160 --> 00:04:17.800]  這個人所說的
[00:04:17.800 --> 00:04:20.240]  跟他們一直聽的民事、法理、賽人
[00:04:20.240 --> 00:04:22.720]  那些宗教領袖說的完全不同
[00:04:22.720 --> 00:04:25.400]  還有當然更加重要的
[00:04:25.400 --> 00:04:29.920]  就是耶穌基督不單止能夠講道並且可以行神蹟
[00:04:29.920 --> 00:04:31.320]  祂醫病
[00:04:31.320 --> 00:04:32.680]  祂趕鬼
[00:04:32.680 --> 00:04:34.480]  這幾件事很快
[00:04:34.480 --> 00:04:36.680]  很早期一開始的時候
[00:04:36.680 --> 00:04:39.360]  聖經說祂受人注目
[00:04:39.360 --> 00:04:40.800]  受人重視
[00:04:40.800 --> 00:04:43.360]  並且很多人要來找祂
[00:04:43.360 --> 00:04:47.600]  《馬克福音》的大綱裡面也引用了聖經
[00:04:47.600 --> 00:04:50.440]  第一章說到黃昏有人
[00:04:50.440 --> 00:04:52.440]  你留意這些字眼
[00:04:52.440 --> 00:04:56.200]  聖經用的字眼是一種很強烈的字眼
[00:04:56.200 --> 00:04:57.960]  重複了幾次
