
[00:00:00.000 --> 00:00:04.500]  各位大姐姐妹你好
[00:00:04.500 --> 00:00:05.800]  各位朋友你好
[00:00:05.800 --> 00:00:09.800]  歡迎大家參加我們三藩市博物會的網上崇拜
[00:00:09.800 --> 00:00:12.000]  從這個星期開始
[00:00:12.000 --> 00:00:15.000]  我會和大家思想啟示錄的訊息
[00:00:15.000 --> 00:00:17.000]  今天是第一講
[00:00:17.000 --> 00:00:20.300]  題目是「末世中的自語聯」
[00:00:20.300 --> 00:00:23.800]  我們是思想經文啟示錄第一章
[00:00:23.800 --> 00:00:25.800]  第一節至第八節
[00:00:25.800 --> 00:00:30.800]  在2019年台灣大選之前
[00:00:30.800 --> 00:00:35.800]  台灣人用了一個亂字來形容過去一年所發生的大事
[00:00:35.800 --> 00:00:37.800]  無論是中美貿易戰
[00:00:37.800 --> 00:00:39.800]  香港送中運動
[00:00:39.800 --> 00:00:45.800]  或者是由2019年至2020年所發生的新冠狀病毒
[00:00:45.800 --> 00:00:50.800]  這個冠狀病毒令到有300萬人染上了這個病
[00:00:50.800 --> 00:00:54.800]  幾乎達到30萬人死亡
[00:00:54.800 --> 00:00:58.800]  真的把我們這個世界打到七零八落
[00:00:58.800 --> 00:01:03.800]  所謂亂是指我們現在所擁有的常規
[00:01:03.800 --> 00:01:08.800]  無論在政制上、經濟上、醫療體系上、國際關係上
[00:01:08.800 --> 00:01:10.800]  都完全打破了
[00:01:10.800 --> 00:01:12.800]  在這個亂局當中
[00:01:12.800 --> 00:01:19.800]  不單止是限於疫症期間我們受到極大的損害
[00:01:19.800 --> 00:01:22.800]  我相信疫症過了之後
[00:01:22.800 --> 00:01:25.800]  這個亂局仍會繼續
[00:01:25.800 --> 00:01:29.800]  疫症始終會有終止的一天
[00:01:29.800 --> 00:01:33.800]  但是我們現在所擁有的世界秩序
[00:01:33.800 --> 00:01:37.800]  似乎已經受到極大的破壞和衝擊
[00:01:37.800 --> 00:01:39.800]  沒有辦法可以恢復
[00:01:39.800 --> 00:01:43.800]  在1989年至1990年之間
[00:01:43.800 --> 00:01:45.800]  柏林圍牆倒塌
[00:01:45.800 --> 00:01:48.800]  東西德邊境重開
[00:01:48.800 --> 00:01:53.800]  東歐的共產國家一個一個像骨牌一樣倒塌下來
[00:01:53.800 --> 00:01:55.800]  1991年老大哥蘇聯解體
[00:01:55.800 --> 00:01:58.800]  不少地區脫離紅色系統
[00:01:58.800 --> 00:02:01.800]  紛紛動盪成為共和國體制
[00:02:01.800 --> 00:02:05.800]  鐵幕國家忽然衝來死去
[00:02:05.800 --> 00:02:07.800]  冷戰宣告結束
[00:02:07.800 --> 00:02:10.800]  好像來得這麼快和突然
[00:02:10.800 --> 00:02:13.800]  隨後是一個什麼世界呢?
[00:02:13.800 --> 00:02:15.800]  著名的美國記者Thomas Freeman
