
[00:00:00.000 --> 00:00:04.000]  由我們知道舊病復發那天開始
[00:00:04.000 --> 00:00:10.000]  我們的心就時時都在絕望和無助的漩渦裏面
[00:00:10.000 --> 00:00:13.000]  越轉越深
[00:00:13.000 --> 00:00:15.000]  回到醫院
[00:00:15.000 --> 00:00:19.000]  醫生就是我們唯一能夠對付病魔的人
[00:00:19.000 --> 00:00:22.000]  所以他的眼神
[00:00:22.000 --> 00:00:24.000]  和他的眼神
[00:00:24.000 --> 00:00:27.000]  是我們最好的證據
[00:00:27.000 --> 00:00:31.000]  所以他的眼神和言語
[00:00:31.000 --> 00:00:34.000]  甚至他穿的白袍
[00:00:34.000 --> 00:00:39.000]  都好像帶有一種說不出來的權柄
[00:00:39.000 --> 00:00:41.000]  很多病人
[00:00:41.000 --> 00:00:45.000]  真的對醫生敬若神明
[00:00:45.000 --> 00:00:49.000]  甚至我們明知他有些地方
[00:00:49.000 --> 00:00:51.000]  是看錯了
[00:00:51.000 --> 00:00:53.000]  或是解錯了
[00:00:53.000 --> 00:00:55.000]  我們都不敢出聲
[00:00:55.000 --> 00:00:58.000]  這種態度
[00:00:58.000 --> 00:01:02.000]  對自己的病有沒有幫助呢?
[00:01:02.000 --> 00:01:08.000]  醫生他自己又會怎樣看我們這樣對他呢?
[00:01:08.000 --> 00:01:14.000]  他有沒有期待病人對他是千依百順呢?
[00:01:14.000 --> 00:01:19.000]  在這種近乎迷信的心理
[00:01:19.000 --> 00:01:24.000]  很多時候病人就等於放棄了他自己的權益
[00:01:24.000 --> 00:01:28.000]  有一個很有名的癌病醫生
[00:01:28.000 --> 00:01:32.000]  他代表病人寫了一封信
[00:01:32.000 --> 00:01:38.000]  他和病人列出了一張病人權益的清單
[00:01:38.000 --> 00:01:40.000]  是給醫生看的
[00:01:40.000 --> 00:01:46.000]  事實上也可以用來提醒每一個病人
[00:01:46.000 --> 00:01:49.000]  他應該要爭取的權益
[00:01:49.000 --> 00:01:53.000]  所以是非常有意思的
[00:01:53.000 --> 00:01:56.000]  值得我們好好去想一想
[00:01:56.000 --> 00:02:00.000]  
[00:02:01.000 --> 00:02:04.000]  詩篇91篇
[00:02:04.000 --> 00:02:07.000]  住在至高者隱密處的
[00:02:07.000 --> 00:02:11.000]  必住在全能者的任下
[00:02:11.000 --> 00:02:14.000]  我要論道耶和華說
[00:02:14.000 --> 00:02:16.000]  祂是我的避難所
[00:02:16.000 --> 00:02:18.000]  是我的山寨
