
[00:00:00.000 --> 00:00:07.000]  我們今天看一本書信叫做《肥理門書》
[00:00:07.000 --> 00:00:09.000]  如果你是認識聖經的時候
[00:00:09.000 --> 00:00:15.000]  你會發覺《肥理門書》是最短的其中一本書信
[00:00:15.000 --> 00:00:18.000]  我們看保羅書信的時候
[00:00:18.000 --> 00:00:22.000]  我們經常會想為什麼保羅書信會這樣編排
[00:00:22.000 --> 00:00:25.000]  其實保羅書信編排的次序
[00:00:25.000 --> 00:00:29.000]  基本上是根據長短的次序
[00:00:29.000 --> 00:00:33.000]  所以不是說重要性是根據長短
[00:00:33.000 --> 00:00:35.000]  所以羅馬書是第一本
[00:00:35.000 --> 00:00:37.000]  然後一直到最短的一本
[00:00:37.000 --> 00:00:40.000]  但最後那四本有些不同
[00:00:40.000 --> 00:00:43.000]  提摩太前書、提摩太後書、提多書和肥理門書
[00:00:43.000 --> 00:00:47.000]  是被稱為個人書信
[00:00:47.000 --> 00:00:49.000]  所以如果說長短
[00:00:49.000 --> 00:00:52.000]  肥理門是最短的一本保羅書信
[00:00:52.000 --> 00:00:53.000]  說地位
[00:00:53.000 --> 00:00:58.000]  肥理門是地位最少的一本保羅書信
[00:00:58.000 --> 00:01:00.000]  因為說地位的時候
[00:01:00.000 --> 00:01:02.000]  保羅書信是一本個人書信
[00:01:02.000 --> 00:01:05.000]  說長短的時候是一本最短的書信
[00:01:05.000 --> 00:01:07.000]  所以很多人看的時候都覺得
[00:01:07.000 --> 00:01:11.000]  肥理門書沒有什麼值得再想的事情
[00:01:11.000 --> 00:01:14.000]  所以我們這個星期會開始看肥理門書
[00:01:14.000 --> 00:01:16.000]  下一個星期我們會繼續看肥理門書
[00:01:16.000 --> 00:01:20.000]  我們用兩個星期去看這本比較短的書信
[00:01:20.000 --> 00:01:23.000]  很多人覺得這本書信沒有重要價值
[00:01:23.000 --> 00:01:30.000]  最近有一本書提及保羅的一些思想
[00:01:30.000 --> 00:01:34.000]  這套書是逐本的保羅書信去討論
[00:01:34.000 --> 00:01:36.000]  羅馬書開始一直討論
[00:01:36.000 --> 00:01:40.000]  其中一本去到討論肥理門書和其他幾本書信
[00:01:40.000 --> 00:01:43.000]  特別是貼前、貼後和肥理門書
[00:01:43.000 --> 00:01:45.000]  討論的時候在題目寫明
[00:01:45.000 --> 00:01:48.000]  這本書會討論貼前、貼後、肥理門書等等
[00:01:48.000 --> 00:01:51.000]  但打開書本的目錄的時候
[00:01:51.000 --> 00:01:55.000]  發覺作者偏偏沒有討論肥理門書
[00:01:55.000 --> 00:01:57.000]  因為覺得肥理門書沒有什麼好討論
[00:01:57.000 --> 00:01:59.000]  沒有特別的重要性
[00:01:59.000 --> 00:02:01.000]  所以封面為了完整的研究
[00:02:01.000 --> 00:02:02.000]  提一提肥理門書
[00:02:02.000 --> 00:02:04.000]  但內容就完全沒有提及
[00:02:04.000 --> 00:02:07.000]  我們對肥理門書都有這樣的感覺
[00:02:07.000 --> 00:02:10.000]  是一本最不重要的經文
[00:02:10.000 --> 00:02:13.000]  看的時候可能和奴隸有些關係
[00:02:13.000 --> 00:02:15.000]  但今天我們已經沒有所謂奴隸制度
[00:02:15.000 --> 00:02:17.000]  所以這本書和我們關係不大
[00:02:17.000 --> 00:02:19.000]  所以這本書是一本個人的書信
[00:02:19.000 --> 00:02:20.000]  是一本短的書信
[00:02:20.000 --> 00:02:22.000]  好像不是很重要的書信
[00:02:22.000 --> 00:02:24.000]  所以今天我們用一點時間去想想
[00:02:24.000 --> 00:02:26.000]  究竟這本書信是說什麼的
[00:02:26.000 --> 00:02:29.000]  究竟肥理門書的背景是什麼
[00:02:29.000 --> 00:02:34.000]  我們下次會再看多一點應用的價值
[00:02:34.000 --> 00:02:36.000]  首先我們處理一個問題
[00:02:36.000 --> 00:02:38.000]  這本是不是一本個人書信
[00:02:38.000 --> 00:02:42.000]  是不是一本寫給私人的書信
[00:02:42.000 --> 00:02:45.000]  是不是一本寫給朋友的書信
[00:02:45.000 --> 00:02:47.000]  和價位有什麼關係
[00:02:47.000 --> 00:02:48.000]  所以我開始的時候
[00:02:48.000 --> 00:02:50.000]  我看第一節
[00:02:50.000 --> 00:02:51.000]  肥理門書第一節
[00:02:51.000 --> 00:02:53.000]  因為書卷是沒有分章節的
[00:02:53.000 --> 00:02:55.000]  在肥理門書裏面只有一章
[00:02:55.000 --> 00:02:56.000]  所以我不需要講章節
[00:02:56.000 --> 00:02:57.000]  只需要講節
[00:02:57.000 --> 00:03:00.000]  所以肥理門書第一節開始
[00:03:00.000 --> 00:03:02.000]  由第一節開始就發覺
[00:03:02.000 --> 00:03:04.000]  肥理門書開始的時候
[00:03:04.000 --> 00:03:08.000]  保羅都不只是講私人的問題
[00:03:08.000 --> 00:03:09.000]  所開始的時候
[00:03:09.000 --> 00:03:12.000]  為基督耶穌被囚的保羅
[00:03:12.000 --> 00:03:14.000]  和兄弟提摩泰
[00:03:14.000 --> 00:03:17.000]  寫信給我們所親愛的同胞肥理門
[00:03:17.000 --> 00:03:19.000]  和妹子阿非亞
[00:03:19.000 --> 00:03:22.000]  和我們一起當兵的阿基保
[00:03:22.000 --> 00:03:24.000]  一開始令我們驚訝的地方就是
[00:03:24.000 --> 00:03:28.000]  原來肥理門書不是保羅寫給肥理門那麼簡單
[00:03:28.000 --> 00:03:31.000]  而是保羅和他的同胞
[00:03:31.000 --> 00:03:33.000]  寫給另外一個同胞叫肥理門
[00:03:33.000 --> 00:03:35.000]  和肥理門的其他同胞
[00:03:35.000 --> 00:03:39.000]  所以基本上是一班同胞寫給另一班同胞的人
[00:03:39.000 --> 00:03:41.000]  的一封書信
[00:03:41.000 --> 00:03:43.000]  不單止是人寫給人
[00:03:43.000 --> 00:03:48.000]  還講到使徒寫給教會和第二節天理的時候
[00:03:48.000 --> 00:03:52.000]  以及你整個家庭聚會的教會
[00:03:52.000 --> 00:03:55.000]  所以看的第一個印象是發覺
[00:03:55.000 --> 00:03:59.000]  這本不是普通的個人書信那麼簡單
[00:03:59.000 --> 00:04:02.000]  這是寫給教會的
[00:04:02.000 --> 00:04:07.000]  不只是關乎一個人家庭私生活的事情
[00:04:07.000 --> 00:04:12.000]  是使徒寫給教會一封公開的書信
[00:04:12.000 --> 00:04:15.000]  在書信的天理的時候
[00:04:15.000 --> 00:04:17.000]  我們再看到這種感覺
[00:04:17.000 --> 00:04:21.000]  再看看23節最後問安的話
[00:04:21.000 --> 00:04:27.000]  23節為基督耶穌與我同坐監的爾巴弗問利安
[00:04:27.000 --> 00:04:30.000]  和我們同工馬可等等
[00:04:30.000 --> 00:04:32.000]  去勞加雅問利安
[00:04:32.000 --> 00:04:35.000]  所以這裡多個問安的話
[00:04:35.000 --> 00:04:38.000]  再次講明這個不是一個個人書信
