
[00:00:00.000 --> 00:00:02.360]  今次我們一起在聖經的記載
[00:00:02.360 --> 00:00:04.560]  和神的話語裏面
[00:00:04.560 --> 00:00:07.800]  來思想神給我們的真理和訊息
[00:00:07.800 --> 00:00:10.560]  那段經文就是剛才大家讀完的
[00:00:10.560 --> 00:00:12.800]  所以你不要蓋上聖經
[00:00:12.800 --> 00:00:15.600]  打開剛才我們所讀的那段聖經
[00:00:15.600 --> 00:00:17.600]  《士徒行傳》第十四章
[00:00:17.600 --> 00:00:19.400]  《士徒行傳》第十四章
[00:00:19.400 --> 00:00:21.000]  如果是唐用聖經的話
[00:00:21.000 --> 00:00:25.400]  是1656頁
[00:00:25.400 --> 00:00:27.000]  1656頁
[00:00:27.000 --> 00:00:28.400]  大家打開聖經
[00:00:28.400 --> 00:00:30.800]  我們看著聖經來思想神
[00:00:30.800 --> 00:00:33.600]  要我們在這裏認識一些什麼
[00:00:33.600 --> 00:00:38.200]  《士徒行傳》這裏所記載的
[00:00:38.200 --> 00:00:42.200]  就是保羅在第一次向外邦人
[00:00:42.200 --> 00:00:44.400]  就是希臘羅馬世界
[00:00:44.400 --> 00:00:46.400]  傳福音的旅程裏面
[00:00:46.400 --> 00:00:49.400]  第一次差不多最後結束了
[00:00:49.400 --> 00:00:50.400]  最後結束了
[00:00:50.400 --> 00:00:51.600]  第十五章開始
[00:00:51.600 --> 00:00:54.400]  就說他開始醞釀第二次的
[00:00:54.400 --> 00:00:56.000]  傳福音的旅程
[00:00:56.000 --> 00:00:57.400]  剛才讀的時候
[00:00:57.400 --> 00:00:59.000]  我相信大家都已經知道
[00:00:59.000 --> 00:01:02.400]  發生了一些事情
[00:01:02.400 --> 00:01:06.200]  這幾個城市
[00:01:06.200 --> 00:01:08.400]  以哥廉路斯德
[00:01:08.400 --> 00:01:10.400]  特比這幾個城市
[00:01:10.400 --> 00:01:11.800]  如果你看回地圖
[00:01:11.800 --> 00:01:15.000]  就知道只有今天的小亞細亞
[00:01:15.000 --> 00:01:19.200]  或者是土耳其的中部幾個城市
[00:01:19.200 --> 00:01:20.800]  不是離開太遠的
[00:01:20.800 --> 00:01:22.800]  走路也可以到
[00:01:22.800 --> 00:01:27.200]  這幾個城市都是當時保羅特別在那裏
[00:01:27.200 --> 00:01:29.400]  去做傳福音工作的地方
[00:01:29.400 --> 00:01:30.800]  好,交代了一些背景
[00:01:30.800 --> 00:01:32.600]  還有一些背景要交代的
[00:01:32.600 --> 00:01:34.200]  我相信剛才讀的時候
[00:01:34.200 --> 00:01:36.800]  有些弟兄姐妹就不太明白
[00:01:36.800 --> 00:01:38.600]  因為保羅在那件事上
[00:01:38.600 --> 00:01:39.600]  第八節告訴我們
[00:01:39.600 --> 00:01:42.200]  在路斯德這個城裏面
[00:01:42.200 --> 00:01:43.600]  他行了一個神蹟
[00:01:43.600 --> 00:01:44.200]  是不是?
[00:01:44.200 --> 00:01:46.000]  講到的時候
[00:01:46.000 --> 00:01:48.000]  看到有一個人他生來
[00:01:48.000 --> 00:01:50.400]  就已經是跛腳的
[00:01:50.400 --> 00:01:52.000]  那麼
[00:01:52.000 --> 00:01:54.800]  路加記載的時候
[00:01:54.800 --> 00:01:55.800]  很細心的
[00:01:55.800 --> 00:01:57.000]  這個歷史學家
[00:01:57.000 --> 00:01:58.200]  就加多一句
[00:01:58.200 --> 00:02:01.400]  從來沒有走過路
[00:02:01.400 --> 00:02:04.600]  但是保羅看到他的信心
[00:02:04.600 --> 00:02:06.800]  於是神就感動保羅
[00:02:06.800 --> 00:02:08.600]  就大聲說你起來
[00:02:08.600 --> 00:02:10.200]  站直雙腳
[00:02:10.200 --> 00:02:13.000]  於是聖經說那個人就跳起來
[00:02:13.000 --> 00:02:15.200]  很具體的形容
[00:02:15.200 --> 00:02:17.400]  一個從來沒有走過路的人
[00:02:17.400 --> 00:02:18.600]  跳起來
[00:02:18.600 --> 00:02:21.800]  然後就走起路來
[00:02:21.800 --> 00:02:25.000]  那麼這件事當然是令人很驚訝
[00:02:25.000 --> 00:02:26.600]  尤其是這一群
[00:02:26.600 --> 00:02:27.600]  未聽過福音
[00:02:27.600 --> 00:02:29.800]  或者第一次聽福音的外邦人
[00:02:29.800 --> 00:02:31.200]  希臘人羅馬人
[00:02:31.200 --> 00:02:32.800]  我估計以希臘為主
[00:02:32.800 --> 00:02:35.800]  那裡是一個希臘化的地區
[00:02:35.800 --> 00:02:37.800]  那麼那時候就很震驚
[00:02:37.800 --> 00:02:39.000]  震驚告訴我們
[00:02:39.000 --> 00:02:40.600]  這些人就說
[00:02:40.600 --> 00:02:44.800]  以為是他們的天神咒師和漢密士
[00:02:44.800 --> 00:02:48.000]  臨到人間
[00:02:48.000 --> 00:02:50.200]  於是就
[00:02:50.200 --> 00:02:53.000]  將牛和祭司
[00:02:53.000 --> 00:02:56.000]  帶著花環向他們獻祭
[00:02:56.000 --> 00:02:57.600]  當他們是神來拜
[00:02:57.600 --> 00:03:00.200]  那麼保羅就跳進他們中間
[00:03:00.200 --> 00:03:01.400]  形容得很厲害
[00:03:01.400 --> 00:03:02.400]  很清楚的
[00:03:02.400 --> 00:03:03.800]  你不要這樣做
[00:03:03.800 --> 00:03:05.400]  跳進他們中間告訴他們
[00:03:05.400 --> 00:03:06.200]  不是
[00:03:06.200 --> 00:03:08.000]  我們不是那個神
[00:03:08.000 --> 00:03:10.000]  那位神不如我現在介紹給你聽
[00:03:10.000 --> 00:03:13.000]  這個就是我們剛才所看到的那幅圖畫
[00:03:13.000 --> 00:03:18.800]  我想和大家今天稍為用時間
[00:03:18.800 --> 00:03:22.600]  特別研究兩個不同的心境
[00:03:22.600 --> 00:03:25.000]  和兩批不同的人
[00:03:25.000 --> 00:03:26.200]  首先我們剛才說
[00:03:26.200 --> 00:03:27.200]  我們先解釋一下
[00:03:27.200 --> 00:03:29.200]  為什麼會有這樣的事情發生
[00:03:29.200 --> 00:03:35.000]  究竟這個咒師和漢密士
[00:03:35.000 --> 00:03:37.400]  是什麼家伙
[00:03:37.400 --> 00:03:39.600]  咒師大家可能都聽過了
[00:03:39.600 --> 00:03:43.200]  Jules是希臘羅馬的天神
[00:03:43.200 --> 00:03:45.600]  很多天神佛的
[00:03:45.600 --> 00:03:47.800]  他們有很多這些神話
[00:03:47.800 --> 00:03:49.400]  那麼漢密士
[00:03:49.400 --> 00:03:52.000]  就在他們的神話故事裡面是他的兒子
[00:03:52.000 --> 00:03:54.400]  漢密士就較為陌生一點
[00:03:54.400 --> 00:03:56.000]  說英文你就一定認識
[00:03:56.000 --> 00:03:57.800]  叫做Hermes
[00:03:57.800 --> 00:03:59.000]  就是在廣東道
[00:03:59.000 --> 00:04:02.400]  你拿著行李箱去買東西的那一家
[00:04:02.400 --> 00:04:06.000]  是名牌
[00:04:06.000 --> 00:04:10.200]  但是當年就是這個神話裡面的兒子
