
[00:00:00.000 --> 00:00:07.800]  羅馬書第20章8章5-16節
[00:00:07.800 --> 00:00:09.600]  剛才我們也讀過經文
[00:00:09.600 --> 00:00:13.200]  今天要和大家講一個很嚴肅的問題
[00:00:13.200 --> 00:00:14.800]  也是很重要
[00:00:14.800 --> 00:00:17.000]  很值得我們思考
[00:00:17.000 --> 00:00:20.400]  我們有沒有聖靈在我們身上
[00:00:20.400 --> 00:00:24.800]  基督徒也會說我有聖靈在我身上
[00:00:24.800 --> 00:00:29.400]  但我們怎麼知道我們真的有聖靈在我們身上呢
[00:00:29.400 --> 00:00:31.800]  今天的經文會告訴我們
[00:00:31.800 --> 00:00:35.600]  我們是不是真的有神的靈在我們身上
[00:00:35.600 --> 00:00:41.200]  羅馬書第8章的主題很清楚是講聖靈
[00:00:41.200 --> 00:00:42.600]  我們怎麼知道
[00:00:42.600 --> 00:00:47.400]  聖靈這個字在羅馬書第8章一共出現19次
[00:00:47.400 --> 00:00:51.400]  聖靈和我們每個人屬靈的關係
[00:00:51.400 --> 00:00:55.000]  就好像神和祂創造的關係一樣
[00:00:55.000 --> 00:00:57.200]  為什麼我會這樣說
[00:00:57.200 --> 00:01:00.600]  你想想這個世界是神創造的
[00:01:00.600 --> 00:01:03.600]  沒有神就沒有這個世界
[00:01:03.600 --> 00:01:07.400]  但如果沒有神維持這個世界的秩序
[00:01:07.400 --> 00:01:09.400]  這個世界是會崩潰的
[00:01:09.400 --> 00:01:12.400]  我們屬靈的生命都是一樣
[00:01:12.400 --> 00:01:14.200]  如果沒有聖靈的話
[00:01:14.200 --> 00:01:16.800]  我們根本是沒有屬靈的生命
[00:01:16.800 --> 00:01:20.800]  但如果沒有聖靈來維持我們屬靈的生命
[00:01:20.800 --> 00:01:23.800]  我們屬靈的生命一樣會崩潰
[00:01:23.800 --> 00:01:28.200]  所以聖靈是非常重要
[00:01:28.200 --> 00:01:29.600]  在聖經裏面
[00:01:29.600 --> 00:01:32.400]  稱聖靈為神的靈
[00:01:32.400 --> 00:01:33.600]  父的靈
[00:01:33.600 --> 00:01:34.600]  主的靈
[00:01:34.600 --> 00:01:36.000]  基督的靈
[00:01:36.000 --> 00:01:39.600]  我有很多經文我不會一一讀出來
[00:01:39.600 --> 00:01:42.600]  我講到很喜歡用很多經文
[00:01:42.600 --> 00:01:43.400]  為什麼
[00:01:43.400 --> 00:01:47.600]  因為我主張用聖經來解釋聖經
[00:01:47.600 --> 00:01:51.400]  如果我是用自己的智慧來解經的話
[00:01:51.400 --> 00:01:53.000]  你們不需要理會
[00:01:53.000 --> 00:01:55.600]  這只不過是我個人的意見
[00:01:55.600 --> 00:01:57.400]  個人的思考
[00:01:57.400 --> 00:02:00.200]  但如果我用聖經來解釋聖經的話
[00:02:00.200 --> 00:02:04.400]  這就是原本聖靈密時作者
[00:02:04.400 --> 00:02:07.000]  要讀者知道的訊息
[00:02:07.000 --> 00:02:10.400]  所以聖經解釋聖經是很重要
[00:02:10.400 --> 00:02:14.400]  我會把這些經文都留在PowerPoint
[00:02:14.400 --> 00:02:17.200]  如果你們想知道有什麼經文
[00:02:17.200 --> 00:02:19.400]  讓我們知道有聖靈的稱呼
[00:02:19.400 --> 00:02:22.000]  你們可以自己去查一查
[00:02:22.000 --> 00:02:25.000]  首先我們說聖靈不是什麼
[00:02:25.000 --> 00:02:27.600]  很多人認為聖靈是一股力量
[00:02:27.600 --> 00:02:30.800]  很多人認為聖靈只不過是一種感覺
[00:02:30.800 --> 00:02:32.000]  不是的
[00:02:32.000 --> 00:02:34.400]  聖靈是三位一體的神
[00:02:34.400 --> 00:02:37.200]  當耶穌基督說到聖靈的時候
[00:02:37.200 --> 00:02:39.000]  祂都是用「他」字
[00:02:39.000 --> 00:02:42.400]  在說約翰福音的十四章至十六章
[00:02:42.400 --> 00:02:46.600]  聖靈是有齊所有神的品格
[00:02:46.600 --> 00:02:49.000]  例如祂是有思想
[00:02:49.000 --> 00:02:50.400]  祂是有意志
[00:02:50.400 --> 00:02:51.800]  祂是有感情
[00:02:51.800 --> 00:02:53.200]  祂是有自知
[00:02:53.200 --> 00:02:55.400]  祂還懂得擔憂的天
[00:02:55.400 --> 00:02:58.800]  聖經叫我們不要令聖靈擔憂
[00:02:58.800 --> 00:03:01.400]  所以聖靈是活生生的神
[00:03:01.400 --> 00:03:02.800]  不是死物
[00:03:02.800 --> 00:03:06.600]  聖靈是三位一體的神
[00:03:06.600 --> 00:03:08.800]  祂有齊所有神的屬性
[00:03:08.800 --> 00:03:12.000]  聖經告訴我們祂是無所不知的
[00:03:12.000 --> 00:03:15.200]  哥倫多前書的二章十至十一節
[00:03:15.200 --> 00:03:17.800]  祂是無所不能
[00:03:17.800 --> 00:03:20.600]  約伯記的三十三章第四節
[00:03:20.600 --> 00:03:22.400]  祂還是無處不在
[00:03:22.400 --> 00:03:24.200]  記不記得詩人說
