
[00:00:00.000 --> 00:00:03.020]  各位網友 大家好 我是阿彌陀佛 歡迎收看!
[00:00:03.020 --> 00:00:08.640]  弟兄姊妹早晨! 亦都是網上收看的弟兄姊妹早晨!
[00:00:08.640 --> 00:00:16.000]  主秘我回來跟大家一起分享上帝的話
[00:00:16.000 --> 00:00:19.160]  很感恩回到自己的家 跟大家分享
[00:00:19.160 --> 00:00:23.960]  希望這段時間能多在教會裡跟弟兄姊妹相處
[00:00:23.960 --> 00:00:28.660]  如果大家很久沒有一起吃飯 你們要考慮一下
[00:00:28.660 --> 00:00:34.000]  大家約弟兄姊妹一起有些交通 如果方便的話
[00:00:34.000 --> 00:00:40.720]  我今天跟大家說的這段經文比較特別
[00:00:40.720 --> 00:00:43.380]  過往我多數都是用一段聖經跟大家分享
[00:00:43.380 --> 00:00:44.840]  這次我用多一段經文
[00:00:44.840 --> 00:00:48.340]  所以剛才主席沒有特別要讀出那段聖經
[00:00:48.340 --> 00:00:53.740]  因為我想看彼得在他跟從主最後階段的時間
[00:00:53.740 --> 00:00:59.180]  幾個事件 跟大家思想一個題目叫做「重新出發」
[00:00:59.180 --> 00:01:01.540]  首先要解釋一下題目
[00:01:01.540 --> 00:01:07.320]  大家覺得究竟是從這個新鮮的新
[00:01:07.320 --> 00:01:14.400]  從前的從 還是從複的從才是對的呢?
[00:01:14.400 --> 00:01:19.500]  在中文上來說 重新出發是哪個比較對呢?
[00:01:19.500 --> 00:01:24.140]  我的中文和中英文都一般
[00:01:24.140 --> 00:01:28.420]  不知道大家覺得哪個比較對呢?
[00:01:28.420 --> 00:01:35.180]  我稍微上網查過 原來兩個都可以的
[00:01:35.180 --> 00:01:41.180]  第一個是從前 從未開始過的
[00:01:41.180 --> 00:01:46.160]  現在開始 就是從前的從 重新出發
[00:01:46.160 --> 00:01:52.600]  另一個是從複的從 過去曾經做過
[00:01:52.600 --> 00:01:55.100]  不過停了 或者已經沒有做了
[00:01:55.100 --> 00:01:57.100]  現在再次開始
[00:01:57.100 --> 00:02:00.280]  今天我用的名字就是下面那個
[00:02:00.280 --> 00:02:01.680]  就是再次開始
[00:02:01.680 --> 00:02:05.380]  因為我相信我們當中大部分的弟兄姊妹
[00:02:05.380 --> 00:02:09.100]  已經在人生的路上遇上耶穌 跟從祂
[00:02:09.100 --> 00:02:13.260]  以及已經立志要跟從祂 成為祂的門徒
[00:02:13.260 --> 00:02:15.560]  但是很容易我們慢慢會放下
[00:02:15.560 --> 00:02:17.920]  很容易因為不同的環境而放下
[00:02:17.920 --> 00:02:21.180]  所以今天我想說的是從複的從
[00:02:21.180 --> 00:02:23.180]  再一次出發
[00:02:23.180 --> 00:02:26.100]  今天我看的經文 剛才提過
[00:02:26.100 --> 00:02:30.020]  就是看三段聖經 都是路加福音
[00:02:30.020 --> 00:02:32.020]  我上一個課程書裏面
[00:02:32.020 --> 00:02:36.280]  看那個記錄的時候 凸顯的一些事蹟
[00:02:36.280 --> 00:02:39.980]  在彼得最後的階段 三段的聖經
[00:02:39.980 --> 00:02:42.820]  然後這三段經文串在一起
[00:02:42.820 --> 00:02:46.560]  就好像彼得很短時間裏面
[00:02:46.560 --> 00:02:49.180]  他跟從主的心路歷程
