
[00:00:00.000 --> 00:00:06.320]  今晚我們來到《但義理書》的最後一章
[00:00:06.320 --> 00:00:10.320]  只有短短的13節整本《但義理書》
[00:00:10.320 --> 00:00:12.920]  以這一章是最短的
[00:00:12.920 --> 00:00:15.680]  但在這一章13節裏面
[00:00:15.680 --> 00:00:19.200]  依然有很多真理讓我們學習
[00:00:19.200 --> 00:00:24.440]  第十章、十一章和十二章其實是一個單元
[00:00:24.440 --> 00:00:31.440]  但義理在底格里斯(Tigris River)大河旁邊
[00:00:31.440 --> 00:00:34.440]  是天使給他的最後意象
[00:00:34.440 --> 00:00:36.440]  你可以說這是第四個
[00:00:36.440 --> 00:00:40.440]  或者第九章尾算是一個預言的話
[00:00:40.440 --> 00:00:43.440]  這是第五個意象
[00:00:43.440 --> 00:00:47.440]  時間是當時古列王的第三年
[00:00:47.440 --> 00:00:54.040]  上一章的意象是第九章尾的古列王的元年
[00:00:54.040 --> 00:00:58.040]  即是這個預象是三年後
[00:00:58.040 --> 00:01:04.040]  即是公元前的536年
[00:01:04.040 --> 00:01:09.040]  但義理當時已經是八十多、接近九十歲
[00:01:09.040 --> 00:01:14.040]  亦可能他當時已經在正壇退休下來
[00:01:14.040 --> 00:01:17.040]  大家記得在第九章
[00:01:17.040 --> 00:01:24.040]  他是看耶利米蘇知道他們被俘虜的時間只有70年
[00:01:24.040 --> 00:01:28.040]  所以他開始為國民祈禱
[00:01:28.040 --> 00:01:32.040]  求神早點讓他們能夠被釋放
[00:01:32.040 --> 00:01:34.040]  回去重建他們的聖殿
[00:01:34.040 --> 00:01:36.040]  回到耶路撒冷
[00:01:36.040 --> 00:01:39.040]  變回他們自己的國家
[00:01:39.040 --> 00:01:42.040]  但他很失望
[00:01:42.040 --> 00:01:45.040]  他以為70年沒錯
[00:01:45.040 --> 00:01:49.040]  古列王真的下調讓他們回去
[00:01:49.040 --> 00:01:53.040]  但回去的人只有區區幾萬人
[00:01:53.040 --> 00:01:59.040]  他們有幾百萬人
[00:01:59.040 --> 00:02:03.040]  所以幾萬人是一個很少數
[00:02:03.040 --> 00:02:06.040]  令到但義理十分之失望
[00:02:06.040 --> 00:02:11.040]  因為他看到那些人流亂在巴比倫
