
[00:00:00.000 --> 00:00:07.640]  好 多謝娟姐大唱歌 又多謝傅女詩班
[00:00:07.640 --> 00:00:10.440]  「You Raise Me Up」這首歌也是很流行的
[00:00:10.440 --> 00:00:13.200]  我剛剛找過 原來網上
[00:00:13.200 --> 00:00:16.440]  剛剛找到都有兩個不同的中文譯本
[00:00:16.440 --> 00:00:19.280]  不過都沒有剛才詩班唱的那個中文譯本
[00:00:19.280 --> 00:00:22.440]  中文這麼漂亮 還有內容這麼豐富
[00:00:22.440 --> 00:00:26.320]  特別多謝詩班選這個譯本
[00:00:26.320 --> 00:00:29.720]  好 不過我們就回到今天的講道
[00:00:29.720 --> 00:00:34.560]  就是復和的使者是來自哥倫多後書的
[00:00:34.560 --> 00:00:37.800]  本來我是講哥倫多後書的
[00:00:37.800 --> 00:00:40.000]  不過有一段日子好像都沒有講了
[00:00:40.000 --> 00:00:41.720]  不過今天就繼續講
[00:00:41.720 --> 00:00:45.040]  不過就大結局了 其實今天
[00:00:45.040 --> 00:00:49.720]  因為明年教育團隊決定講到有另一個方向
[00:00:49.720 --> 00:00:51.720]  會跟隨大隊的方向
[00:00:51.720 --> 00:00:56.320]  所以今天就用復和來總結一下
[00:00:56.320 --> 00:00:59.680]  可以這麼說 一種總結哥倫多後書的信息
[00:00:59.680 --> 00:01:02.760]  我們開始的時候都是讀經文
[00:01:02.760 --> 00:01:06.000]  我們就用啟應的方式
[00:01:06.000 --> 00:01:08.000]  我讀一節 你們讀一節
[00:01:08.000 --> 00:01:10.000]  大家梅花間竹
[00:01:10.000 --> 00:01:11.600]  我先開始
[00:01:11.600 --> 00:01:15.480]  「我們既知道主是可畏的 所以勸人
[00:01:15.480 --> 00:01:18.720]  但我們在神面前是顯明的
[00:01:18.720 --> 00:01:22.880]  盼望在你們的良心裡也是顯明的」
[00:01:22.880 --> 00:01:26.160]  「我們不是向你們再舉薦自己
[00:01:26.160 --> 00:01:29.880]  乃是叫你們因我們有可誇之處
[00:01:29.880 --> 00:01:33.680]  好對那憑外貌不憑內心誇口的人」
[00:01:33.680 --> 00:01:36.960]  「我們若果癲狂是為神
[00:01:36.960 --> 00:01:39.680]  若果謹守是為你們」
[00:01:39.680 --> 00:01:42.720]  「原來基督的愛激勵我們
[00:01:42.720 --> 00:01:46.280]  因我們想一人既替眾人死
[00:01:46.280 --> 00:01:48.280]  眾人就都死了」
[00:01:48.280 --> 00:01:51.120]  「並且他替眾人死
[00:01:51.120 --> 00:01:55.040]  是叫那些活著的人不再為自己活
[00:01:55.040 --> 00:01:59.040]  乃為替他們死而復活的主活」
[00:01:59.040 --> 00:02:01.520]  「所以我們從今以後
[00:02:01.520 --> 00:02:03.920]  不憑著外貌認人了
[00:02:03.920 --> 00:02:06.680]  雖然憑著外貌認過基督
[00:02:06.680 --> 00:02:09.680]  如今卻不再這樣認他了」
[00:02:09.680 --> 00:02:11.760]  「若有人在基督裡
[00:02:11.760 --> 00:02:13.760]  他就是新造的
[00:02:13.760 --> 00:02:17.320]  舊事已過都變成新的了」
[00:02:17.320 --> 00:02:19.320]  「一切都是出於神
[00:02:19.320 --> 00:02:22.600]  他藉著基督使我們與他和好
[00:02:22.600 --> 00:02:26.920]  又將勸人與他和好的職份賜給我們」
[00:02:26.920 --> 00:02:29.800]  「這就是神在基督裡
[00:02:29.800 --> 00:02:32.520]  叫世人與自己和好
[00:02:32.520 --> 00:02:36.400]  不將他們的過犯歸到他們身上
[00:02:36.400 --> 00:02:40.880]  並且將這和好的道理托付了我們」
[00:02:40.880 --> 00:02:43.520]  「所以我們作基督的使者
[00:02:43.520 --> 00:02:46.880]  就好像神藉我們勸你們一般
[00:02:46.880 --> 00:02:50.400]  我們替基督求你們與神和好」
[00:02:50.400 --> 00:02:54.680]  「神使那無罪的替我們成為罪
[00:02:54.680 --> 00:02:59.240]  好叫我們在他裡成為神的兒」
[00:02:59.240 --> 00:03:02.640]  「我們與神同宮的也勸你們
[00:03:02.640 --> 00:03:05.240]  不可徒受他的恩典」
[00:03:05.240 --> 00:03:06.840]  「因為他說
[00:03:06.840 --> 00:03:10.080]  在月立的時候我應運了你
[00:03:10.080 --> 00:03:13.680]  在請救的日子我答救了你
[00:03:13.680 --> 00:03:17.680]  看啊!現在正是月立的時候
[00:03:17.680 --> 00:03:21.080]  現在正是請救的日子」
[00:03:21.080 --> 00:03:24.520]  「我們凡事都不叫人有妨礙
[00:03:24.520 --> 00:03:27.280]  免得這職份被人毀謗」
[00:03:27.280 --> 00:03:29.560]  「反倒在各樣的事上
[00:03:29.560 --> 00:03:32.560]  表明自己是神的用人
