
[00:00:00.000 --> 00:00:02.000]  各位電影節目平安
[00:00:02.000 --> 00:00:05.000]  每次回來的時候都會感覺是恩典
[00:00:05.000 --> 00:00:10.000]  能夠繼續可以實體和電影節目一起敬拜是恩典
[00:00:10.000 --> 00:00:13.000]  澳門今天發生的疫情的情況
[00:00:13.000 --> 00:00:16.000]  好像突然間也不能夠有崇拜
[00:00:16.000 --> 00:00:20.000]  但是今天我們繼續可以有集體的崇拜是恩典
[00:00:20.000 --> 00:00:22.000]  所以不單是你一個人
[00:00:22.000 --> 00:00:25.000]  是你和電影節目一起將我們的感謝
[00:00:25.000 --> 00:00:27.000]  我們的讚美和我們的感謝
[00:00:27.000 --> 00:00:30.000]  獻給神
[00:00:30.000 --> 00:00:33.000]  或者你也可以和你旁邊的電影節目開始的時候
[00:00:33.000 --> 00:00:34.000]  你也和他們點頭
[00:00:34.000 --> 00:00:36.000]  感謝神讓我們一起崇拜好不好
[00:00:36.000 --> 00:00:39.000]  你和旁邊的電影節目打招呼
[00:00:39.000 --> 00:00:41.000]  感謝神讓我們一起崇拜
[00:00:41.000 --> 00:00:42.000]  我們一起祈禱
[00:00:42.000 --> 00:00:46.000]  主人祢是各位坐在天上的寶座
[00:00:46.000 --> 00:00:48.000]  祢統管萬有
[00:00:48.000 --> 00:00:52.000]  祢是滿有能力滿有慈愛的上帝
[00:00:52.000 --> 00:00:55.000]  主人祢配得上我們對祢的尊重
[00:00:55.000 --> 00:00:57.000]  我們的敬拜
[00:00:57.000 --> 00:01:01.000]  主人我們祈禱求祢讓我們和電影節目一起
[00:01:01.000 --> 00:01:03.000]  在祢的殿中敬拜的時候
[00:01:03.000 --> 00:01:08.000]  讓我們的心更加專注在祢身上
[00:01:08.000 --> 00:01:11.000]  更加體會到祢自己的偉大
[00:01:11.000 --> 00:01:13.000]  祢的尊榮
[00:01:13.000 --> 00:01:15.000]  祢的榮耀
[00:01:15.000 --> 00:01:18.000]  我們更懂得去敬拜祢
[00:01:18.000 --> 00:01:19.000]  求主幫助我們
