
[00:00:00.000 --> 00:00:08.000]  聖經好像不是說要99隻羊都要找一隻的
[00:00:08.000 --> 00:00:10.000]  老教科裡面的比喻
[00:00:10.000 --> 00:00:16.000]  失錢失羊 浪子的比喻
[00:00:16.000 --> 00:00:21.000]  這裡為什麼好像很殘忍
[00:00:21.000 --> 00:00:25.000]  我做牧者的時間是做了6年
[00:00:25.000 --> 00:00:29.000]  經驗可能不夠馬牧師和你們的傳道人多
[00:00:29.000 --> 00:00:34.000]  我不敢教你真正實際上遇到這樣的情況是怎樣做
[00:00:34.000 --> 00:00:37.000]  我只不過覺得看哥林多前書的時候
[00:00:37.000 --> 00:00:40.000]  很明顯保羅是對一間教會說
[00:00:40.000 --> 00:00:44.000]  他的方法是基於舊約的背景
[00:00:44.000 --> 00:00:49.000]  神對神的指紋要求的高
[00:00:49.000 --> 00:00:54.000]  而且他特別說那句話
[00:00:54.000 --> 00:00:57.000]  我昨天沒機會和你們說
[00:00:57.000 --> 00:01:01.000]  如果你回到第五章最後的時候
[00:01:01.000 --> 00:01:06.000]  保羅分得很清楚哪些是自己人
[00:01:06.000 --> 00:01:08.000]  哪些不是自己人
[00:01:08.000 --> 00:01:12.000]  因為他覺得自己人的要求是很嚴的
[00:01:12.000 --> 00:01:18.000]  我真的很希望我們信徒主人能夠找清楚這一點
[00:01:18.000 --> 00:01:22.000]  未信主的時候
[00:01:22.000 --> 00:01:25.000]  好像我們做父母那樣
[00:01:25.000 --> 00:01:27.000]  小孩去沙灘玩
[00:01:27.000 --> 00:01:30.000]  玩到多骯髒都好
[00:01:30.000 --> 00:01:33.000]  都要他回來的
[00:01:33.000 --> 00:01:35.000]  要回來洗澡
[00:01:35.000 --> 00:01:38.000]  我太太是最緊張的
[00:01:38.000 --> 00:01:42.000]  洗完澡之後還會不會去沙灘玩
[00:01:42.000 --> 00:01:44.000]  不出的了
[00:01:44.000 --> 00:01:46.000]  完全是兩回事
[00:01:46.000 --> 00:01:48.000]  我希望能夠找到這個看法
[00:01:48.000 --> 00:01:50.000]  所以保羅在這裡
[00:01:50.000 --> 00:01:53.000]  你留意第五章第九節
[00:01:53.000 --> 00:01:55.000]  他這樣說
[00:01:55.000 --> 00:01:57.000]  我和你寫了信
[00:01:57.000 --> 00:01:59.000]  這個世界上犯奸淫的人一定有的
[00:01:59.000 --> 00:02:03.000]  叫你不和他相處是不可能的
[00:02:03.000 --> 00:02:05.000]  不過他說
[00:02:05.000 --> 00:02:07.000]  我和你說清楚
[00:02:07.000 --> 00:02:10.000]  如果有些人說是信耶穌的
[00:02:10.000 --> 00:02:12.000]  十一節
[00:02:12.000 --> 00:02:14.000]  如果有稱為弟兄的
[00:02:14.000 --> 00:02:16.000]  說自己信了耶穌
[00:02:16.000 --> 00:02:18.000]  去完沙灘玩
[00:02:18.000 --> 00:02:20.000]  神收了他回來洗了澡
[00:02:20.000 --> 00:02:22.000]  繼續再骯髒的
