
[00:00:00.000 --> 00:00:02.000]  (此處有字幕,請勿模仿)
[00:00:02.000 --> 00:00:06.500]  天父感謝祢又給我們有機會來研讀祢的話語
[00:00:06.500 --> 00:00:08.500]  我們經過一天的辛勞
[00:00:08.500 --> 00:00:11.500]  求主祢恢復我們的疲勞
[00:00:11.500 --> 00:00:16.000]  讓我們能夠安靜地來聆聽祢的話語
[00:00:16.000 --> 00:00:19.500]  求聖靈在我們當中來做教導的工作
[00:00:19.500 --> 00:00:22.500]  我們將以下的時間恭敬交在祢的手中
[00:00:22.500 --> 00:00:24.000]  求主祢祝福
[00:00:24.000 --> 00:00:25.500]  求主祢帶領
[00:00:25.500 --> 00:00:27.500]  祈禱奉主耶穌基督名求
[00:00:27.500 --> 00:00:29.000]  阿門
[00:00:30.000 --> 00:00:32.000]  上一次的查經
[00:00:32.000 --> 00:00:35.000]  我們是查約翰福音第四章
[00:00:35.000 --> 00:00:40.000]  是講到耶穌和撒瑪利亞婦人談到這件事
[00:00:40.000 --> 00:00:43.500]  其實第四章還有其他
[00:00:43.500 --> 00:00:47.500]  記載耶穌講過和做過的事
[00:00:47.500 --> 00:00:51.500]  所以今晚我們首先要在第四章裡
[00:00:51.500 --> 00:00:54.500]  看其餘的兩件事
[00:00:54.500 --> 00:00:57.500]  然後我們才進入第五章
[00:00:58.000 --> 00:01:03.000]  第一件事就是主耶穌仍然在撒瑪利亞的井邊
[00:01:03.000 --> 00:01:07.000]  這時候門徒回來了
[00:01:07.000 --> 00:01:11.000]  原來門徒去了買食物
[00:01:11.000 --> 00:01:13.000]  但他們回來後
[00:01:13.000 --> 00:01:17.000]  耶穌和門徒有一段對話
[00:01:17.000 --> 00:01:20.000]  只是短短的八節經文
[00:01:20.000 --> 00:01:23.000]  我將它分為兩個部分
[00:01:23.500 --> 00:01:30.500]  開頭的四節是耶穌講到有關食物的問題
[00:01:30.500 --> 00:01:32.500]  後面的四節
[00:01:32.500 --> 00:01:38.000]  耶穌鼓勵門徒要努力去收割莊稼
[00:01:38.000 --> 00:01:40.500]  當然不是去田裡收割
[00:01:40.500 --> 00:01:44.500]  他是在講宣教的和田
[00:01:44.500 --> 00:01:50.500]  之後由第四十三節到第五十四節
[00:01:51.000 --> 00:01:55.000]  記載了耶穌去完撒瑪利亞
[00:01:55.000 --> 00:01:57.500]  在那裡住了兩天
[00:01:57.500 --> 00:02:03.000]  然後他繼續北上回到加利利
[00:02:03.000 --> 00:02:07.500]  然後他去到第一個行神蹟的地方就是加拿大
[00:02:07.500 --> 00:02:12.500]  那裡有一個做官的人住在加伯農那裡
[00:02:12.500 --> 00:02:15.000]  他的兒子患了重病
[00:02:15.000 --> 00:02:16.500]  快要病死了
[00:02:17.000 --> 00:02:23.000]  於是他跑來請耶穌去他家醫治他的兒子
[00:02:23.000 --> 00:02:30.000]  我稱這段故事為危難中的信心
[00:02:30.000 --> 00:02:33.500]  我們查完這兩件事之後
[00:02:33.500 --> 00:02:36.000]  我們會進入第五章
[00:02:36.000 --> 00:02:41.000]  第五章記載耶穌回到耶路撒冷
[00:02:41.000 --> 00:02:45.500]  去到一個叫畢氏大的水池旁邊
[00:02:46.000 --> 00:02:51.000]  在那裡醫治了癱瘓了三十八的人
[00:02:51.000 --> 00:02:56.000]  但這章聖經還記載了很多
[00:02:56.000 --> 00:03:00.000]  是因為這件事所引起的後遺症
[00:03:00.000 --> 00:03:04.000]  其實整章聖經的四十七節
[00:03:04.000 --> 00:03:10.500]  都是和耶穌在安息日醫治好這個人有關
[00:03:10.500 --> 00:03:13.500]  但因為篇幅相當長
[00:03:14.000 --> 00:03:19.000]  今晚只有時間看第一至第十五節
[00:03:19.000 --> 00:03:24.500]  下一次我們才看其餘的經文
[00:03:24.500 --> 00:03:31.000]  首先讓我們來看看耶穌和門徒的對話
[00:03:31.000 --> 00:03:36.000]  第四章第三十一節至第三十四節
[00:03:36.000 --> 00:03:38.500]  小小的背景
[00:03:39.000 --> 00:03:43.000]  我們記得耶穌和門徒經過撒瑪利亞地
[00:03:43.000 --> 00:03:45.000]  回到加利利
[00:03:45.000 --> 00:03:52.000]  耶穌在井邊等打水的婦人向祂傳福音
[00:03:52.000 --> 00:03:56.000]  當時門徒去了買食物
[00:03:56.000 --> 00:04:00.000]  我相信他們去到撒瑪利亞的地方
[00:04:00.000 --> 00:04:04.000]  撒瑪利亞對猶太人也不是那麼友善
[00:04:04.500 --> 00:04:11.000]  所以我相信這些門徒要去找食物真的不是那麼容易
[00:04:11.000 --> 00:04:14.500]  但他們很不容易找到食物
[00:04:14.500 --> 00:04:18.000]  回來請耶穌來吃這些食物
[00:04:18.000 --> 00:04:22.500]  耶穌就趁這個機會來教導那些門徒
[00:04:22.500 --> 00:04:24.500]  我們來看一看
[00:04:24.500 --> 00:04:27.500]  我們由第四章第三十一節開始看
[00:04:28.000 --> 00:04:34.500]  他說這期間門徒對耶穌說拉比請吃
[00:04:34.500 --> 00:04:37.500]  這些門徒去了買食物回來
[00:04:37.500 --> 00:04:42.000]  於是他們就請耶穌吃
[00:04:42.000 --> 00:04:45.500]  中文翻譯是請吃
[00:04:45.500 --> 00:04:47.500]  原文是什麼呢?
[00:04:47.500 --> 00:04:51.500]  原文不是請你吃那麼簡單
[00:04:51.500 --> 00:04:56.500]  原文的意思是請求要求
[00:04:57.000 --> 00:04:59.000]  是有一點點壓力
[00:04:59.000 --> 00:05:02.000]  叫耶穌一定要吃快點吃
[00:05:02.000 --> 00:05:04.500]  為什麼會這樣呢?
[00:05:04.500 --> 00:05:08.000]  一方面是門徒很關心耶穌
