
[00:00:00.000 --> 00:00:02.000]  各位同僚 早安
[00:00:02.000 --> 00:00:06.600]  多謝主席幫我讀出很長的經文
[00:00:06.600 --> 00:00:08.600]  今天對我來說很有意思
[00:00:08.600 --> 00:00:10.600]  3月7日
[00:00:10.600 --> 00:00:12.600]  在7年前
[00:00:12.600 --> 00:00:14.600]  我爸爸在今天去世
[00:00:14.600 --> 00:00:18.600]  20年前他洗禮的時候
[00:00:18.600 --> 00:00:24.000]  他就跟了我回教會3年
[00:00:24.000 --> 00:00:28.000]  當然他未成為教會主席
[00:00:28.000 --> 00:00:31.000]  當然他未讀聖經
[00:00:31.000 --> 00:00:33.000]  坐在我旁邊
[00:00:33.000 --> 00:00:39.000]  有一次就說了一句令我印象很深刻的話
[00:00:39.000 --> 00:00:43.000]  就是當我主席讀創世記
[00:00:43.000 --> 00:00:48.000]  我爸爸就很小聲跟我說
[00:00:48.000 --> 00:00:51.000]  這麼舊的東西就不要拿出來說
[00:00:51.000 --> 00:00:55.000]  當時我也不懂怎麼回答他
[00:00:55.000 --> 00:01:00.000]  當然很多名字都是古代人的名字
[00:01:00.000 --> 00:01:08.000]  事、交通工具、行動都不是現在這個時代
[00:01:08.000 --> 00:01:12.000]  這麼舊的東西還拿出來說 為什麼呢?
[00:01:12.000 --> 00:01:16.000]  從此他就刺激了我看舊約
[00:01:16.000 --> 00:01:19.000]  除了看經文的背景
[00:01:19.000 --> 00:01:26.000]  多想想對當下、當代這段經文是什麼意思呢?
[00:01:26.000 --> 00:01:30.000]  很感謝我爸爸這句話很啟發我
[00:01:30.000 --> 00:01:34.000]  是不是真的這麼舊的東西不要拿出來說呢?
[00:01:34.000 --> 00:01:38.000]  所以今天這段聖經似乎很長 13節
[00:01:38.000 --> 00:01:41.000]  但是我就歸納了它
[00:01:41.000 --> 00:01:44.000]  就說一下當下、當代的五個問題
[00:01:44.000 --> 00:01:46.000]  跟大家分享一下
[00:01:46.000 --> 00:01:52.000]  每講幾分鐘都對我來說有很深的刺激
[00:01:52.000 --> 00:01:57.000]  第一個問題就是人與人的衝突
[00:01:57.000 --> 00:02:03.000]  衝突到什麼時候應該考慮分開生活呢?
[00:02:03.000 --> 00:02:08.000]  第二個問題就是如果搬到一個地方
[00:02:08.000 --> 00:02:13.000]  哪裡較為平安、住得下呢?
[00:02:13.000 --> 00:02:16.000]  第三個問題就是每天
[00:02:16.000 --> 00:02:21.000]  我們的心都有兩種力量在拉扯著我們
[00:02:21.000 --> 00:02:24.000]  怎樣去留意這兩種力量呢?
[00:02:24.000 --> 00:02:29.000]  第四個問題就是問一個基督徒
[00:02:29.000 --> 00:02:35.000]  你怎樣去減少你配偶的傷心或者憂愁呢?
[00:02:35.000 --> 00:02:40.000]  第五個問題就是我經常都想著傳福音給家人
[00:02:40.000 --> 00:02:44.000]  但是他們不相信 那我應該怎樣做呢?
[00:02:44.000 --> 00:02:49.000]  將《創世紀》13章變成了這五個當代的問題
[00:02:49.000 --> 00:02:55.000]  再加上背景 可能今天我們會想得豐富一點
[00:02:55.000 --> 00:02:58.000]  特別想想香港或者世界發生的事
[00:02:58.000 --> 00:03:02.000]  總結剛才那13節經文有幾句話重要
[00:03:02.000 --> 00:03:08.000]  第一個話就是亞伯蘭的金銀生促很多
[00:03:08.000 --> 00:03:12.000]  就是說他擁有的東西很豐富
[00:03:12.000 --> 00:03:16.000]  你想想一個很豐富的人是不是人生已經是七七八八了
[00:03:16.000 --> 00:03:20.000]  你要找的東西都差不多了
[00:03:20.000 --> 00:03:26.000]  第一件事 你是否會恢復 羨慕做亞伯蘭呢?
[00:03:26.000 --> 00:03:30.000]  你會有一個很接近你身邊的人 羅德
[00:03:30.000 --> 00:03:35.000]  這個是他兄弟的兒子 他兄弟比較早去世
