
[00:00:00.000 --> 00:00:05.800]  (主持人:好,我們先祈禱)
[00:00:05.800 --> 00:00:07.300]  (主持人:天父,我們將以下的時間)
[00:00:07.300 --> 00:00:08.800]  (主持人:我們帶到主的面前)
[00:00:08.800 --> 00:00:11.500]  (主持人:特別是《彼得前書》第二章至第四章)
[00:00:11.500 --> 00:00:12.900]  (主持人:這一段經文)
[00:00:12.900 --> 00:00:14.300]  (主持人:我們求祢透過這段經文)
[00:00:14.300 --> 00:00:16.100]  (主持人:讓我們學習又提醒)
[00:00:16.100 --> 00:00:18.900]  (主持人:再一次來肯定我們在世上的使命)
[00:00:18.900 --> 00:00:21.100]  (主持人:再一次來明白主祢的心意)
[00:00:21.100 --> 00:00:23.300]  (主持人:再一次我們盡力去遵行)
[00:00:23.300 --> 00:00:25.500]  (主持人:明白主祢的心意的使命)
[00:00:25.500 --> 00:00:26.500]  (主持人:求祢幫助我們)
[00:00:26.500 --> 00:00:28.500]  (主持人:帶領以下我們聆聽祢話語的時間)
[00:00:28.500 --> 00:00:31.700]  (主持人:聽我們禱告奉耶穌的名祈禱,阿們)
[00:00:31.700 --> 00:00:34.500]  (主持人:上次來講就是相管齊下)
[00:00:34.500 --> 00:00:38.500]  (主持人:這次講就是恆哉樂和)
[00:00:38.500 --> 00:00:40.900]  (主持人:這個恆哉樂和這四個字)
[00:00:40.900 --> 00:00:43.900]  (主持人:其實在中文來講是叫貶義詞)
[00:00:43.900 --> 00:00:45.400]  (主持人:不是一個好的)
[00:00:45.400 --> 00:00:46.700]  (主持人:所以待會我講完之後)
[00:00:46.700 --> 00:00:49.100]  (主持人:才解釋為什麼用這個恆哉樂和)
[00:00:49.100 --> 00:00:50.500]  (主持人:因為我都想了很多)
[00:00:50.500 --> 00:00:55.400]  (主持人:想不到有其他的詞可以代表今天的內容)
[00:00:55.400 --> 00:00:58.700]  (主持人:在彼得前書這麼多堂講道當中)
[00:00:58.700 --> 00:01:01.700]  (主持人:今天這一堂應該是最難講的一堂)
[00:01:01.700 --> 00:01:03.500]  (主持人:因為經文是最長)
[00:01:03.500 --> 00:01:05.000]  (主持人:而且內容是最難)
[00:01:05.000 --> 00:01:06.500]  (主持人:但是也是很重要)
[00:01:06.500 --> 00:01:09.300]  (主持人:如果大家能夠明白這一堂的信息的話)
[00:01:09.300 --> 00:01:11.200]  (主持人:我相信能夠幫助大家)
[00:01:11.200 --> 00:01:12.800]  (主持人:在我們的生活當中)
[00:01:12.800 --> 00:01:16.000]  (主持人:能夠更加好好的來履行我們的使命)
[00:01:16.000 --> 00:01:17.600]  (主持人:我盼望如果有聖經的)
[00:01:17.600 --> 00:01:21.000]  (主持人:就幫我一起看彼得前書第二章十一節)
[00:01:21.000 --> 00:01:23.000]  (主持人:一直到第四章第六節)
[00:01:23.000 --> 00:01:25.200]  (主持人:我會看很多這些經文)
[00:01:25.200 --> 00:01:27.400]  (主持人:如果你有的話就盡量跟進)
[00:01:27.400 --> 00:01:29.200]  (主持人:應該不會全部看完)
[00:01:29.200 --> 00:01:32.600]  (主持人:因為我會用這三章聖經裡的經文)
[00:01:32.600 --> 00:01:34.800]  (主持人:你一直有聖經跟著我看)
[00:01:34.800 --> 00:01:36.100]  (主持人:就OK的了)
[00:01:36.100 --> 00:01:38.900]  (主持人:我先講一個問題)
[00:01:38.900 --> 00:01:41.600]  (主持人:不知道大家是否同意我這句話)
[00:01:41.600 --> 00:01:46.600]  (主持人:就是正常的基督徒是不正常的)
[00:01:46.600 --> 00:01:48.400]  (主持人:同意嗎?)
[00:01:48.400 --> 00:01:49.400]  (主持人:好的基督徒)
[00:01:49.400 --> 00:01:52.300]  (主持人:正常的基督徒就不是很正常)
