
[00:00:00.000 --> 00:00:02.000]  各位電視姊妹 轉來平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:06.000]  前天去馬斯塔
[00:00:06.000 --> 00:00:08.000]  一進門口
[00:00:08.000 --> 00:00:10.000]  就有一個告示牌寫著
[00:00:10.000 --> 00:00:15.000]  中休幾多天就到聖誕了
[00:00:15.000 --> 00:00:17.000]  不知道你有沒有留意到呢
[00:00:17.000 --> 00:00:23.000]  當然這個是公司提醒顧客
[00:00:23.000 --> 00:00:28.000]  要趕著做Christmas 禮物
[00:00:28.000 --> 00:00:31.000]  做Christmas shopping
[00:00:31.000 --> 00:00:34.000]  趕著要買聖誕禮物
[00:00:34.000 --> 00:00:38.000]  這樣的一個教會
[00:00:38.000 --> 00:00:42.000]  我們不是那麼計較
[00:00:42.000 --> 00:00:44.000]  不過也有一個
[00:00:44.000 --> 00:00:50.000]  好像我們又知道又不知道的傳統
[00:00:50.000 --> 00:00:54.000]  叫做張立奇Advent
[00:00:54.000 --> 00:01:03.000]  其實這個傳統是第六世紀開始才有記載的
[00:01:03.000 --> 00:01:07.000]  之前的五百年有沒有這個東西呢
[00:01:07.000 --> 00:01:09.000]  我們不得而知
[00:01:09.000 --> 00:01:18.000]  並且這個主要是歐洲羅馬大公教會
[00:01:18.000 --> 00:01:23.000]  直接翻譯Roman Catholic Church
[00:01:23.000 --> 00:01:27.000]  我們中文習慣了的翻譯就是天主教會
[00:01:27.000 --> 00:01:29.000]  是他們的傳統
[00:01:29.000 --> 00:01:33.000]  從第六世紀直到今天
[00:01:33.000 --> 00:01:42.000]  十六世紀馬丁路德的改革運動脫離梵蒂岡教廷
[00:01:42.000 --> 00:01:47.000]  我們所謂的基督教會當中
[00:01:47.000 --> 00:01:56.000]  其實只有聖公會有這個張立奇的傳統
[00:01:56.000 --> 00:01:58.000]  信義會沒有的
[00:01:58.000 --> 00:02:00.000]  巡道會沒有的
[00:02:00.000 --> 00:02:02.000]  宣道會沒有的
[00:02:02.000 --> 00:02:08.000]  我們這些稱為Free Church 臥道會沒有的
[00:02:08.000 --> 00:02:10.000]  所以張立奇說甚麼呢
[00:02:10.000 --> 00:02:14.000]  其實張立奇是歐洲的教會
[00:02:14.000 --> 00:02:18.000]  在聖誕日12月25日
[00:02:18.000 --> 00:02:20.000]  數回頭
[00:02:20.000 --> 00:02:23.000]  四個星期日
[00:02:23.000 --> 00:02:26.000]  所以一定最容易計算的
[00:02:26.000 --> 00:02:28.000]  就是11月底
[00:02:28.000 --> 00:02:30.000]  11月只有30天
[00:02:30.000 --> 00:02:36.000]  最近11月30日的主日開始計算
[00:02:36.000 --> 00:02:42.000]  就剛剛四個主日就到聖誕節
[00:02:42.000 --> 00:02:44.000]  其實坦白說
[00:02:44.000 --> 00:02:46.000]  剛才你也聽到
[00:02:46.000 --> 00:02:52.000]  聖誕節的日子都不是準確的
[00:02:52.000 --> 00:02:54.000]  這樣說好像不是很好
[00:02:54.000 --> 00:02:56.000]  我們香港人是很明白的
[00:02:56.000 --> 00:03:00.000]  因為以前是殖民地的年代
[00:03:00.000 --> 00:03:04.000]  我們有英女皇壽辰
[00:03:04.000 --> 00:03:06.000]  小時候很緊張的
[00:03:06.000 --> 00:03:09.000]  因為是否公眾假期 我忘記了
[00:03:09.000 --> 00:03:14.000]  是學校假期 是公眾假期 是勞工假期
[00:03:14.000 --> 00:03:18.000]  很複雜的 香港的計算方法
[00:03:18.000 --> 00:03:20.000]  英女皇壽辰
[00:03:20.000 --> 00:03:21.000]  你知道嗎
[00:03:21.000 --> 00:03:24.000]  這個其實不是她生日的日子
[00:03:24.000 --> 00:03:26.000]  這樣也可以
[00:03:26.000 --> 00:03:27.000]  不準確
[00:03:27.000 --> 00:03:33.000]  這個是她的官方慶祝的日子
[00:03:33.000 --> 00:03:37.000]  她自己生日那天是在家裡慶祝的
[00:03:37.000 --> 00:03:38.000]  有分的
[00:03:38.000 --> 00:03:42.000]  所以耶穌降生的聖誕節
[00:03:42.000 --> 00:03:44.000]  不要說不準確
[00:03:44.000 --> 00:03:47.000]  是官方慶祝的日子
[00:03:47.000 --> 00:03:50.000]  為甚麼選這天呢
[00:03:50.000 --> 00:03:52.000]  有聖經學者提醒我們
[00:03:52.000 --> 00:03:55.000]  在伯利恆之野地裡
[00:03:55.000 --> 00:03:59.000]  有牧羊的人夜間
[00:03:59.000 --> 00:04:03.000]  按著金翅看守羊群
[00:04:03.000 --> 00:04:05.000]  12月25日
[00:04:06.000 --> 00:04:07.000]  很冷的
[00:04:07.000 --> 00:04:13.000]  牧羊人不會在野外看守羊群的
[00:04:13.000 --> 00:04:14.000]  是不是呢
[00:04:14.000 --> 00:04:20.000]  這樣的討論其實就不是很準確
[00:04:20.000 --> 00:04:24.000]  因為教會找這一天是有意思的
[00:04:24.000 --> 00:04:28.000]  這個官方的日子其實是有意思的
[00:04:28.000 --> 00:04:34.000]  當然耶穌復活節就容易計算很多了
[00:04:34.000 --> 00:04:38.000]  因為聖經的記載告訴我們
[00:04:38.000 --> 00:04:42.000]  這個是猶太人的逾越節
[00:04:42.000 --> 00:04:46.000]  逾越節是可以計算得到的
[00:04:46.000 --> 00:04:49.000]  不過就不是陽曆
[00:04:49.000 --> 00:04:51.000]  就是陰曆
[00:04:51.000 --> 00:04:55.000]  按照月圓月索去計算
[00:04:55.000 --> 00:04:57.000]  這個不是我們今天要討論的
[00:04:57.000 --> 00:04:59.000]  聖誕節是怎麼來的呢
[00:04:59.000 --> 00:05:12.000]  其實是羅馬帝國慶祝他們的太陽神阿波羅的聖日
[00:05:12.000 --> 00:05:17.000]  羅馬帝國是尊崇阿波羅太陽神
[00:05:17.000 --> 00:05:21.000]  為什麼會在12月25日呢
[00:05:21.000 --> 00:05:23.000]  因為當時的曆法
[00:05:23.000 --> 00:05:25.000]  這次真的計算錯了
[00:05:25.000 --> 00:05:33.000]  他們認為25日在12月就是一年裏面最短的一天
[00:05:33.000 --> 00:05:36.000]  今天我們知道不是嗎 你知不知道
[00:05:36.000 --> 00:05:39.000]  最短的一天是冬至 是不是
[00:05:39.000 --> 00:05:45.000]  是21日 這個我們大家有常識讀地理中學就知道的
[00:05:45.000 --> 00:05:52.000]  春分夏至秋分冬至四個的節齡
[00:05:52.000 --> 00:05:54.000]  羅馬帝國計算錯了
[00:05:54.000 --> 00:05:57.000]  當時的天文學沒有這麼發達
[00:05:57.000 --> 00:06:04.000]  所以他們錯誤地認為25日不是21日才是最短的一天
[00:06:04.000 --> 00:06:07.000]  所以他們認為從那天開始
[00:06:07.000 --> 00:06:16.000]  太陽照地球的時間就開始越來越長了
[00:06:16.000 --> 00:06:20.000]  所以他們選擇了12月25日
[00:06:20.000 --> 00:06:24.000]  照這個道理他們應該選擇12月21日
[00:06:24.000 --> 00:06:28.000]  我們的聖誕節在哪天呢
[00:06:28.000 --> 00:06:30.000]  東正教會
[00:06:30.000 --> 00:06:36.000]  不是歐洲西方的羅馬大公教會
[00:06:36.000 --> 00:06:41.000]  是希臘東正教會他們的聖誕節是在7月6日
[00:06:41.000 --> 00:06:44.000]  你聽過嗎 我不知道
[00:06:44.000 --> 00:06:50.000]  所以這個不是一個很準確的計算
[00:06:50.000 --> 00:06:56.000]  所以張林祺由11月底開始計算
[00:06:56.000 --> 00:06:59.000]  準不準確的這個不是問題
[00:06:59.000 --> 00:07:02.000]  不如我們回到聖經
