
[00:00:00.000 --> 00:00:05.920]  我相信我們在這兩個星期裏面
[00:00:05.920 --> 00:00:07.920]  大家都會很關注
[00:00:07.920 --> 00:00:10.160]  在20世紀、21世紀
[00:00:10.160 --> 00:00:13.640]  神所興起的這個佈道家葛培禮
[00:00:13.640 --> 00:00:16.440]  葛培禮他在50年代
[00:00:16.440 --> 00:00:19.160]  上一個世紀的時候 神興起
[00:00:19.160 --> 00:00:22.280]  一直侍奉到99歲
[00:00:22.280 --> 00:00:25.280]  當他在99歲生日的時候
[00:00:25.280 --> 00:00:28.600]  他最後一次公開的
[00:00:28.600 --> 00:00:31.600]  在這個聚會裏面祈禱
[00:00:31.600 --> 00:00:33.480]  那時候99歲
[00:00:33.480 --> 00:00:36.120]  差不多經過一個世紀的人生
[00:00:36.120 --> 00:00:38.840]  見過很多的風風雨雨
[00:00:38.840 --> 00:00:40.520]  在他的禱告文裏面
[00:00:40.520 --> 00:00:43.720]  他怎樣為基督徒祈禱呢?
[00:00:43.720 --> 00:00:45.880]  怎樣為我們祈禱呢?
[00:00:45.880 --> 00:00:47.280]  他這樣說
[00:00:47.280 --> 00:00:50.320]  他說我經常禱告
[00:00:50.320 --> 00:00:55.680]  祈求上帝賜予我們屬靈的醒覺
[00:00:55.680 --> 00:01:00.720]  屬靈的醒覺
[00:01:00.720 --> 00:01:02.720]  屬靈的警覺
[00:01:02.720 --> 00:01:05.280]  我認為這個是可以達到的
[00:01:05.280 --> 00:01:07.280]  只要我們每個人願意
[00:01:07.280 --> 00:01:09.280]  將我們的生命
[00:01:09.280 --> 00:01:13.760]  再次再次馴服給基督
[00:01:13.760 --> 00:01:16.080]  這個是他最後一次
[00:01:16.080 --> 00:01:18.080]  99歲生日的時候
[00:01:18.080 --> 00:01:22.880]  來祈禱 過幾個月主又將他接回天家
[00:01:22.880 --> 00:01:26.640]  他希望我們每一個基督徒
[00:01:26.640 --> 00:01:29.920]  能夠有一個復甦
[00:01:29.920 --> 00:01:31.920]  不是沉睡
[00:01:31.920 --> 00:01:34.880]  不是沉夢在我們的生活裏面
