
[00:00:00.000 --> 00:00:03.000]  請我們再一次同心和同祈禱
[00:00:03.000 --> 00:00:04.500]  主父我們再一次感謝祢
[00:00:04.500 --> 00:00:10.200]  給祢寶貴的話語去提醒、渲敏、督責、改變我們
[00:00:10.200 --> 00:00:13.900]  求聖靈藉著祢的話語在我們心裏面動功
[00:00:13.900 --> 00:00:15.900]  做祢所做的工作
[00:00:15.900 --> 00:00:18.700]  以致我們踏出這個教堂門口
[00:00:18.700 --> 00:00:20.500]  我們已經不同了
[00:00:20.500 --> 00:00:22.600]  求祢祝福、保守我們每位
[00:00:22.600 --> 00:00:25.600]  祈禱奉耶穌基督命求 阿們
[00:00:27.300 --> 00:00:34.500]  美國侯斯頓警局經過很多年的案件和經驗
[00:00:34.500 --> 00:00:37.300]  它就做了一個報告
[00:00:37.300 --> 00:00:40.300]  與其說是報告不如說是一個警告
[00:00:40.300 --> 00:00:44.000]  它提出有十二個途徑
[00:00:44.000 --> 00:00:49.900]  可以訓練到你的子女將來成為問題青年
[00:00:49.900 --> 00:00:51.500]  「拐仔拐女」
[00:00:51.500 --> 00:00:55.200]  如果你想你的子女變壞做「拐仔拐女」
[00:00:55.200 --> 00:00:58.200]  跟著這十二條秘方去做
[00:00:58.200 --> 00:01:00.800]  就雖不中亦不遠矣
[00:01:00.800 --> 00:01:03.500]  這十二個大的條件是什麼呢?
[00:01:03.500 --> 00:01:07.600]  第一 你的子女要什麼你就給什麼
[00:01:07.600 --> 00:01:10.100]  等到她長大之後就覺得
[00:01:10.100 --> 00:01:12.600]  世界上一切的東西都是應份的
[00:01:12.600 --> 00:01:16.400]  不需要付任何努力和代價去取得的
[00:01:16.400 --> 00:01:19.500]  這個所謂「應份」在今天這個社會裏面
[00:01:19.500 --> 00:01:22.600]  我們青少年人是非常流行的
[00:01:22.600 --> 00:01:26.000]  第二 當子女說一些成人說話
[00:01:26.000 --> 00:01:28.000]  污言穢語
[00:01:28.000 --> 00:01:33.500]  你就會覺得這個身份仔很有趣
[00:01:33.500 --> 00:01:36.300]  很成熟 不加制止
[00:01:36.300 --> 00:01:39.100]  將來就完全沒有紀律了
[00:01:39.100 --> 00:01:43.100]  第三 千萬不要跟她說屬靈的教訓
[00:01:43.100 --> 00:01:46.800]  等到她二十一歲的時候才由她自己去決定
[00:01:46.800 --> 00:01:49.800]  第四 不要指責她的錯處
[00:01:49.800 --> 00:01:51.600]  引起她發生內疚
[00:01:51.600 --> 00:01:53.800]  這樣的時候 她的犯罪
[00:01:53.800 --> 00:01:58.000]  就會將責任交在別人身上
[00:01:58.000 --> 00:02:01.300]  子女不收拾東西 搞得亂七八糟
[00:02:01.300 --> 00:02:02.800]  一於說去動牢
[00:02:02.800 --> 00:02:06.000]  叫他們不知道什麼叫做責任感
[00:02:06.000 --> 00:02:09.200]  尤其是我們中國人的父母是最流行的
[00:02:09.200 --> 00:02:13.200]  子女的玩具搞得亂七八糟
[00:02:13.200 --> 00:02:16.000]  雖然你罵 但一直罵你 一直給你收拾
[00:02:16.000 --> 00:02:20.700]  我又不明白 要不你罵
[00:02:20.700 --> 00:02:23.900]  你就不要收拾 你收拾就不要吵
[00:02:23.900 --> 00:02:27.200]  最好由她自己收拾
[00:02:27.200 --> 00:02:30.800]  第六 父母呢
[00:02:30.800 --> 00:02:33.400]  子女見到父母喜歡看什麼電視
[00:02:33.400 --> 00:02:35.600]  上什麼網 由他做
[00:02:35.600 --> 00:02:39.200]  等到他的垃圾全部塞進腦袋裏面
[00:02:39.200 --> 00:02:43.400]  第七 父母吵架 相爭
[00:02:43.400 --> 00:02:47.900]  最重要是在子女面前大吵大鬧
[00:02:47.900 --> 00:02:50.400]  甚至拖著她下水
[00:02:50.400 --> 00:02:53.300]  讓她支持你 讓她看慣了之後
[00:02:53.300 --> 00:02:55.200]  心裏有預備 將來離婚
[00:02:55.200 --> 00:02:58.200]  她都不會覺得太過詫異
[00:02:58.200 --> 00:03:00.700]  第八 有求必應
[00:03:00.700 --> 00:03:03.900]  子女伸手問你拿錢 從不堆瓷
[00:03:03.900 --> 00:03:07.700]  有求必應 亦都是訓練到她將來
[00:03:07.700 --> 00:03:10.300]  不需要付任何的勞力
[00:03:10.300 --> 00:03:13.700]  第九 他們喜歡吃什麼就給他吃
[00:03:13.700 --> 00:03:15.700]  喝什麼就給他喝
[00:03:15.700 --> 00:03:19.900]  任他拿取來滿足他自己
[00:03:19.900 --> 00:03:26.500]  第十 如果有些老師 論社 警察
[00:03:26.500 --> 00:03:28.800]  和他有衝突的時候
[00:03:28.800 --> 00:03:30.900]  千萬不要罵你的子女
[00:03:30.900 --> 00:03:32.700]  一於說是別人的錯
[00:03:32.700 --> 00:03:35.200]  保持他的自尊
[00:03:35.200 --> 00:03:39.000]  第十一 當你的子女有麻煩的時候
[00:03:39.000 --> 00:03:42.400]  你就和他出頭 和他道歉
[00:03:42.400 --> 00:03:44.900]  或者指責別人的錯處
[00:03:44.900 --> 00:03:49.000]  永遠是等他站在你後面
[00:03:49.000 --> 00:03:54.000]  第十二 上上提醒和教導他
[00:03:54.000 --> 00:03:58.000]  這個世界是不公平的 是自私的
[00:03:58.000 --> 00:04:03.000]  如果要生存 你就要自己親一下身
[00:04:03.000 --> 00:04:05.200]  如果你跟著這十二點去做
[00:04:05.200 --> 00:04:09.200]  教你的子女 根據侯斯頓警局說
[00:04:09.200 --> 00:04:13.400]  你的子女變成「拐子拐女」
[00:04:13.400 --> 00:04:17.900]  機會超過90%
[00:04:17.900 --> 00:04:20.400]  其實你看看這十二點
[00:04:20.400 --> 00:04:22.900]  一言蔽之 一句話就說完了
[00:04:22.900 --> 00:04:27.900]  沒有紀律 沒有責任
[00:04:27.900 --> 00:04:32.600]  做事沒有付出後果 沒有枉管
[00:04:32.600 --> 00:04:36.600]  如果子女在這樣的家庭裡長大
[00:04:36.600 --> 00:04:41.000]  他不變壞真的是一個很大的神蹟
[00:04:41.000 --> 00:04:43.400]  如果你說在家庭是這樣
[00:04:43.400 --> 00:04:45.200]  教會一樣是
[00:04:45.200 --> 00:04:48.300]  如果教會是沒有紀律 不講責任
[00:04:48.300 --> 00:04:49.900]  沒有規矩 沒有舉動
[00:04:49.900 --> 00:04:51.500]  喜歡做什麼就做什麼
[00:04:51.500 --> 00:04:54.800]  做錯不需要承受任何的後果
[00:04:54.800 --> 00:04:59.300]  這個教會肯定不是一個健康的教會
[00:04:59.300 --> 00:05:02.100]  我誠心告訴你
[00:05:02.100 --> 00:05:04.800]  教會有三大特點
[00:05:04.800 --> 00:05:07.200]  教會所稱為教會
[00:05:07.200 --> 00:05:10.200]  是一定存在這三個特色
[00:05:10.200 --> 00:05:12.500]  如果教會沒有這三個特色的時候
[00:05:12.500 --> 00:05:14.400]  它不是一個教會
[00:05:14.400 --> 00:05:18.800]  第一 這個教會一定以神的話語來做中心
[00:05:18.800 --> 00:05:21.900]  如果這個教會不再講神的話語
[00:05:21.900 --> 00:05:24.000]  是講政治 講其他東西的時候
[00:05:24.000 --> 00:05:26.000]  這個不是教會
[00:05:26.000 --> 00:05:29.400]  第二 這個教會有些聖禮
[00:05:29.400 --> 00:05:32.100]  洗禮 聖餐
[00:05:32.100 --> 00:05:34.400]  如果教會沒有聖餐 沒有洗禮
[00:05:34.400 --> 00:05:35.900]  沒有這些聖禮的時候
[00:05:35.900 --> 00:05:37.300]  這個教會只是一個團體
