
[00:00:00.000 --> 00:00:03.800]  各位聽眾姐妹們平安
[00:00:03.800 --> 00:00:10.320]  我們今天來到耶穌的旅程的最後一站了
[00:00:10.320 --> 00:00:13.880]  過去好幾星期我們都集中分享了
[00:00:13.880 --> 00:00:15.800]  耶穌由加利利出發
[00:00:15.800 --> 00:00:18.400]  一直去到耶路撒冷的旅程
[00:00:18.400 --> 00:00:22.000]  今天我們叫做《善惡團有篇》
[00:00:22.000 --> 00:00:23.760]  在這個旅程裡面
[00:00:23.760 --> 00:00:25.840]  耶穌說的最後一個比喻
[00:00:25.840 --> 00:00:27.120]  相信十分重要
[00:00:27.120 --> 00:00:31.040]  他用這個比喻來做他的旅程的結束
[00:00:31.040 --> 00:00:34.120]  這個比喻就是有關於大家都很熟悉的
[00:00:34.120 --> 00:00:39.720]  三個僕人的結局或者下場
[00:00:39.720 --> 00:00:42.320]  但是我想在介紹這三個之前
[00:00:42.320 --> 00:00:46.520]  我和你介紹一個你可能沒有那麼熟悉的
[00:00:46.520 --> 00:00:47.520]  大家看完之後
[00:00:47.520 --> 00:00:48.760]  第一個可能你會覺得
[00:00:48.760 --> 00:00:50.680]  咦?會覺得它不值得
[00:00:50.680 --> 00:00:53.120]  這個僕人很辛苦的
[00:00:53.120 --> 00:00:55.400]  為什麼這麼辛苦的一個僕人
[00:00:55.400 --> 00:00:58.760]  是獲得不了稱贊的?
[00:00:58.760 --> 00:01:02.880]  我先和你一起看路加福音17章7到10節
[00:01:02.880 --> 00:01:05.040]  是這樣介紹這個僕人的
[00:01:05.040 --> 00:01:06.040]  當耶穌說
[00:01:06.040 --> 00:01:11.120]  你們誰有僕人耕田、耕地或者放羊
[00:01:11.120 --> 00:01:12.840]  從田裡回來
[00:01:12.840 --> 00:01:13.960]  就對他說
[00:01:13.960 --> 00:01:16.920]  你快點坐下吃飯吧
[00:01:16.920 --> 00:01:18.200]  豈不是和他說
[00:01:18.200 --> 00:01:19.920]  你給我預備晚飯
[00:01:19.920 --> 00:01:22.080]  搓上帶子侍候我
[00:01:22.080 --> 00:01:24.040]  等我吃喝完了
[00:01:24.040 --> 00:01:26.080]  然後你才吃呢?
[00:01:26.080 --> 00:01:27.240]  第九節
[00:01:27.240 --> 00:01:29.040]  僕人就照吩咐去做
[00:01:29.040 --> 00:01:32.800]  然後主人難道還要多謝他?
[00:01:32.800 --> 00:01:33.520]  第十節
[00:01:33.520 --> 00:01:34.160]  這樣
[00:01:34.160 --> 00:01:36.920]  你們做完了一切所吩咐的
[00:01:36.920 --> 00:01:40.560]  只當說我們是無用的僕人
[00:01:40.560 --> 00:01:41.600]  所做的
[00:01:41.600 --> 00:01:44.440]  本是我們應份做的
[00:01:44.440 --> 00:01:46.280]  大家有沒有聽過這段經文?
[00:01:46.280 --> 00:01:47.000]  有吧?
[00:01:47.000 --> 00:01:48.760]  最熟悉的是不是第十節?
[00:01:48.760 --> 00:01:50.120]  就是說只當說
[00:01:50.120 --> 00:01:52.040]  我們是無用的僕人
[00:01:52.040 --> 00:01:53.040]  所做的
[00:01:53.040 --> 00:01:56.440]  本是我們應份做的
[00:01:56.440 --> 00:01:57.920]  但當大家看的時候
[00:01:57.920 --> 00:01:59.880]  你會不會覺得這個僕人
[00:01:59.880 --> 00:02:02.600]  真的無用呢?
[00:02:02.600 --> 00:02:03.520]  你會不會呢?
[00:02:03.520 --> 00:02:05.640]  我們來看看他怎樣無用
[00:02:05.640 --> 00:02:07.080]  第七節
[00:02:07.080 --> 00:02:08.480]  這個僕人要做什麼呢?
[00:02:08.480 --> 00:02:13.000]  要耕地、放羊、從田裡回來
[00:02:13.000 --> 00:02:16.040]  他一大清早就走出去工作
[00:02:16.040 --> 00:02:17.120]  如果之前你有聽
[00:02:17.120 --> 00:02:18.720]  牧羊人
[00:02:18.720 --> 00:02:22.320]  他幾乎四點半、五點就要開工了
[00:02:22.320 --> 00:02:23.960]  四、五點開工
[00:02:23.960 --> 00:02:25.840]  然後做了一整天工作
[00:02:25.840 --> 00:02:27.360]  是辛苦的
[00:02:27.360 --> 00:02:28.160]  如果叫你
[00:02:28.160 --> 00:02:29.280]  不要說要開工
[00:02:29.280 --> 00:02:30.360]  去田裡
[00:02:30.360 --> 00:02:32.560]  叫你站一天、曬一天
[00:02:32.560 --> 00:02:34.160]  你都辛苦
[00:02:34.160 --> 00:02:34.960]  但第八節
[00:02:34.960 --> 00:02:36.000]  耶穌說
[00:02:36.000 --> 00:02:37.200]  竟然說
[00:02:37.200 --> 00:02:38.360]  豈不對他說
[00:02:38.360 --> 00:02:40.960]  你要我為主人預備晚飯
[00:02:40.960 --> 00:02:42.880]  速上帶子侍候我
[00:02:42.880 --> 00:02:43.960]  等我吃完
[00:02:43.960 --> 00:02:46.000]  你先吃吧
[00:02:46.000 --> 00:02:47.600]  一回到家
[00:02:47.600 --> 00:02:48.560]  主人馬上就說
[00:02:48.560 --> 00:02:50.360]  請你煮飯
[00:02:50.360 --> 00:02:53.240]  煮完還要在旁邊服侍我
[00:02:53.240 --> 00:02:55.640]  可能還要斟茶遞水
[00:02:55.640 --> 00:02:57.440]  當主人吃完飯之後
[00:02:57.440 --> 00:02:59.520]  做僕人才可以再吃
[00:02:59.520 --> 00:03:01.400]  其實可能未必可以吃的
[00:03:01.400 --> 00:03:03.320]  其實他身兼了多少職
[00:03:03.320 --> 00:03:06.360]  他至少包括牧羊人
[00:03:06.360 --> 00:03:08.320]  或者農夫
[00:03:08.320 --> 00:03:10.360]  或者之後要搖身一變
[00:03:10.360 --> 00:03:12.360]  成為大廚
[00:03:12.360 --> 00:03:15.520]  之後再變成為侍應
[00:03:15.520 --> 00:03:20.800]  之後再變成洗碗大廚
[00:03:20.800 --> 00:03:22.040]  他做了那麼多事情
[00:03:22.040 --> 00:03:24.560]  如果那時候有工會
[00:03:24.560 --> 00:03:26.280]  應該罷工了
[00:03:26.280 --> 00:03:27.560]  要做那麼多事情
[00:03:27.560 --> 00:03:29.160]  他做得那麼辛苦
[00:03:29.160 --> 00:03:30.280]  他最想拿到什麼呢?
[00:03:30.280 --> 00:03:33.600]  你猜猜
[00:03:33.600 --> 00:03:35.600]  加薪吧
[00:03:35.600 --> 00:03:36.080]  你說
[00:03:36.080 --> 00:03:37.760]  我沒有那麼侍他
[00:03:37.760 --> 00:03:39.320]  我做得那麼辛苦
[00:03:39.320 --> 00:03:40.560]  僕心僕命
[00:03:40.560 --> 00:03:43.200]  我只是想他說句謝謝而已
[00:03:43.200 --> 00:03:45.600]  這個你經常和子女說的
[00:03:45.600 --> 00:03:46.400]  是吧?
[00:03:46.400 --> 00:03:48.600]  就是說:是啊
[00:03:48.600 --> 00:03:50.560]  多謝有沒有呢?
[00:03:50.560 --> 00:03:51.480]  沒有
[00:03:51.480 --> 00:03:52.680]  第九節
