
[00:00:00.000 --> 00:00:10.000]  在馬太福音第五章第八節裏面記載了一句大家很熟悉的經文
[00:00:10.000 --> 00:00:17.400]  叫做溫柔的人有福了 因為他們必承受地土
[00:00:17.400 --> 00:00:21.000]  不知道你讀到其中這一句的時候
[00:00:21.000 --> 00:00:27.000]  溫柔和承受地土兩者之間有什麼關係
[00:00:27.000 --> 00:00:36.000]  今天我們會一起和大家一起看馬太福音第21章從第12節至17節的經文
[00:00:36.000 --> 00:00:45.000]  我希望透過承接我們上星期開始看耶穌基督給了一個溫柔的侍奉的呼召
[00:00:45.000 --> 00:00:48.000]  我們如何去領受這個呼召之後
[00:00:48.000 --> 00:00:54.000]  和往後的日子我們如何和上帝建立這份宿命的關係
[00:00:54.000 --> 00:00:59.000]  我希望透過這一點來一同了解
[00:00:59.000 --> 00:01:06.000]  首先我們去看一下究竟什麼叫做溫柔的意義
[00:01:06.000 --> 00:01:17.000]  很多人對溫柔的理解就是溫柔是代表著一個人手無搏擊之力的代名詞
[00:01:17.000 --> 00:01:32.000]  所以上星期我們談論到耶穌承接了撒加利亞先知第九章第九節的溫柔呼召進入耶路撒冷城
[00:01:32.000 --> 00:01:40.000]  這段經文我們解釋的都是耶穌很威風地進入耶路撒冷城
[00:01:40.000 --> 00:01:53.000]  但其實馬太福音是故意把耶穌的很多人以為很架勢堂進入耶路撒冷的圖畫放得很低調
[00:01:53.000 --> 00:02:06.000]  相反來說是強調用這兩隻的奴和奴隨來反映承接在舊約先知所指導的溫柔呼召
[00:02:06.000 --> 00:02:15.000]  耶穌基督來到這個世界不是來爭奪任何屬勢的權力
[00:02:15.000 --> 00:02:23.000]  相反耶穌來到這個世界是要顯出祂溫柔的屬靈的生命
[00:02:23.000 --> 00:02:38.000]  讓我們看到耶穌的表現在地上活著的時候面對世界每一件事的取態是怎樣
[00:02:38.000 --> 00:02:44.000]  有些信徒會問:黃牧師你既然這樣說
[00:02:44.000 --> 00:02:51.000]  是否指我們作為基督徒在這個世界要任人糟蹋呢?
[00:02:51.000 --> 00:02:55.000]  打不還手罵不還口呢?
[00:02:55.000 --> 00:03:09.000]  甚至有些人指出這個會不會和耶穌基督無理地被釘在十字架上的場景只是一個表演的層次呢?
[00:03:09.000 --> 00:03:19.000]  今天我希望藉著這段聖經總括一個清楚的信息給大家知道
[00:03:19.000 --> 00:03:34.000]  耶穌在救恩的工作上目的不是為了自己得到什麼人的擁戴
[00:03:34.000 --> 00:03:39.000]  也不是單純為了人可以跟從他
[00:03:39.000 --> 00:03:41.000]  有個群眾
[00:03:41.000 --> 00:03:46.000]  其實耶穌最重要的是回應父神的心願
[00:03:46.000 --> 00:03:53.000]  父神從頭到尾都想人從罪中脫離出來
[00:03:53.000 --> 00:03:56.000]  究竟這個過程是怎樣脫離呢?
[00:03:56.000 --> 00:04:06.000]  我們一起去看看耶穌如何在進入耶路撒冷之後所面對的一件事件
[00:04:06.000 --> 00:04:10.000]  有很多信徒說:黃牧師你又解錯經了
[00:04:10.000 --> 00:04:13.000]  因為耶穌似乎不溫柔
[00:04:13.000 --> 00:04:16.000]  我們一起去看看這段聖經說什麼
[00:04:16.000 --> 00:04:20.000]  我們一起打開馬太福音21章12-17節
[00:04:20.000 --> 00:04:27.000]  一段很出名的經文叫做潔淨聖殿的經文
[00:04:27.000 --> 00:04:30.000]  在大家的和合本都用這個標題
[00:04:30.000 --> 00:04:32.000]  耶穌潔淨聖殿
[00:04:32.000 --> 00:04:36.000]  我們看看做什麼事有什麼動機
[00:04:36.000 --> 00:04:37.000]  怎樣去做
[00:04:37.000 --> 00:04:39.000]  就成為了我們今天怎樣做信徒
[00:04:39.000 --> 00:04:42.000]  在這個溫柔的呼召之下怎樣去實踐
[00:04:42.000 --> 00:04:44.000]  我們一起讀吧
[00:04:45.000 --> 00:04:48.000]  耶穌進了神的殿
[00:04:48.000 --> 00:04:51.000]  講出殿裡一切做買賣的人
[00:04:51.000 --> 00:04:58.000]  推倒兌換銀錢之人的桌子和賣甲子之人的凳子
[00:04:58.000 --> 00:05:02.000]  對他們說:經上記著說
[00:05:02.000 --> 00:05:05.000]  我的殿便稱為禱告的殿
[00:05:05.000 --> 00:05:09.000]  你們倒使他成為賊窩了
[00:05:09.000 --> 00:05:12.000]  在殿裡有盒子
[00:05:12.000 --> 00:05:15.000]  強指到耶穌庚前
[00:05:15.000 --> 00:05:17.000]  他們就治好他們
[00:05:17.000 --> 00:05:22.000]  祭司長和民士看見耶穌所行的奇事
[00:05:22.000 --> 00:05:26.000]  又見小孩子在殿裡喊著說
[00:05:26.000 --> 00:05:29.000]  和瑟那歸於大衛的子孫
[00:05:29.000 --> 00:05:32.000]  就甚牢牢對他說
[00:05:32.000 --> 00:05:36.000]  這些人所說的你聽見了嗎
[00:05:36.000 --> 00:05:38.000]  耶穌說:是的
[00:05:38.000 --> 00:05:45.000]  經上說:你從英械和赫拉的口中完全了讚美的話
[00:05:45.000 --> 00:05:47.000]  你們會有念過嗎
[00:05:47.000 --> 00:05:49.000]  於是離開他們
[00:05:49.000 --> 00:05:52.000]  出城到巴大尼去
[00:05:52.000 --> 00:05:54.000]  在那裡住宿
[00:05:54.000 --> 00:05:56.000]  這句經文大家很熟悉
[00:05:56.000 --> 00:06:00.000]  不過熟悉就寫在熟悉頭那幾句
[00:06:00.000 --> 00:06:03.000]  特別第十二十三
[00:06:03.000 --> 00:06:06.000]  加上十三節的下半節
[00:06:06.000 --> 00:06:08.000]  頂佬叻俊
[00:06:08.000 --> 00:06:10.000]  去到第十四節
[00:06:10.000 --> 00:06:13.000]  我們專注看這段聖經
[00:06:13.000 --> 00:06:16.000]  耶穌搞反枱
[00:06:16.000 --> 00:06:19.000]  何牧師你當然是解錯經了
[00:06:19.000 --> 00:06:22.000]  你剛剛說耶穌承接了一個溫柔的呼召
[00:06:22.000 --> 00:06:25.000]  馬太說用那兩隻腿的顱和顱骨來象徵著
[00:06:25.000 --> 00:06:28.000]  撒加利亞先知九章第九節那個溫柔的呼召
[00:06:28.000 --> 00:06:30.000]  全部似乎不是
[00:06:30.000 --> 00:06:33.000]  耶穌很兇猛
[00:06:33.000 --> 00:06:36.000]  如果這樣想
[00:06:36.000 --> 00:06:39.000]  有兩個可能性
[00:06:39.000 --> 00:06:41.000]  一
[00:06:41.000 --> 00:06:44.000]  很自然不過你想問清楚
[00:06:44.000 --> 00:06:47.000]  究竟這個溫柔的呼召是怎樣
[00:06:47.000 --> 00:06:50.000]  或者另一個可能性
[00:06:50.000 --> 00:06:53.000]  你根本不相信耶穌在馬太福音的記載之下
[00:06:53.000 --> 00:06:56.000]  是想呼召進入溫柔的呼召
[00:06:56.000 --> 00:06:59.000]  我們反而覺得我們要在這個世界上
[00:06:59.000 --> 00:07:02.000]  爭取搞多點運動
[00:07:02.000 --> 00:07:05.000]  搞一些抗爭
[00:07:05.000 --> 00:07:08.000]  這個應該是基督徒的行為
[00:07:08.000 --> 00:07:11.000]  何牧師你錯了
[00:07:11.000 --> 00:07:14.000]  的而且確很多教會的目者是用後者去解釋
[00:07:14.000 --> 00:07:17.000]  而引申了很多現在這個世界基督徒參加的活動
[00:07:17.000 --> 00:07:20.000]  特別是基督教其中有一個
[00:07:20.000 --> 00:07:23.000]  很典型的流派叫
[00:07:23.000 --> 00:07:26.000]  Liberation Theology
[00:07:26.000 --> 00:07:29.000]  釋放的神學觀
[00:07:29.000 --> 00:07:32.000]  什麼叫釋放或者解放神學觀
[00:07:32.000 --> 00:07:35.000]  覺得基督徒在這個世界要解放
[00:07:35.000 --> 00:07:38.000]  所有不公的事要進行抗爭
[00:07:38.000 --> 00:07:41.000]  聖經不是這樣解釋
[00:07:41.000 --> 00:07:44.000]  甚至耶穌也不鼓勵我們這樣做
[00:07:44.000 --> 00:07:47.000]  耶穌和這段聖經
[00:07:47.000 --> 00:07:50.000]  和黃牧師說的話好像不是很對稱
[00:07:50.000 --> 00:07:53.000]  為什麼?我們拭目以待
[00:07:53.000 --> 00:07:56.000]  那些虛心的大英姐妹
[00:07:56.000 --> 00:07:59.000]  留心看第一件事
[00:07:59.000 --> 00:08:02.000]  我會分為兩大部分和大家一起看
[00:08:02.000 --> 00:08:05.000]  第一部分溫柔在真理之下的剛毅
[00:08:05.000 --> 00:08:08.000]  從第十二節到第十三節
[00:08:08.000 --> 00:08:11.000]  The strength of gentleness
[00:08:11.000 --> 00:08:14.000]  under the truth of the Lord
