
[00:00:00.000 --> 00:00:12.000]  大家都很趕 比較吃力 但是我們追尋神自己的恩典
[00:00:12.000 --> 00:00:16.000]  和我們親近神都是值得我們花一些時間的
[00:00:16.000 --> 00:00:25.000]  我們下午我就不打領帶了 好不好 大家可以輕鬆一點
[00:00:25.000 --> 00:00:32.000]  一會兒我還要說崇拜 崇拜我們打領帶
[00:00:32.000 --> 00:00:41.000]  剛才我們有些問題 不過我們都試一下 先直落說一些
[00:00:41.000 --> 00:00:45.000]  見到大家開始打瞌睡 我們就找些問題大家討論一下
[00:00:45.000 --> 00:00:49.000]  精神一點 好不好 下午辛苦的
[00:00:49.000 --> 00:00:59.000]  我們現在第三節我想和大家說東正教的靈修學
[00:00:59.000 --> 00:01:06.000]  不過剛才我們結束之後 有姐妹特別提醒我
[00:01:06.000 --> 00:01:11.000]  好像你還沒有說天主教靈修學的弱點在哪裡
[00:01:11.000 --> 00:01:17.000]  我覺得應該說一下 因為天主教靈修學都有它的弱點
[00:01:17.000 --> 00:01:27.000]  它的長處就是比較靜的 長時間的在禱告裡面經歷神自己
[00:01:27.000 --> 00:01:31.000]  而禱告的經歷不一定是聖經裡面那種
[00:01:31.000 --> 00:01:36.000]  剛才我們第一節所說的那種和神一種動態上的
[00:01:36.000 --> 00:01:41.000]  日常生活裡面那種和神對話式的經歷
[00:01:41.000 --> 00:01:46.000]  而是比較內斂的一個警戒式的經歷
[00:01:46.000 --> 00:01:57.000]  這個我們說是比較接近東方的中國的那種靜修式的經歷
[00:01:57.000 --> 00:02:05.000]  因為它是一個修院裡面孕育出來的一個靈修學
[00:02:05.000 --> 00:02:13.000]  這個靈修學也有它自己的獨特的值得我們去考慮的地方
[00:02:13.000 --> 00:02:18.000]  剛才我們說到它追尋一種很深刻的和神聯合的警戒
[00:02:18.000 --> 00:02:24.000]  那種警戒就是一般我們 尤其是我們一般基督教會
[00:02:24.000 --> 00:02:26.000]  所謂基督教會就是基督新教的教會
[00:02:26.000 --> 00:02:31.000]  我們比如說環教會就比較少有這種這麼深度的
[00:02:31.000 --> 00:02:36.000]  和神之間那種親切的關係的體會
