
[00:00:00.000 --> 00:00:06.000]  各位朋友 各位正兄姊妹 平安
[00:00:06.000 --> 00:00:12.000]  今天的题目是贵宾就是你
[00:00:12.000 --> 00:00:14.500]  大家有没有去过饮酒啊?
[00:00:14.500 --> 00:00:20.800]  有啊 你去过最大的筵席是摆多少桌子啊?
[00:00:20.800 --> 00:00:22.240]  一百桌子
[00:00:22.240 --> 00:00:25.040]  我听有些人说他结婚的时候
[00:00:25.040 --> 00:00:28.400]  是整间酒楼摆四层的
[00:00:28.400 --> 00:00:30.400]  我说你敬酒不是要走很久吗?
[00:00:30.400 --> 00:00:32.960]  他说是啊 开席已经开始敬酒了
[00:00:32.960 --> 00:00:36.520]  敬到尾 敬完都已经是要送客了
[00:00:36.520 --> 00:00:39.480]  哇 很盛大的婚宴
[00:00:39.480 --> 00:00:41.120]  问大家一个假设性的问题
[00:00:41.120 --> 00:00:46.000]  大家知不知道下个月英国有个很出名的人结婚了
[00:00:46.000 --> 00:00:48.720]  谁啊?哈利王子
[00:00:48.720 --> 00:00:49.880]  哈利王子结婚了
[00:00:49.880 --> 00:00:54.040]  那些人就很心急知道请哪个贵宾去呢?
[00:00:54.040 --> 00:00:56.400]  请哪个去呢?
[00:00:56.400 --> 00:00:59.600]  结果他说我们决定
[00:00:59.600 --> 00:01:02.000]  所有的政要都不请
[00:01:02.000 --> 00:01:06.640]  他说明我们不请特朗普
[00:01:06.640 --> 00:01:09.840]  不请和他有交情的奥巴马
[00:01:09.840 --> 00:01:13.400]  就连英国首相文翠珊都不请
[00:01:13.400 --> 00:01:15.840]  哇 你都觉得很惊讶
[00:01:15.840 --> 00:01:17.240]  那些人说你请谁呢?
[00:01:17.240 --> 00:01:19.360]  他就说因为座位有限
[00:01:19.360 --> 00:01:21.640]  我们请600人
[00:01:21.640 --> 00:01:22.280]  请600人
[00:01:22.280 --> 00:01:23.840]  好了 问题来了
[00:01:23.840 --> 00:01:27.440]  如果你收到他的请柬
[00:01:27.440 --> 00:01:31.040]  因为他说上两个星期已经陆续寄出600个请柬了
[00:01:31.040 --> 00:01:33.160]  如果你收到请柬
[00:01:33.160 --> 00:01:35.080]  你去不去?
[00:01:35.080 --> 00:01:36.680]  去!
[00:01:36.680 --> 00:01:38.360]  蕭sir去!
[00:01:38.360 --> 00:01:39.800]  我都去!
[00:01:39.800 --> 00:01:41.800]  虽然我未至于收到请柬
[00:01:41.800 --> 00:01:42.480]  立刻拍一张照片
[00:01:42.480 --> 00:01:44.320]  然后发推特给特朗普说
[00:01:44.320 --> 00:01:45.120]  我有得去
[00:01:45.120 --> 00:01:46.480]  你没得去
[00:01:46.480 --> 00:01:47.520]  虽然我未至于这样
[00:01:47.520 --> 00:01:50.120]  但是见识一下也好嘛
[00:01:50.120 --> 00:01:51.520]  见识一下也好嘛
[00:01:51.520 --> 00:01:52.560]  是不是?
[00:01:52.560 --> 00:01:58.320]  那这个RSVP大家知道是什么意思吗?
[00:01:58.320 --> 00:02:00.240]  原来是法文
[00:02:00.240 --> 00:02:00.880]  是啦
[00:02:00.880 --> 00:02:03.560]  Respondez, s'il vous plaît
[00:02:03.560 --> 00:02:05.520]  应该读得不准的
[00:02:05.520 --> 00:02:06.880]  但这个原来是法文
[00:02:06.880 --> 00:02:08.960]  就是说Please respond
[00:02:08.960 --> 00:02:10.880]  请你回应
[00:02:10.880 --> 00:02:11.800]  好了
[00:02:11.800 --> 00:02:15.200]  请不请你是王子的决定
[00:02:15.200 --> 00:02:19.200]  回应他是你的决定
[00:02:19.200 --> 00:02:20.480]  今天我们一起去思考
[00:02:20.480 --> 00:02:23.720]  耶稣说这次大的筵席
[00:02:23.720 --> 00:02:25.480]  祂要请很多人
[00:02:25.480 --> 00:02:29.120]  但竟然有人临时说不去
[00:02:29.120 --> 00:02:30.600]  而他们的理由
[00:02:30.600 --> 00:02:31.880]  一会儿你听听
[00:02:31.880 --> 00:02:34.320]  看看究竟合不合理
[00:02:34.320 --> 00:02:36.280]  但是当他们推迟完之后
[00:02:36.280 --> 00:02:37.520]  一切都说不去
[00:02:37.520 --> 00:02:38.760]  推迟完之后
[00:02:38.760 --> 00:02:41.320]  竟然主人又给了一个
[00:02:41.320 --> 00:02:44.800]  你觉得很难理解的邀请
[00:02:44.800 --> 00:02:46.480]  为什么有这么好的恩典
[00:02:46.480 --> 00:02:47.640]  去给一些人
[00:02:47.640 --> 00:02:49.360]  原来今天耶稣说这个比喻
[00:02:49.360 --> 00:02:51.440]  是给我们每一个人听
[00:02:51.440 --> 00:02:53.040]  包括信了
[00:02:53.040 --> 00:02:54.480]  还没信的我们
[00:02:54.480 --> 00:02:55.800]  如果要说这个筵席
[00:02:55.800 --> 00:02:57.600]  我们就由这一餐
[00:02:57.600 --> 00:03:01.160]  背脊骨落的晚宴说起
[00:03:01.160 --> 00:03:03.320]  有时候都挺喜欢广东话的
[00:03:03.320 --> 00:03:07.840]  背脊骨落是什么意思?
[00:03:07.840 --> 00:03:10.800]  就是吃起来也不畅快
[00:03:10.800 --> 00:03:12.360]  虽然很不合生理
[00:03:12.360 --> 00:03:14.760]  没有人可以在背脊骨落食物
[00:03:14.760 --> 00:03:15.840]  但是一说你就明白
[00:03:15.840 --> 00:03:16.840]  究竟这一餐饭
[00:03:16.840 --> 00:03:19.360]  是谁的背脊骨落呢?
[00:03:19.360 --> 00:03:20.640]  因为耶稣有一天
[00:03:20.640 --> 00:03:21.640]  他们就像我们一样
[00:03:21.640 --> 00:03:23.080]  敬拜完之后
[00:03:23.080 --> 00:03:24.960]  接着就有个领袖
[00:03:24.960 --> 00:03:25.600]  法尼塞人
[00:03:25.600 --> 00:03:26.280]  有个领袖说
[00:03:26.280 --> 00:03:28.360]  耶稣,我请你吃饭
[00:03:28.360 --> 00:03:31.040]  中间还有很多宾客
[00:03:31.040 --> 00:03:33.040]  耶稣就去吧
[00:03:33.040 --> 00:03:34.440]  本来应该是开心的
[00:03:34.440 --> 00:03:35.040]  有得吃
[00:03:35.040 --> 00:03:37.120]  还一定是好东西吃
[00:03:37.120 --> 00:03:38.200]  原本应该是这样
[00:03:38.200 --> 00:03:39.840]  但是原来那一餐饭里面
[00:03:39.840 --> 00:03:43.000]  每个人都有不同的主意
[00:03:43.000 --> 00:03:45.880]  每个人心里面都有一本像
[00:03:45.880 --> 00:03:47.360]  有些人是想
[00:03:47.360 --> 00:03:48.800]  好像刚才圣经所说
[00:03:48.800 --> 00:03:50.880]  十四章一节路加福音
[00:03:50.880 --> 00:03:51.640]  他说安息日
[00:03:51.640 --> 00:03:55.320]  耶稣去到一个法尼塞人的首领家里吃饭
[00:03:55.320 --> 00:03:58.440]  他们想窥探耶稣
[00:03:58.440 --> 00:03:59.960]  什么叫窥探?
[00:03:59.960 --> 00:04:02.160]  就是想捉他的错处
[00:04:02.160 --> 00:04:03.360]  想一边聊天的时候
[00:04:03.360 --> 00:04:05.200]  就留意着他
[00:04:05.200 --> 00:04:07.280]  因为他是耶稣的敌人
[00:04:07.280 --> 00:04:10.560]  法尼塞人很想捉到耶稣的出错
[00:04:10.560 --> 00:04:11.960]  耶稣很大方
[00:04:11.960 --> 00:04:14.720]  祂知道那些人是想找祂的错处
[00:04:14.720 --> 00:04:16.920]  祂偏偏做了一些事
[00:04:16.920 --> 00:04:18.400]  去让他们看
[00:04:18.400 --> 00:04:21.400]  刚刚有一个患了水蛊的人经过
[00:04:21.400 --> 00:04:22.480]  在圣经里面
[00:04:22.480 --> 00:04:23.520]  水蛊是什么呢?
[00:04:23.520 --> 00:04:27.360]  其实现在的叫法叫做关节积水病
[00:04:27.360 --> 00:04:29.400]  是一个很严重的病人经过
[00:04:29.400 --> 00:04:30.880]  然后耶稣就地取材
[00:04:30.880 --> 00:04:32.320]  就问那些法尼塞人
[00:04:32.320 --> 00:04:33.720]  这个病人
[00:04:33.720 --> 00:04:34.680]  我想问你们
[00:04:34.680 --> 00:04:36.520]  在安息日治病
[00:04:36.520 --> 00:04:38.360]  行不行?
[00:04:38.360 --> 00:04:39.840]  安息日治病
[00:04:39.840 --> 00:04:40.960]  行不行?
[00:04:40.960 --> 00:04:44.960]  结果那帮领袖不出声
[00:04:44.960 --> 00:04:46.800]  然后耶稣见他们不出声
[00:04:46.800 --> 00:04:48.480]  耶稣再进逼
[00:04:48.480 --> 00:04:49.520]  然后祂说
[00:04:49.520 --> 00:04:50.880]  有哪一个
[00:04:50.880 --> 00:04:52.360]  如果你看到
[00:04:52.360 --> 00:04:54.280]  你的驴或者牛
[00:04:54.280 --> 00:04:55.720]  掉到井里面
[00:04:55.720 --> 00:04:57.680]  你不拉他上来?
[00:04:57.680 --> 00:04:59.480]  你难道跟那只驴说
[00:04:59.480 --> 00:05:00.840]  安息日
[00:05:00.840 --> 00:05:02.080]  你等我一晚
[00:05:02.080 --> 00:05:03.360]  撑着
[00:05:03.360 --> 00:05:04.080]  不会
