
[00:00:00.000 --> 00:00:04.000]  我們決定這個聖誕節的信息系列
[00:00:04.000 --> 00:00:08.000]  就是以剛才我們曾經讀過的其中一節聖經
[00:00:08.000 --> 00:00:10.000]  以賽亞書第九章第六節
[00:00:10.000 --> 00:00:14.000]  很出名的那一節的聖經
[00:00:14.000 --> 00:00:16.000]  作為我們的主題
[00:00:16.000 --> 00:00:17.000]  是來發揮
[00:00:17.000 --> 00:00:19.000]  以後這幾個星期
[00:00:19.000 --> 00:00:21.000]  都是由這一句的聖經
[00:00:21.000 --> 00:00:23.000]  我們發揮出去的主題
[00:00:23.000 --> 00:00:25.000]  這一節聖經
[00:00:25.000 --> 00:00:28.000]  我相信是基督徒都會比較熟悉
[00:00:28.000 --> 00:00:30.000]  是舊約裏面
[00:00:30.000 --> 00:00:34.000]  以賽亞是關於要來的
[00:00:34.000 --> 00:00:37.000]  尼賽亞的語言的描述
[00:00:37.000 --> 00:00:39.000]  尼賽亞語言的描述
[00:00:39.000 --> 00:00:41.000]  好 我們一齊打開我們這個
[00:00:41.000 --> 00:00:43.000]  港道的大綱
[00:00:43.000 --> 00:00:45.000]  看到和大家一起
[00:00:45.000 --> 00:00:47.000]  我們一起再讀一次第九章第六節
[00:00:47.000 --> 00:00:48.000]  好嗎
[00:00:48.000 --> 00:00:50.000]  好 一齊來
[00:00:50.000 --> 00:00:54.000]  因有一鷹孩為我們而生
[00:00:54.000 --> 00:00:56.000]  有一子賜給我們
[00:00:56.000 --> 00:01:00.000]  政權必擔在他的肩頭上
[00:01:00.000 --> 00:01:04.000]  他名稱為奇妙賊士
[00:01:04.000 --> 00:01:06.000]  全能的神
[00:01:06.000 --> 00:01:08.000]  永在的父
[00:01:08.000 --> 00:01:10.000]  和平的君
[00:01:10.000 --> 00:01:14.000]  這一節的經文
[00:01:14.000 --> 00:01:17.000]  當然就是和我們聖誕節
[00:01:17.000 --> 00:01:19.000]  是有關係的
[00:01:19.000 --> 00:01:21.000]  我在這裏講幾句
[00:01:21.000 --> 00:01:23.000]  然後才引入我們今天的主題
[00:01:23.000 --> 00:01:25.000]  今天我們主要是講
[00:01:25.000 --> 00:01:27.000]  奇妙賊士
[00:01:27.000 --> 00:01:32.000]  以賽亞書第九章第六節
[00:01:32.000 --> 00:01:34.000]  它重要的地方
[00:01:34.000 --> 00:01:36.000]  我想和大家
[00:01:36.000 --> 00:01:38.000]  是主要提出兩件事
[00:01:38.000 --> 00:01:40.000]  希望你這幾個禮拜都記住
[00:01:40.000 --> 00:01:44.000]  第一件事
[00:01:44.000 --> 00:01:46.000]  第九章第六節
[00:01:46.000 --> 00:01:49.000]  告訴我們聖誕節
[00:01:49.000 --> 00:01:51.000]  是禮物來的
[00:01:51.000 --> 00:01:54.000]  那我想很多弟兄姊妹都應該
[00:01:54.000 --> 00:01:56.000]  聖誕節當然是送禮
[00:01:56.000 --> 00:01:58.000]  買了很多禮物
[00:01:58.000 --> 00:02:00.000]  可能你已經趁機
[00:02:00.000 --> 00:02:02.000]  聖誕節
[00:02:02.000 --> 00:02:04.000]  聖誕禮物
[00:02:04.000 --> 00:02:06.000]  其實這個意念
[00:02:06.000 --> 00:02:08.000]  在這一節裏面就很清楚
[00:02:08.000 --> 00:02:10.000]  聖誕節有禮物送給我們
[00:02:10.000 --> 00:02:12.000]  不過這次聖經說
[00:02:12.000 --> 00:02:16.000]  是神賜給我們每一個人的禮物
[00:02:16.000 --> 00:02:18.000]  送給你的禮物
[00:02:18.000 --> 00:02:20.000]  這個禮物
[00:02:20.000 --> 00:02:22.000]  這個聖誕的禮物是甚麼呢
[00:02:22.000 --> 00:02:24.000]  是一個人
[00:02:24.000 --> 00:02:26.000]  這個很清楚
[00:02:26.000 --> 00:02:28.000]  因有一億孩為我們而生
[00:02:28.000 --> 00:02:30.000]  有一紙次級的撻門
[00:02:30.000 --> 00:02:32.000]  送給他們
[00:02:32.000 --> 00:02:34.000]  是送給我們
[00:02:34.000 --> 00:02:36.000]  送給你的
[00:02:36.000 --> 00:02:38.000]  所以記得這個聖誕節
[00:02:38.000 --> 00:02:40.000]  你可能會收一些聖誕禮物
[00:02:40.000 --> 00:02:42.000]  你又會送出聖誕禮物
