
[00:00:00.000 --> 00:00:05.400]  天父 我們懷著一個歡喜快樂的心
[00:00:05.400 --> 00:00:07.000]  來到你的話語面前
[00:00:07.000 --> 00:00:09.540]  我知道這些話語是這位
[00:00:09.540 --> 00:00:13.000]  創造天地宇宙萬物永生神
[00:00:13.000 --> 00:00:14.500]  向我們講話
[00:00:14.500 --> 00:00:17.000]  雖然我們未必全部明白
[00:00:17.000 --> 00:00:18.840]  你話語裡面的奧秘
[00:00:18.840 --> 00:00:20.500]  但是求主你幫助我們
[00:00:20.500 --> 00:00:22.300]  叫我們打開我們的心
[00:00:22.300 --> 00:00:25.400]  我們願意來查考你的話語
[00:00:25.400 --> 00:00:27.200]  願意聽從你的話語
[00:00:27.200 --> 00:00:29.000]  願意遵守你的話語
[00:00:29.000 --> 00:00:31.800]  求聖靈在這裡做帶領的工作
[00:00:31.800 --> 00:00:34.200]  你向我們每一個人的心裡儲寡
[00:00:34.200 --> 00:00:36.200]  我們祈禱鳳主耶穌基督命求
[00:00:36.200 --> 00:00:37.200]  是嗎?
[00:00:37.200 --> 00:00:43.700]  今晚我們去到五世結書第29章了
[00:00:43.700 --> 00:00:46.600]  我雖然這裡寫的是29至到32
[00:00:46.600 --> 00:00:48.400]  但是其實我們今晚
[00:00:48.400 --> 00:00:52.100]  就只能夠29和30章而已
[00:00:52.100 --> 00:00:55.300]  但是29至到32
[00:00:55.300 --> 00:00:59.800]  都是講同一個外方的民族
[00:00:59.800 --> 00:01:02.500]  我們過去一直這幾次查
[00:01:02.500 --> 00:01:07.100]  就是查神怎樣來對待
[00:01:07.100 --> 00:01:11.900]  或者對付那些在以色列周圍的民族
[00:01:11.900 --> 00:01:15.100]  上一次我們查了三章
[00:01:15.100 --> 00:01:18.100]  都是講推羅和西敦
[00:01:18.100 --> 00:01:19.000]  是嗎?
[00:01:19.000 --> 00:01:20.200]  我們上一次說
[00:01:20.200 --> 00:01:21.300]  我們都不是很明白
[00:01:21.300 --> 00:01:23.600]  為什麼神要用三章
[00:01:23.600 --> 00:01:26.200]  來講推羅和西敦
[00:01:26.200 --> 00:01:28.700]  推羅和西敦雖然在新約
[00:01:28.700 --> 00:01:30.600]  在舊約都有出現
[00:01:30.600 --> 00:01:32.400]  但是那個關係似乎
[00:01:32.400 --> 00:01:35.700]  不是和以色列人這麼密切的
[00:01:35.700 --> 00:01:38.400]  但是這次延續這四章
[00:01:38.400 --> 00:01:40.400]  今晚我們查兩章的
