
[00:00:00.000 --> 00:00:05.360]  各位大圈子妹各位朋友你們好
[00:00:05.360 --> 00:00:08.080]  歡迎大家參加我們三藩市播道會
[00:00:08.080 --> 00:00:10.080]  網上的五堂崇拜
[00:00:10.080 --> 00:00:14.480]  今回我們繼續思想論盡人生這個系列
[00:00:14.480 --> 00:00:18.080]  題目叫做人有悲歡離合
[00:00:18.080 --> 00:00:23.040]  經文記載在詩篇第八篇三節至四節
[00:00:23.040 --> 00:00:26.880]  以及傳道書第三章第一節至十五節
[00:00:26.880 --> 00:00:29.440]  未開始思想這段四篇之前
[00:00:29.440 --> 00:00:31.440]  請同心低頭和我禱告
[00:00:31.440 --> 00:00:33.440]  慈悲人一主父
[00:00:33.440 --> 00:00:35.440]  我們滿心感謝你
[00:00:35.440 --> 00:00:41.440]  感謝你雖然在這個世界上有苦難
[00:00:41.440 --> 00:00:45.440]  但在你裏面有平安有盼望
[00:00:45.440 --> 00:00:53.440]  求你藉著你的話語去提醒、勸勉、教導、安慰、督教我們
[00:00:53.440 --> 00:00:57.440]  以至在我們的生命裏面活得有意義
[00:00:57.440 --> 00:00:59.440]  我們祈禱那是奉耶穌基督的律法
[00:00:59.440 --> 00:01:01.440]  阿們
[00:01:01.440 --> 00:01:06.440]  明月幾時有?把酒聞青天
[00:01:06.440 --> 00:01:10.440]  不知天上宮歇,今夕是何年?
[00:01:10.440 --> 00:01:16.440]  我欲乘風歸去,猶恐瓊樓欲雨,高處不勝寒
[00:01:16.440 --> 00:01:20.440]  豈慕弄清影,何始在人間?
[00:01:20.440 --> 00:01:24.440]  轉諸葛,低耳胡,照霧眠
[00:01:24.440 --> 00:01:28.440]  不應有恨,何事長向別事遠?
[00:01:28.440 --> 00:01:34.440]  人有悲歡離合,月有陰晴圓缺
[00:01:34.440 --> 00:01:41.440]  此事古難存,但願人長久,千里降禪涓
[00:01:41.440 --> 00:01:48.440]  宋多波這首水調歌堂明月幾時有?是千古名篇
[00:01:48.440 --> 00:01:53.440]  幾乎大部分的中國人都懂得這首詞
[00:01:53.440 --> 00:02:01.440]  雖然不能背誦整首詞,但最後五句似乎皆知行文
[00:02:01.440 --> 00:02:06.440]  人有悲歡離合,月有陰晴圓缺
[00:02:06.440 --> 00:02:12.440]  此事古難存,但願人長久,千里降禪涓
[00:02:12.440 --> 00:02:18.440]  這首詞前面有宋多波寫法
[00:02:18.440 --> 00:02:26.440]  秉辰中秋,歡飲達旦,大醉作此篇,兼懷梓游
[00:02:26.440 --> 00:02:31.440]  寫在中秋節時,飲酒飲到大醉
[00:02:31.440 --> 00:02:36.440]  寫了這首詩送給弟弟蘇梓游
[00:02:36.440 --> 00:02:41.440]  如果要明白這首詞的意思,就要看看寫作的背景
[00:02:41.440 --> 00:02:47.440]  在1065年底,宋多波的太太王佛不言離世
[00:02:47.440 --> 00:02:51.440]  這對宋多波打擊極大
[00:02:51.440 --> 00:02:56.440]  他十年後仍記掛著他的外妻,寫另一首名詞
[00:02:56.440 --> 00:03:04.440]  「十年生死兩茫茫,不思量自難忘,千里孤墳,無處話妻良」
[00:03:04.440 --> 00:03:11.440]  1066年,他父親蘇洵亦告去世
[00:03:11.440 --> 00:03:18.440]  宋多波將他們送回鄉下眉州
[00:03:18.440 --> 00:03:24.440]  1071年,黃安石變法,朝廷分為兩派,新黨舊黨
[00:03:24.440 --> 00:03:29.440]  贊同變法稱新黨,反對變法稱舊黨
[00:03:29.440 --> 00:03:33.440]  這是中國歷史中的一件大事
[00:03:33.440 --> 00:03:37.440]  宋多波在政治上不贊成黃安石變法的措施
[00:03:37.440 --> 00:03:42.440]  亦因此成為舊黨核心人物,捲入黨派鬥爭
[00:03:42.440 --> 00:03:45.440]  令他感到非常非常厭倦
[00:03:45.440 --> 00:03:50.440]  於是在1971年,他主動辭職,不再在朝廷做官
[00:03:50.440 --> 00:03:53.440]  要求去地方做地方官
[00:03:53.440 --> 00:03:57.440]  於是朝廷任命他做杭州通盤
[00:03:57.440 --> 00:04:02.440]  到1074年又改辦到密州做地方官
[00:04:02.440 --> 00:04:08.440]  1076年中秋,太太和父親都死去
[00:04:08.440 --> 00:04:12.440]  做官又不順利,被貶往遠處的密州
[00:04:12.440 --> 00:04:16.440]  在官場上常常陷於人事糾纏
