
[00:00:00.000 --> 00:00:05.240]  今天教會給大家的題目是「團圓」
[00:00:05.240 --> 00:00:08.000]  可能在新春期間
[00:00:08.000 --> 00:00:12.600]  下星期也是年宵團圓的時間
[00:00:12.600 --> 00:00:16.720]  一家人一起可以開開心心的過年
[00:00:16.720 --> 00:00:19.200]  的確是一個很大的福氣
[00:00:19.200 --> 00:00:21.200]  我最近看了一篇文章
[00:00:21.200 --> 00:00:24.880]  是在Time Magazine的一篇文章
[00:00:24.880 --> 00:00:30.360]  那篇文章就說到有一個美國機構
[00:00:30.360 --> 00:00:33.000]  研究下有一個問題
[00:00:33.000 --> 00:00:36.120]  為什麼這麼多青少年會自殺呢?
[00:00:36.120 --> 00:00:39.920]  那些文章我歸納為兩個問題
[00:00:39.920 --> 00:00:40.920]  我看看大家有什麼反應
[00:00:40.920 --> 00:00:44.040]  看看和這個調查結果是不是相同的
[00:00:44.040 --> 00:00:45.720]  他們調查之後
[00:00:45.720 --> 00:00:48.000]  或者我將它總結為兩個問題
[00:00:48.000 --> 00:00:49.080]  第一個問題就是
[00:00:49.080 --> 00:00:52.960]  那些人選擇自殺是因為不開心
[00:00:52.960 --> 00:00:54.240]  你覺得是不是呢?
[00:00:54.240 --> 00:00:57.080]  不開心自殺
[00:00:57.080 --> 00:00:58.560]  你覺得是不是這個原因呢?
[00:00:58.560 --> 00:01:00.360]  是不是呢?
[00:01:00.360 --> 00:01:01.960]  給點反應行不行?
[00:01:01.960 --> 00:01:06.960]  第二個問題就是
[00:01:06.960 --> 00:01:14.440]  如果一個人能夠做他自己喜歡做什麼就做什麼
[00:01:14.440 --> 00:01:16.040]  就會很快樂的了
[00:01:16.040 --> 00:01:17.040]  是不是呢?
[00:01:17.040 --> 00:01:19.840]  是不是呢?
[00:01:19.840 --> 00:01:22.160]  好像有些不同反應
[00:01:22.160 --> 00:01:27.280]  不過這個調查可能令你們有些意外的
[00:01:27.280 --> 00:01:28.280]  第一個問題
[00:01:28.280 --> 00:01:33.680]  他發現年輕人也好成年人也好自殺的原因
[00:01:33.680 --> 00:01:35.680]  不是因為不開心
[00:01:35.680 --> 00:01:38.040]  是不是很奇怪呢?
[00:01:38.040 --> 00:01:39.240]  是不是很奇怪呢?
[00:01:39.240 --> 00:01:41.240]  第二個問題
[00:01:41.240 --> 00:01:42.240]  就是剛才我問的
[00:01:42.240 --> 00:01:46.560]  這個調查裡面是不是做什麼就等於開心呢?
[00:01:46.560 --> 00:01:48.160]  答案都是不是的
[00:01:48.160 --> 00:01:50.840]  我試一下很簡單的表達一下
[00:01:50.840 --> 00:01:53.680]  他說原來有個分別的
[00:01:53.680 --> 00:01:59.800]  快樂和滿足是兩回事
[00:01:59.800 --> 00:02:03.240]  什麼叫快樂?
[00:02:03.240 --> 00:02:04.760]  什麼叫滿足呢?
[00:02:04.760 --> 00:02:07.640]  我試一下在今天有限的時間裡
[00:02:07.640 --> 00:02:09.920]  用一些比較淺白的方法說
[00:02:09.920 --> 00:02:11.640]  什麼叫快樂呢?
[00:02:11.640 --> 00:02:13.440]  大概就是快樂了
[00:02:13.440 --> 00:02:16.600]  我剛剛去了溫哥華
[00:02:16.600 --> 00:02:20.880]  幾年前吃溫哥華的皇帝蟹
[00:02:20.880 --> 00:02:22.880]  是十幾塊加幣一磅的
[00:02:22.880 --> 00:02:26.360]  到我這次去的時候是四十塊一磅的
[00:02:26.360 --> 00:02:31.440]  因為我們很多同胞很光顧這件事
[00:02:31.440 --> 00:02:33.800]  所以就變成越做越貴了
[00:02:33.800 --> 00:02:35.080]  四十塊一磅
[00:02:35.080 --> 00:02:36.440]  我當然捨不得吃
[00:02:36.440 --> 00:02:37.040]  有人請我吃
[00:02:37.040 --> 00:02:40.040]  我很快樂
[00:02:40.040 --> 00:02:43.600]  這間酒樓也算是公道的了
[00:02:43.600 --> 00:02:48.720]  五磅多的皇帝蟹
[00:02:48.720 --> 00:02:52.320]  不過快樂就不等於滿足
[00:02:52.320 --> 00:02:53.600]  什麼叫滿足呢?
[00:02:53.600 --> 00:02:56.200]  我試一下用一些比較淺白的方法說
[00:02:56.200 --> 00:02:59.200]  滿足是什麼呢?
[00:02:59.200 --> 00:03:00.720]  這個就是滿足了
[00:03:00.720 --> 00:03:04.000]  我只有四個孫子
[00:03:04.000 --> 00:03:06.600]  我女兒還沒到三十歲就有四個小孩了
[00:03:06.600 --> 00:03:09.920]  小小的四個
[00:03:09.920 --> 00:03:11.920]  我用一張利是準備一下
[00:03:11.920 --> 00:03:13.920]  我有四個孫子
[00:03:13.920 --> 00:03:15.920]  再簡單一點說
[00:03:15.920 --> 00:03:19.920]  我們當中很多人農曆年的時候會回家吃飯
[00:03:19.920 --> 00:03:21.920]  你會發現一個很有趣的問題
[00:03:21.920 --> 00:03:26.920]  就是那些媽媽、父母在家裡煮一大餐
[00:03:26.920 --> 00:03:28.920]  有時候我覺得很不公道
[00:03:28.920 --> 00:03:30.920]  就是跟那些小朋友說回來吃飯吧
[00:03:30.920 --> 00:03:31.920]  回來吃飯
[00:03:31.920 --> 00:03:33.920]  好像求什麼都要求他們回來
[00:03:33.920 --> 00:03:34.920]  回來吃飯而已
[00:03:34.920 --> 00:03:36.920]  回來吃飯都要求他們回來
[00:03:36.920 --> 00:03:39.920]  那些子女或孫子就說
[00:03:39.920 --> 00:03:40.920]  沒空了 煩的
