
[00:00:00.000 --> 00:00:03.000]  各位弟子們 早安
[00:00:03.000 --> 00:00:07.000]  多謝主給我機會繼續在大家當中分享神的話
[00:00:07.000 --> 00:00:10.000]  再次請大家叫我牧師
[00:00:10.000 --> 00:00:14.000]  多謝你們客氣
[00:00:14.000 --> 00:00:18.000]  我們的播道神學院傳統都是叫牧師
[00:00:18.000 --> 00:00:22.000]  麻煩你們叫我牧師 多謝你們客氣
[00:00:22.000 --> 00:00:28.000]  今天我和大家思想撒姆爾記上18章1到16節
[00:00:28.000 --> 00:00:32.000]  我預備的時候想將焦點收窄一點
[00:00:32.000 --> 00:00:36.000]  將題目改了一點 多謝主席幫我們更正了
[00:00:36.000 --> 00:00:41.000]  就是調教自己人生的友誼
[00:00:41.000 --> 00:00:45.000]  我不知道大家你的友誼情況如何
[00:00:45.000 --> 00:00:49.000]  你多不多朋友 多不多可以交心的朋友
[00:00:49.000 --> 00:00:55.000]  你覺不覺得年紀越大 真心的朋友越來越少
[00:00:55.000 --> 00:01:00.000]  其中一個原因就是如果你有20年好的朋友
[00:01:00.000 --> 00:01:05.000]  第20年之後的一天 鬧翻意見
[00:01:05.000 --> 00:01:09.000]  結果會怎樣呢
[00:01:09.000 --> 00:01:12.000]  20年原來蓋不住那天的鬧翻
[00:01:12.000 --> 00:01:14.000]  就停在鬧翻的意見那裡
[00:01:14.000 --> 00:01:18.000]  這樣說的話 我們人生的朋友只會越來越少
[00:01:18.000 --> 00:01:20.000]  因為總會有意見的
[00:01:20.000 --> 00:01:25.000]  我不知道這是不是 我希望在主裡面
[00:01:25.000 --> 00:01:28.000]  在教會裡面我們有不同的情況
[00:01:28.000 --> 00:01:32.000]  在主裡面我們可以有很豐富的友誼
[00:01:32.000 --> 00:01:35.000]  實際上在教會裡面如果你找不到真正的友誼
[00:01:35.000 --> 00:01:37.000]  你都很淒涼
[00:01:37.000 --> 00:01:41.000]  你會覺得教會裡面好像很難真正的投入
[00:01:41.000 --> 00:01:45.000]  當我們說很多屬靈的追求 教會裡面的侍奉
[00:01:45.000 --> 00:01:48.000]  但如果我們的友誼 在教會裡面的友誼
[00:01:48.000 --> 00:01:51.000]  不能夠很真實的建立的話
[00:01:51.000 --> 00:01:54.000]  其實我們所說的話都很難實踐
[00:01:54.000 --> 00:01:57.000]  所以我希望今天和大家一起來思想
[00:01:57.000 --> 00:02:01.000]  調教你人生的友誼
[00:02:01.000 --> 00:02:04.000]  其實在現代人裡面 我們有很多很多機會
[00:02:04.000 --> 00:02:10.000]  來溝通 來做朋友
[00:02:10.000 --> 00:02:15.000]  可不可以幫我轉個powerpoint
[00:02:15.000 --> 00:02:19.000]  是不是 還不行
[00:02:19.000 --> 00:02:23.000]  有人最近給了我一首打油詩
[00:02:23.000 --> 00:02:28.000]  然後我又將它配了一張照片
[00:02:28.000 --> 00:02:31.000]  還不行
[00:02:31.000 --> 00:02:34.000]  不好意思 可能有些問題要處理一下
[00:02:34.000 --> 00:02:37.000]  謝謝
[00:02:37.000 --> 00:02:40.000]  關先生跟我說他很怕走出來 因為他很謙卑
[00:02:40.000 --> 00:02:43.000]  他說在聚會時間盡量不要走出來
[00:02:43.000 --> 00:02:46.000]  我很欣賞他
[00:02:46.000 --> 00:02:51.000]  但為了幫助我的問題 他都甘願拋頭露面
[00:02:51.000 --> 00:02:54.000]  所以對不起
[00:02:54.000 --> 00:03:04.000]  謝謝
[00:03:04.000 --> 00:03:08.000]  我們教會裡面有很多弟兄姊妹彼此幫忙
[00:03:08.000 --> 00:03:11.000]  大家知不知道這張照片在哪裡拍的呢
[00:03:11.000 --> 00:03:15.000]  不是溫哥華 不是香港 是馬來西亞
[00:03:15.000 --> 00:03:21.000]  原來到處都是一樣的 吃飯的時候
[00:03:21.000 --> 00:03:25.000]  有沒有見過這樣的圖片 或者實際見過呢
[00:03:25.000 --> 00:03:28.000]  有人給了我一首打油詩
[00:03:28.000 --> 00:03:31.000]  他說打油詩是這樣的
[00:03:31.000 --> 00:03:35.000]  一機在手 天長地久
[00:03:35.000 --> 00:03:38.000]  你能不能反駁下面那兩句呢
[00:03:38.000 --> 00:03:45.000]  下面那兩句就說 機不在手 雲都沒有
[00:03:45.000 --> 00:03:47.000]  我不知道你同不同意
[00:03:47.000 --> 00:03:50.000]  特別是年輕人 成年人很多都是
[00:03:50.000 --> 00:03:53.000]  你可以不吃飯 但你不可以沒有手機
