
[00:00:00.000 --> 00:00:03.400]  我們再打開《使徒行傳》第九章
[00:00:03.400 --> 00:00:05.400]  剛才我們所讀的那段聖經
[00:00:05.400 --> 00:00:10.000]  在大家唐用聖經的新約139頁
[00:00:10.000 --> 00:00:13.000]  《使徒行傳》第九章
[00:00:13.000 --> 00:00:15.200]  我們剛才讀的那段聖經
[00:00:15.200 --> 00:00:17.200]  大家可能比較熟悉
[00:00:17.200 --> 00:00:19.800]  《使徒行傳》第九章
[00:00:19.800 --> 00:00:23.400]  記載了兩個人的經驗
[00:00:23.400 --> 00:00:25.200]  一個叫做掃羅
[00:00:25.200 --> 00:00:26.800]  就是後來我們很熟悉的
[00:00:26.800 --> 00:00:29.600]  信了耶穌之後叫做保羅
[00:00:29.600 --> 00:00:32.200]  所以待會我們就這樣用保羅算了
[00:00:32.200 --> 00:00:35.800]  容易大家比較想像
[00:00:35.800 --> 00:00:39.200]  我們接下來所理解的這位保羅
[00:00:39.200 --> 00:00:42.600]  另外一位叫做阿拿尼亞
[00:00:42.600 --> 00:00:44.000]  大家沒有那麼熟悉的
[00:00:44.000 --> 00:00:47.800]  主教一個門徒叫做阿拿尼亞
[00:00:47.800 --> 00:00:50.200]  我們試一下從一個歷史的角度
[00:00:50.200 --> 00:00:51.600]  去回顧看的時候
[00:00:51.600 --> 00:00:54.200]  我們可以這麼大膽地說
[00:00:54.200 --> 00:00:56.200]  這兩個人
[00:00:56.200 --> 00:00:59.800]  這段聖經所說的經驗
[00:00:59.800 --> 00:01:04.200]  可以說是改變了基督教的歷史
[00:01:04.200 --> 00:01:09.800]  甚至我們可以說是改變了人類的歷史
[00:01:09.800 --> 00:01:13.800]  因為如果我們從一個歷史的角度來說
[00:01:13.800 --> 00:01:18.000]  耶穌基督開始出來傳道
[00:01:18.000 --> 00:01:21.600]  當然就是基督教的起始點
[00:01:21.600 --> 00:01:25.000]  但是如果從一個歷史的背景來看
[00:01:25.000 --> 00:01:28.000]  當時的耶穌基督和那幫門徒
[00:01:28.000 --> 00:01:33.200]  只不過是猶太教裡面一個反叛的小支派
[00:01:33.200 --> 00:01:34.400]  可以這麼說
[00:01:34.400 --> 00:01:38.400]  而猶太教在第一世紀的羅馬帝國裡面
