
[00:00:00.000 --> 00:00:07.280]  今天我們會講《使徒行傳》第十二章
[00:00:07.280 --> 00:00:09.200]  我給他的題目叫做
[00:00:09.200 --> 00:00:13.000]  在絕望或者是絕境之中的禱告
[00:00:13.000 --> 00:00:14.760]  很多時候我們都會覺得
[00:00:14.760 --> 00:00:18.920]  我們自己好像面臨絕境、面臨絕望
[00:00:18.920 --> 00:00:22.320]  禱告是變成了我們唯一的希望
[00:00:22.320 --> 00:00:25.440]  是我們唯一的途徑
[00:00:25.440 --> 00:00:28.400]  我們見到在《使徒行傳》的十二章
[00:00:28.400 --> 00:00:31.760]  講到彼得最後的一件事
[00:00:31.760 --> 00:00:36.280]  雖然在《使徒行傳》的十五章大公會
[00:00:36.280 --> 00:00:40.520]  彼得是會暫時出現很少的篇幅
[00:00:40.520 --> 00:00:43.480]  但是十二章之後在《使徒行傳》
[00:00:43.480 --> 00:00:45.800]  彼得就會引身而退
[00:00:45.800 --> 00:00:49.200]  我們見到保羅就會登場
[00:00:49.200 --> 00:00:53.400]  十三至二十八章都是有關保羅的事
[00:00:53.400 --> 00:00:55.360]  所以其實我們可以講
[00:00:55.360 --> 00:00:59.200]  講《使徒行傳》我們已經講了半部書
[00:00:59.200 --> 00:01:02.320]  就是一章至十二章是彼得的事
[00:01:02.320 --> 00:01:04.160]  我們今天會講完
[00:01:04.160 --> 00:01:07.960]  下一次就會開始講保羅的故事
[00:01:07.960 --> 00:01:12.840]  今天是記載了彼得被捕入獄
[00:01:12.840 --> 00:01:16.880]  神怎樣用神跡騎士救了他出來
[00:01:16.880 --> 00:01:21.240]  神的力量往往就在不可能的情形
[00:01:21.240 --> 00:01:23.840]  在絕境、絕望當中
[00:01:23.840 --> 00:01:26.520]  彰顯出他的榮耀
[00:01:26.520 --> 00:01:29.640]  彰顯出他的能力出來
[00:01:29.640 --> 00:01:33.720]  今天的經文是《使徒行傳》的十二章一節
[00:01:33.720 --> 00:01:36.440]  說那時希律王下手
[00:01:36.440 --> 00:01:39.840]  苦害教會中幾個人
[00:01:39.840 --> 00:01:42.800]  希律王是逮捕了幾個信徒
