
[00:00:00.000 --> 00:00:04.000]  聽大家之前有聽過這首歌嗎?
[00:00:04.000 --> 00:00:06.000]  比較新的吧?
[00:00:06.000 --> 00:00:08.000]  希望有機會可以一起再聽
[00:00:08.000 --> 00:00:10.000]  不過剛才有幾句歌詞
[00:00:10.000 --> 00:00:12.000]  我很深刻的
[00:00:12.000 --> 00:00:14.000]  究竟這個聖誕節的主角
[00:00:14.000 --> 00:00:18.000]  穿著紅衣
[00:00:18.000 --> 00:00:22.000]  好像今天姐妹戴上紅色帽子
[00:00:22.000 --> 00:00:26.000]  我相信都是從她那裡借回來的
[00:00:26.000 --> 00:00:30.000]  還是身穿粗衣麻布
[00:00:30.000 --> 00:00:34.000]  究竟她靜悄悄來到這個世界
[00:00:34.000 --> 00:00:36.000]  還是開著雪車
[00:00:36.000 --> 00:00:39.000]  然後又靜悄悄走了
[00:00:39.000 --> 00:00:45.000]  還是她應許一生懷抱我們
[00:00:45.000 --> 00:00:50.000]  究竟她賜下百千的還義
[00:00:50.000 --> 00:00:53.000]  可能給很多聖誕禮物
[00:00:53.000 --> 00:00:59.000]  還是她給我們的恩典是道路
[00:00:59.000 --> 00:01:02.000]  給我們的恩典是永恆
[00:01:02.000 --> 00:01:06.000]  究竟聖誕節真正的主角是誰呢?
[00:01:06.000 --> 00:01:11.000]  誰又是你心中今天的主角呢?
[00:01:11.000 --> 00:01:16.000]  耶穌降生的故事是這樣開始的
[00:01:16.000 --> 00:01:20.000]  剛才讀的聖經最震撼的那兩節經文
[00:01:20.000 --> 00:01:25.000]  並不是說有大隊的天使天君讚美上帝
[00:01:25.000 --> 00:01:28.000]  我相信最震撼的是這兩節
[00:01:28.000 --> 00:01:31.000]  天使對他們說:不要懼怕
[00:01:31.000 --> 00:01:35.000]  我報給你們大喜的信息是關乎萬民的
[00:01:35.000 --> 00:01:38.000]  因為今天在大衛的成呂為你們生了救主
[00:01:38.000 --> 00:01:40.000]  就是主基督
[00:01:40.000 --> 00:01:44.000]  又大喜的信息又關乎萬民
[00:01:44.000 --> 00:01:47.000]  又有救主又有基督
[00:01:47.000 --> 00:01:49.000]  對我們基督徒來說應該是很震撼
[00:01:49.000 --> 00:01:53.000]  但不知為何對這個世界一點都不震撼
[00:01:53.000 --> 00:01:55.000]  一直開車回來的時候
[00:01:55.000 --> 00:01:58.000]  聽到很多人播放很多首聖誕歌
[00:01:58.000 --> 00:02:02.000]  沒有人說過這個聖誕真正的主角
[00:02:02.000 --> 00:02:05.000]  沒有人說過究竟耶穌是誰呢?
[00:02:05.000 --> 00:02:09.000]  剛才祈禱弟兄都帶我們去思考
[00:02:09.000 --> 00:02:12.000]  究竟耶穌是一個怎樣的人
[00:02:12.000 --> 00:02:14.000]  原來認識了耶穌更加深
[00:02:14.000 --> 00:02:18.000]  我們的人生我們的體會會更加豐盛
[00:02:18.000 --> 00:02:22.000]  如果要認識耶穌就由舊約一個預言
[00:02:22.000 --> 00:02:25.000]  由很多千年開始說起
[00:02:25.000 --> 00:02:27.000]  以《創下書九章二節》說
[00:02:27.000 --> 00:02:30.000]  在黑暗裏行走
[00:02:30.000 --> 00:02:34.000]  有百姓突然看到很大的光
[00:02:34.000 --> 00:02:36.000]  很大的光
[00:02:36.000 --> 00:02:38.000]  他說住在死暗之地的人
[00:02:38.000 --> 00:02:41.000]  有光照耀他們
[00:02:41.000 --> 00:02:45.000]  繼續說因為有一個英雄為我們而生
[00:02:45.000 --> 00:02:47.000]  有一個子賜給我們
[00:02:47.000 --> 00:02:50.000]  政權會擔在他的肩頭上
[00:02:50.000 --> 00:02:52.000]  他的名稱為奇妙策士
[00:02:52.000 --> 00:02:56.000]  全能的神永在的父和平之君
[00:02:56.000 --> 00:02:59.000]  他的政權與平安必加增無窮
[00:02:59.000 --> 00:03:02.000]  他必在大衛的寶座上治理他的國
[00:03:02.000 --> 00:03:04.000]  以公平公義
[00:03:04.000 --> 00:03:06.000]  使國堅定穩固
[00:03:06.000 --> 00:03:08.000]  從今直到永遠
[00:03:08.000 --> 00:03:13.000]  萬君子耶和華的熱心必成就這事
[00:03:13.000 --> 00:03:16.000]  馬太夫人說當希律王的時候
[00:03:16.000 --> 00:03:18.000]  耶穌生在猶太的伯利恆
[00:03:18.000 --> 00:03:22.000]  有幾位博士在東方來耶路撒冷找他
[00:03:22.000 --> 00:03:27.000]  然後問那生下來作猶太人的王在哪裏
[00:03:27.000 --> 00:03:30.000]  我們在東方看到他的星
[00:03:30.000 --> 00:03:32.000]  特意來拜他
[00:03:32.000 --> 00:03:36.000]  剛剛以創下書提到那個大光
[00:03:36.000 --> 00:03:38.000]  和黑暗中行走的百姓
[00:03:38.000 --> 00:03:40.000]  就是馬太福音裏面說
[00:03:40.000 --> 00:03:43.000]  那幾位博士和那一粒
[00:03:43.000 --> 00:03:47.000]  一路引導他們去找耶穌的那顆星
[00:03:47.000 --> 00:03:52.000]  馬太方說這個星指引了博士去找耶穌的時候
[00:03:52.000 --> 00:03:55.000]  他們說他們聽見王的話
[00:03:55.000 --> 00:03:58.000]  因為王叫他們快點去找那個人
[00:03:58.000 --> 00:04:00.000]  因為我也想去拜他
[00:04:00.000 --> 00:04:03.000]  我們遲些就知道這個王是否真的想拜他
[00:04:03.000 --> 00:04:06.000]  然後他說在東方所見的那個星
[00:04:06.000 --> 00:04:09.000]  忽然在他們前頭走
[00:04:09.000 --> 00:04:13.000]  然後去到耶穌的地方停住了
[00:04:13.000 --> 00:04:19.000]  他們見到那個星就很歡喜去找耶穌
[00:04:19.000 --> 00:04:22.000]  耶穌出生的時候的背景是怎樣的呢?
[00:04:22.000 --> 00:04:24.000]  耶穌降生的時代
[00:04:24.000 --> 00:04:28.000]  正是凱撒奧古士都那段時間
[00:04:28.000 --> 00:04:34.000]  有一位叫做圖里勞斯去管治這個天下
