
[00:00:00.000 --> 00:00:06.680]  從聖經看當今教會與社會
[00:00:06.680 --> 00:00:11.240]  昨日下午我們從啟示錄21章
[00:00:11.240 --> 00:00:17.800]  我們說這是新舊約傳書
[00:00:17.800 --> 00:00:24.160]  聖經總結最後的一章
[00:00:24.160 --> 00:00:29.760]  天使給約翰見到的不是將來的新天新地
[00:00:29.760 --> 00:00:35.640]  是教會羔羊的身附
[00:00:35.640 --> 00:00:37.920]  不是將來的教會
[00:00:37.920 --> 00:00:43.680]  我們還是很橫梗勃逆
[00:00:43.680 --> 00:00:49.200]  讀聖經堅持我們一貫以來看的是正確
[00:00:49.200 --> 00:00:50.080]  不是
[00:00:50.080 --> 00:00:54.800]  約翰見到的聖城新耶路撒冷
[00:00:54.800 --> 00:01:00.680]  門上寫著十二支派的名字
[00:01:00.680 --> 00:01:03.760]  城牆的根基寫著的
[00:01:03.760 --> 00:01:04.760]  對不起
[00:01:04.760 --> 00:01:11.560]  不是我們剛才唱那首聖詩所說的教會唯一的根基
[00:01:11.560 --> 00:01:16.960]  那是維多利亞時期英國教會所寫的聖詩
[00:01:16.960 --> 00:01:24.040]  但是約翰在啟示錄天使給他見到的十二根基
[00:01:24.040 --> 00:01:30.560]  上面寫著的是羔羊十二使徒的名字
[00:01:30.560 --> 00:01:33.720]  我們又是一定的回應不配不配不配
[00:01:33.720 --> 00:01:37.560]  我的名字怎可以寫在教會的根基
[00:01:37.560 --> 00:01:39.960]  只有耶穌基督才配
[00:01:39.960 --> 00:01:44.760]  那我就要問權威在你的謙卑
[00:01:44.760 --> 00:01:48.360]  還是在聖經的說話
[00:01:48.360 --> 00:01:51.600]  聖經都是神所默示的這句話
[00:01:51.600 --> 00:01:54.640]  不是寫給那些未信耶穌的人聽的
[00:01:54.640 --> 00:01:57.320]  是寫給我們這些信了耶穌很久
[00:01:57.320 --> 00:01:58.920]  懂得讀聖經
[00:01:58.920 --> 00:02:02.640]  堅持我們認為聖經是這個意思
[00:02:02.640 --> 00:02:03.640]  不是
[00:02:03.640 --> 00:02:07.720]  新天新地只是背景
[00:02:07.720 --> 00:02:10.520]  都不是將來的
[00:02:10.520 --> 00:02:16.360]  啟示錄其實一直在說的是在碧白患難當中
[00:02:16.360 --> 00:02:19.400]  人所看到的教會
[00:02:19.400 --> 00:02:29.400]  天使幫助我們看到教會真正的事實
[00:02:29.400 --> 00:02:33.080]  不是榮耀的教會
[00:02:33.080 --> 00:02:35.280]  我們又橫行薄逸出來
[00:02:35.280 --> 00:02:39.360]  又出我們那些很熟悉的想法
[00:02:39.360 --> 00:02:40.200]  不是不是
[00:02:40.200 --> 00:02:43.360]  我們以為看到這個受碧白的教會
[00:02:43.360 --> 00:02:45.320]  見到異象一定是榮耀
[00:02:45.320 --> 00:02:46.320]  不是
[00:02:46.320 --> 00:02:48.400]  聖經給我們看到的是歷史
[00:02:48.400 --> 00:02:52.880]  是上帝在歷史當中
[00:02:52.880 --> 00:02:57.240]  祂怎樣呼召十二支派
[00:02:57.240 --> 00:03:00.880]  祂怎樣呼召十二使徒
[00:03:00.880 --> 00:03:04.640]  這些全部是歷史的事實
[00:03:04.640 --> 00:03:07.200]  就正如上帝今天當今
[00:03:07.200 --> 00:03:10.120]  怎樣呼召你和我
[00:03:10.120 --> 00:03:13.200]  你當自己是十二支派也好
[00:03:13.200 --> 00:03:15.840]  你當自己是十二使徒也好
[00:03:15.840 --> 00:03:18.240]  那你就自己對號入座
[00:03:18.240 --> 00:03:22.400]  你有沒有三次不認主
[00:03:22.400 --> 00:03:26.280]  這是歷史的現實
[00:03:26.280 --> 00:03:29.000]  但是重要的我們說過了
