
[00:00:00.000 --> 00:00:07.000]  早晨 大家又回到耶利米蘇的小磡
[00:00:07.000 --> 00:00:10.000]  不知不覺已經去到第二堂課了
[00:00:10.000 --> 00:00:12.000]  下個星期已經是最後一堂
[00:00:12.000 --> 00:00:15.000]  我們看耶利米蘇第52章
[00:00:15.000 --> 00:00:19.000]  我們今天會去到第46至51章
[00:00:19.000 --> 00:00:24.000]  過去我們用了八堂的時間看了一個概論
[00:00:24.000 --> 00:00:27.000]  看了一個概論可能大家已經不太記得了
[00:00:27.000 --> 00:00:31.000]  但不要緊 大致上我們找到耶利米的時代
[00:00:31.000 --> 00:00:34.000]  和我們中國那個時代的發展
[00:00:34.000 --> 00:00:37.000]  和耶利米的時代 在它前後的時代
[00:00:37.000 --> 00:00:39.000]  大致上它是一些大先知
[00:00:39.000 --> 00:00:41.000]  我們認識幾個大先知 譬如以塞亞
[00:00:41.000 --> 00:00:44.000]  然後就是耶利米 以西傑
[00:00:44.000 --> 00:00:47.000]  然後就有這個但爾里
[00:00:47.000 --> 00:00:49.000]  這些我們叫做大先知
[00:00:49.000 --> 00:00:53.000]  在那個排位裡面 主要是聖經案的篇幅
[00:00:53.000 --> 00:00:56.000]  大致上是用時間來排
[00:00:56.000 --> 00:01:00.000]  大家對那個時間的分配有些微的輪廓
[00:01:00.000 --> 00:01:05.000]  過去我們用了七堂的時間去看第一至第六章
[00:01:05.000 --> 00:01:12.000]  大部分除了30章到33章的段落
[00:01:12.000 --> 00:01:16.000]  差不多純粹是一個應許和安慰之外
[00:01:16.000 --> 00:01:19.000]  其他的都是責備
[00:01:19.000 --> 00:01:23.000]  但是神說他們什麼 我們都要搞清楚
[00:01:23.000 --> 00:01:27.000]  否則有時候像我們罵小孩
[00:01:27.000 --> 00:01:30.000]  不斷罵小孩 都不知道他在罵什麼
[00:01:30.000 --> 00:01:33.000]  不知道在罵誰 因為當前的都罵
[00:01:33.000 --> 00:01:35.000]  然後就找以前的出來罵
[00:01:35.000 --> 00:01:37.000]  然後準備將來的都罵
[00:01:37.000 --> 00:01:40.000]  所以小孩都不知道我們在罵什麼
[00:01:40.000 --> 00:01:43.000]  所以我們在讀耶利米書的裡面
[00:01:43.000 --> 00:01:44.000]  我們就嘗試整合一下
[00:01:44.000 --> 00:01:47.000]  雖然我再說一次 這是純粹幫助我們的記憶
[00:01:47.000 --> 00:01:51.000]  我們整合一下 大家應該都記得
[00:01:51.000 --> 00:01:54.000]  我現在每次都給你們一個大綱
[00:01:54.000 --> 00:01:57.000]  第一至第六章說什麼
[00:01:57.000 --> 00:01:59.000]  責備他們拜偶像
[00:01:59.000 --> 00:02:01.000]  因為出埃及的時候 我說過了
[00:02:01.000 --> 00:02:03.000]  我不停地重複
[00:02:03.000 --> 00:02:05.000]  我希望你們做噩夢的時候 別人問到你
[00:02:05.000 --> 00:02:07.000]  耶利米書說什麼 第一至第六章
[00:02:07.000 --> 00:02:09.000]  出埃及的時候 他們都沒有拜偶像
