
[00:00:00.000 --> 00:00:10.000]  我們一起讀《新約路加福音》第一章
[00:00:10.000 --> 00:00:14.000]  《新約路加福音》第一章
[00:00:14.000 --> 00:00:19.000]  我們會一起同聲讀完
[00:00:19.000 --> 00:00:25.000]  由二十六節到三十八節
[00:00:25.000 --> 00:00:33.000]  路加福音第一章二十六到三十八節
[00:00:33.000 --> 00:00:41.000]  找到我們慢一點,不用心急,慢慢讀完這段聖經的記載
[00:00:41.000 --> 00:00:47.000]  到了第六個月,天使加伯列奉神的差遣
[00:00:47.000 --> 00:00:53.000]  往加利利的一座城去,這城名叫拿實勒
[00:00:53.000 --> 00:01:01.000]  到一個童女那裡,是已經許配大為家的一個人,名叫約瑟
[00:01:01.000 --> 00:01:04.000]  童女的名字叫瑪麗亞
[00:01:04.000 --> 00:01:13.000]  天使進去對她說:蒙大恩的女子我問你安,主和你同在了
[00:01:13.000 --> 00:01:22.000]  瑪麗亞因這話就很驚慌,又反覆思想這樣問安是什麼意思
[00:01:22.000 --> 00:01:31.000]  天使對她說:瑪麗亞不要怕,你在神面前已經蒙恩了
[00:01:31.000 --> 00:01:36.000]  你要懷恩生子,可以給他起名叫耶穌
[00:01:36.000 --> 00:01:41.000]  他要為大稱為至高者的兒子
[00:01:41.000 --> 00:01:47.000]  主神要把他祖大位的位給他
[00:01:47.000 --> 00:01:51.000]  他要作拿國家的王直到永遠
[00:01:51.000 --> 00:01:54.000]  他的國也沒有紅盡
[00:01:54.000 --> 00:02:01.000]  瑪麗亞對天使說:我沒有出嫁,怎麼有這事呢?
[00:02:01.000 --> 00:02:10.000]  天使回答說:聖靈要臨到你身上,至高者的能力要任被你
[00:02:10.000 --> 00:02:16.000]  因此所要生的聖者必稱為神的兒子
[00:02:16.000 --> 00:02:23.000]  況且你的親戚以利沙伯在年老的時候也懷了男胎
[00:02:23.000 --> 00:02:30.000]  就是那素來稱為不生育的,現在有人六個月了
[00:02:30.000 --> 00:02:36.000]  因為出於神的話沒有一句不帶能力的
[00:02:36.000 --> 00:02:45.000]  瑪麗亞說:我是主的侍女,情願照你的話成就在我身上
[00:02:45.000 --> 00:02:50.000]  天使就離開她去了
[00:02:50.000 --> 00:02:56.000]  如果我們有機會在第一個聖誕節
[00:02:56.000 --> 00:03:02.000]  撇開商業社會所有的廣告
[00:03:02.000 --> 00:03:07.000]  來到伯利恆的馬場
[00:03:07.000 --> 00:03:12.000]  只有伯利恆的明星趙耀
[00:03:12.000 --> 00:03:18.000]  只有牛同驢在聖嬰馬槽的旁邊
[00:03:18.000 --> 00:03:21.000]  又或者我們會見到那群牧羊人
[00:03:21.000 --> 00:03:27.000]  他們聽到天使的報信,他們就趕到來
[00:03:27.000 --> 00:03:30.000]  又或者我們有機會
[00:03:30.000 --> 00:03:36.000]  好像我們在禮拜堂請一些小朋友主要學生做聖警
[00:03:36.000 --> 00:03:39.000]  博士又剛好都來了
[00:03:39.000 --> 00:03:43.000]  現在都說不清是多少個,馬太夫人都沒有說是三個
[00:03:43.000 --> 00:03:46.000]  不過總之留下三份禮物
[00:03:46.000 --> 00:03:50.000]  黃金、乳香、抹藥
[00:03:50.000 --> 00:03:54.000]  語言不通,大概連哪裡來都查不清楚
[00:03:54.000 --> 00:03:56.000]  所以聖經又沒有記載
[00:03:56.000 --> 00:04:00.000]  只認得是東方人,不是白種人
[00:04:00.000 --> 00:04:04.000]  如果我們在那裡,你說真的好
[00:04:04.000 --> 00:04:11.000]  第一個聖誕,我們親眼見到聖嬰主耶穌
[00:04:11.000 --> 00:04:18.000]  瑪利亞和藥室,如果在聖警的牆壁一定是不出聲的
[00:04:18.000 --> 00:04:20.000]  我小時候做過藥室
[00:04:20.000 --> 00:04:24.000]  還被導師將我的手綁在衣服裡面
[00:04:24.000 --> 00:04:26.000]  用布遮住
[00:04:26.000 --> 00:04:28.000]  所以到最後唱聖誕詩要拍手的時候
[00:04:28.000 --> 00:04:30.000]  我只有一隻手不能拍
[00:04:30.000 --> 00:04:38.000]  那是一個我們想像當中很感動的情景
[00:04:38.000 --> 00:04:41.000]  不過不知道你有沒有像我讀聖經那麼頑皮
[00:04:41.000 --> 00:04:48.000]  我總是問,如果第一個聖誕是那麼刻骨銘心
[00:04:48.000 --> 00:04:52.000]  為什麼三十年之後
[00:04:52.000 --> 00:04:57.000]  當耶穌出來傳道,天國近了
[00:04:57.000 --> 00:05:00.000]  你們當悔改,順福音
[00:05:00.000 --> 00:05:06.000]  沒有人走出來說,是呀,三十年前我已經知道了
[00:05:06.000 --> 00:05:11.000]  天使曾經在我上班當夜那一晚
[00:05:11.000 --> 00:05:13.000]  向我顯現
[00:05:13.000 --> 00:05:16.000]  他說,在伯利恆之野地裡有牧羊的人
[00:05:16.000 --> 00:05:18.000]  夜間按著庚次看守羊群
[00:05:18.000 --> 00:05:20.000]  有主的使者對他們說
[00:05:20.000 --> 00:05:22.000]  主的榮國四面照著他們
[00:05:22.000 --> 00:05:24.000]  牧羊的人就甚懼怕
[00:05:24.000 --> 00:05:25.000]  天使說不要懼怕
[00:05:25.000 --> 00:05:28.000]  我補給你們大喜的訊息是關乎萬民的
[00:05:28.000 --> 00:05:31.000]  因今天在大圍的城裡為你們生了救主
[00:05:31.000 --> 00:05:33.000]  就是主基督
[00:05:33.000 --> 00:05:35.000]  你們要看見一個鷹鞋包著布
[00:05:35.000 --> 00:05:37.000]  臥在馬槽裡那就是記號了
[00:05:37.000 --> 00:05:39.000]  忽然有一大隊天兵和那天使
[00:05:39.000 --> 00:05:41.000]  高聲讚美神說
[00:05:41.000 --> 00:05:43.000]  在至高之處榮耀歸於神
[00:05:43.000 --> 00:05:46.000]  在地上平安歸於他所喜悅的人
[00:05:46.000 --> 00:05:49.000]  為什麼沒有人去那裡?
[00:05:49.000 --> 00:05:51.000]  你有沒有想過這個問題?
[00:05:51.000 --> 00:05:54.000]  那些博士回到東方
[00:05:54.000 --> 00:05:59.000]  為什麼消息就停在那裡?
[00:05:59.000 --> 00:06:07.000]  他們是親眼親身出現在馬槽
[00:06:07.000 --> 00:06:12.000]  參與第一個聖誕的人物
[00:06:12.000 --> 00:06:16.000]  你說三十年很久了
[00:06:16.000 --> 00:06:20.000]  1976年你看見那個嬰兒
[00:06:20.000 --> 00:06:22.000]  你今天認得他?
[00:06:22.000 --> 00:06:24.000]  不可能吧
[00:06:24.000 --> 00:06:26.000]  還在多倫多
[00:06:26.000 --> 00:06:28.000]  還去了溫哥華
[00:06:28.000 --> 00:06:29.000]  不記得了
[00:06:29.000 --> 00:06:30.000]  很自然的
[00:06:30.000 --> 00:06:32.000]  我不是說認不認得
[00:06:32.000 --> 00:06:35.000]  我是說你見過天使
[00:06:35.000 --> 00:06:38.000]  在你人生當中你見過多少次天使?
[00:06:38.000 --> 00:06:40.000]  一次都沒見過
[00:06:40.000 --> 00:06:42.000]  如果你見到一次
[00:06:42.000 --> 00:06:46.000]  你是不是一定永世都不會忘記?
[00:06:46.000 --> 00:06:47.000]  很奇怪
[00:06:47.000 --> 00:06:49.000]  到耶穌出來傳道的時候
[00:06:49.000 --> 00:06:53.000]  沒有一個人走出來說
[00:06:53.000 --> 00:06:56.000]  是的,我記得了
[00:06:56.000 --> 00:06:59.000]  當然我們不敢猜是什麼原因
[00:06:59.000 --> 00:07:04.000]  又或者說其實我這樣說不準確
[00:07:04.000 --> 00:07:08.000]  有一個人他記得了
[00:07:08.000 --> 00:07:15.000]  我們讀聖經很喜歡跳出一些我們覺得不重要的東西
[00:07:15.000 --> 00:07:20.000]  其實記載耶穌降生四卷福音書
[00:07:20.000 --> 00:07:23.000]  馬可就完全沒有提及
[00:07:23.000 --> 00:07:26.000]  一開始說耶穌基督福音的起頭
[00:07:26.000 --> 00:07:28.000]  就說施洗約翰出來傳道
[00:07:28.000 --> 00:07:32.000]  耶穌三十歲出來受洗
[00:07:32.000 --> 00:07:36.000]  前面的三十年對馬可來說是沉默的
[00:07:36.000 --> 00:07:37.000]  很正常
[00:07:37.000 --> 00:07:40.000]  因為教會的傳統告訴我們
[00:07:40.000 --> 00:07:46.000]  我們聽馬可福音大概是使徒彼得的見證
[00:07:46.000 --> 00:07:48.000]  彼得是一個漁夫
