
[00:00:00.000 --> 00:00:10.000]  我都參加很多講座,不是做講員,是做會眾。
[00:00:10.000 --> 00:00:18.000]  聽不同的講員、專家教不同的題目,
[00:00:18.000 --> 00:00:26.000]  幸福的婚姻,美滿的家庭,子女父母如何溝通,
[00:00:26.000 --> 00:00:35.000]  很充實,很多筆記,很多insights,聽完之後很感恩,
[00:00:35.000 --> 00:00:42.000]  不過我發覺我有時候覺得有點自卑。
[00:00:42.000 --> 00:00:52.000]  我自問不是不負責,不想做好,很努力,甚至已經盡力了,
[00:00:52.000 --> 00:00:59.000]  不過我知道我的限制,我又知道我的不逮,
[00:00:59.000 --> 00:01:08.000]  我的遺憾,甚至我的無助,我的無望。
[00:01:08.000 --> 00:01:15.000]  如果我能夠在小朋友五歲的時候開始慢慢和他祈禱,
[00:01:15.000 --> 00:01:23.000]  講故事,現在他十多歲就繼續可以談下去了,
[00:01:23.000 --> 00:01:28.000]  不過那是很多年前我應該開始做的,那現在怎麼辦?
[00:01:28.000 --> 00:01:35.000]  很多這些問題,早知,但已經過去了。
[00:01:35.000 --> 00:01:42.000]  打開舊約聖經,讀聖經的人物,個個都高大威猛,
[00:01:42.000 --> 00:01:51.000]  屬靈的偉人,榜樣,無犯,要麼就不讀,
[00:01:51.000 --> 00:01:58.000]  讀完之後誠實地講一句,我不是他們,
[00:01:58.000 --> 00:02:04.000]  我沒可能做到他們所做到的,
[00:02:04.000 --> 00:02:12.000]  那份無助的感覺又浮現了,
[00:02:12.000 --> 00:02:16.000]  我不是在講你,我只是在講我自己,
[00:02:16.000 --> 00:02:23.000]  這真是我讀聖經很深的感覺。
[00:02:23.000 --> 00:02:29.000]  所以今天下午,我想和你看兩個聖經的人物,
[00:02:29.000 --> 00:02:40.000]  我的目的不是想像我聽完之後所產生的這種感覺,
[00:02:40.000 --> 00:02:49.000]  這樣讀聖經,我想是反效果的,距離是越來越大的,
[00:02:49.000 --> 00:02:57.000]  只會令我們講一套實際生命的光景是另一套,
[00:02:57.000 --> 00:03:03.000]  我不敢讓人知道,越講越好聽,越講越會講,
[00:03:03.000 --> 00:03:14.000]  事實是怎樣,就永遠只能埋藏在沒有人碰到的角落裡面。
[00:03:14.000 --> 00:03:22.000]  阿伯拉罕是舊約聖經開宗明義信心之父,
[00:03:22.000 --> 00:03:27.000]  從世紀都記載他,神說阿伯拉罕,阿伯拉罕說我在這裡,
[00:03:27.000 --> 00:03:32.000]  這樣的人在哪裡找?你今天有沒有這樣的機會?
[00:03:32.000 --> 00:03:35.000]  早上起床,上帝和你說早晨,
[00:03:35.000 --> 00:03:39.000]  上帝早晨,那是靈修很自然的事,
